Date,Value
20200321,4.7393
20200320,5.2454
20200323,5.4512
20200322,4.7385
20200324,5.4328
20190310,4.5861
20190311,4.9572
20200208,2.8688
20200209,2.5481
20190314,4.9217
20190315,5.072
20190316,4.7511
20190317,4.4445
20200202,2.8122
20200203,2.9877
20200201,2.9671
20200206,2.805
20200207,2.7923
20200204,3.013
20200205,2.7751
20200129,2.916
20200128,3.2711
20200123,5.1452
20200122,5.4985
20200121,5.6172
20200120,5.6569
20200127,3.6542
20200126,4.5255
20200125,4.6604
20200124,4.2122
20200311,5.0271
20190130,4.764
20200217,3.1586
20200108,5.6531
20200219,3.5017
20200218,3.382
20190303,4.52
20190302,4.6482
20190301,5.1417
20190307,4.8285
20190306,4.8078
20190305,4.9903
20190304,4.851
20200215,2.1667
20200214,3.0267
20190309,4.5378
20200216,2.2007
20200211,3.0484
20200210,3.0901
20200213,3.2284
20200212,3.1617
20190224,4.2737
20190225,4.8194
20190226,4.8119
20190227,4.9487
20190220,4.7472
20190221,4.7736
20190222,4.8022
20190223,4.3905
20200116,5.9354
20200117,5.8071
20200114,5.7738
20200115,5.802
20190228,5.1141
20200113,5.8078
20200110,5.8415
20200111,5.2984
20190308,5.1157
20200101,5.0489
20200103,5.8034
20200102,5.7302
20200105,5.0897
20200104,5.1944
20200107,5.7615
20200106,5.8075
20200109,5.7977
20190131,4.8526
20200118,5.2263
20200119,5.6028
20190312,4.9797
20190328,4.891
20190313,4.9776
20190321,4.7027
20190320,4.9207
20190323,4.6415
20190322,5.1553
20190325,5.0239
20190324,4.5822
20190327,4.8807
20190326,4.9126
20190208,4.0912
20190209,3.9507
20190202,4.6433
20190203,4.1323
20190201,4.5707
20190206,4.5003
20190207,4.1136
20190204,3.6799
20190205,4.0901
20190318,4.8616
20190129,4.8629
20190128,4.9791
20190319,4.9487
20190123,4.8368
20190122,4.8084
20190121,4.8492
20190120,4.296
20190127,4.3357
20190126,4.4297
20190125,4.8202
20190124,4.9363
20190219,4.8066
20190218,4.9741
20190215,4.4227
20190214,4.8021
20190217,4.199
20190216,4.2781
20190211,4.6062
20190210,4.1556
20190213,4.8193
20190212,4.7653
20190118,4.8938
20190119,4.4595
20190116,4.8606
20190117,4.8772
20190114,4.8922
20190115,4.9886
20190112,4.4744
20190113,4.3399
20200310,5.009
20200112,5.1979
20200312,4.975
20200313,5.0736
20200314,4.5683
20200315,4.2982
20200316,5.097
20200317,5.2071
20200318,5.1813
20200319,5.156
20200303,4.7302
20200302,4.9585
20200301,4.3305
20200307,4.0622
20200306,4.8655
20200305,4.8439
20200304,4.4424
20200309,4.637
20200308,4.4069
20200224,4.8588
20200225,4.5966
20200226,4.6961
20200227,4.7552
20200220,3.6283
20200221,3.4109
20200222,3.608
20200223,3.6668
20200228,4.6199
20200229,4.2095
20200130,2.8798
20200131,2.9264
