Date,Value
20200321,4.7063
20200320,5.019
20200323,5.1661
20200322,4.6357
20200324,5.1716
20190310,4.417
20190311,4.7913
20200208,2.248
20200209,2.131
20190314,4.7192
20190315,4.9399
20190316,4.6607
20190317,4.3677
20200202,2.6066
20200203,2.396
20200201,3.1626
20200206,2.0733
20200207,2.1471
20200204,2.1724
20200205,2.0429
20200129,3.5471
20200128,3.8617
20200123,5.2438
20200122,5.5036
20200121,5.5256
20200120,5.5509
20200127,4.3643
20200126,4.6109
20200125,4.2482
20200124,4.295
20200311,4.5602
20190130,4.7684
20200217,2.6647
20200108,5.3502
20200219,2.9109
20200218,2.7621
20190303,4.484
20190302,4.6519
20190301,4.9668
20190307,4.651
20190306,4.6295
20190305,4.8039
20190304,4.6691
20200215,2.2986
20200214,2.5778
20190309,4.4137
20200216,2.1781
20200211,2.5207
20200210,2.4601
20200213,2.5843
20200212,2.5929
20190224,4.2957
20190225,4.6598
20190226,4.6152
20190227,4.7512
20190220,4.8388
20190221,4.7916
20190222,4.8063
20190223,4.4533
20200116,5.7393
20200117,5.6423
20200114,5.5976
20200115,5.6248
20190228,4.8507
20200113,5.6038
20200110,5.492
20200111,5.0624
20190308,4.9359
20200101,4.9344
20200103,5.4099
20200102,5.443
20200105,4.8571
20200104,4.9039
20200107,5.3809
20200106,5.4864
20200109,5.3682
20190131,4.8774
20200118,5.1789
20200119,5.3534
20190312,4.8006
20190328,4.687
20190313,4.7661
20190321,4.3549
20190320,4.8509
20190323,4.5079
20190322,4.7653
20190325,4.8093
20190324,4.4776
20190327,4.7147
20190326,4.7382
20190208,4.562
20190209,4.5222
20190202,4.7456
20190203,4.2997
20190201,4.5954
20190206,4.5932
20190207,4.7186
20190204,3.8855
20190205,4.2393
20190318,4.6904
20190129,4.8513
20190128,4.8687
20190319,4.789
20190123,4.7432
20190122,4.7169
20190121,4.7317
20190120,4.3142
20190127,4.3554
20190126,4.3968
20190125,4.7481
20190124,4.8517
20190219,4.8448
20190218,5.0151
20190215,4.5392
20190214,4.8568
20190217,4.2126
20190216,4.3091
20190211,4.8898
20190210,4.551
20190213,4.9003
20190212,4.923
20190118,4.8266
20190119,4.4568
20190116,4.6458
20190117,4.7362
20190114,4.7111
20190115,4.8021
20190112,4.3393
20190113,4.2116
20200310,4.541
20200112,5.0357
20200312,4.6018
20200313,4.7493
20200314,4.4341
20200315,4.0406
20200316,4.9244
20200317,4.8774
20200318,4.9727
20200319,4.8973
20200303,4.0874
20200302,4.1804
20200301,3.5978
20200307,3.8113
20200306,4.3348
20200305,4.2487
20200304,3.9166
20200309,4.4047
20200308,4.0014
20200224,3.9395
20200225,3.7249
20200226,3.7727
20200227,3.7968
20200220,3.2027
20200221,2.9949
20200222,2.9468
20200223,3.1185
20200228,3.6696
20200229,3.588
20200130,3.374
20200131,3.2835
