Date,Value
20200321,5.5261
20200320,5.5481
20200323,5.5361
20200322,5.4973
20200324,5.5053
20190310,4.9759
20190311,4.7326
20200208,4.5768
20200209,4.272
20190314,4.8644
20190315,5.1546
20190316,5.0203
20190317,4.8604
20200202,4.1986
20200203,4.441
20200201,4.1971
20200206,4.4894
20200207,4.5752
20200204,4.3529
20200205,4.3258
20200129,4.7106
20200128,4.8812
20200123,7.3404
20200122,7.1285
20200121,6.769
20200120,6.5372
20200127,4.5792
20200126,6.7344
20200125,5.6745
20200124,6.4233
20200311,5.2635
20190130,5.6453
20200217,3.6749
20200108,5.6947
20200219,4.0906
20200218,3.8112
20190303,5.0339
20190302,4.894
20190301,5.2139
20190307,4.5828
20190306,4.5873
20190305,4.8389
20190304,4.6336
20200215,3.8828
20200214,3.7983
20190309,4.8939
20200216,3.4181
20200211,3.4324
20200210,3.692
20200213,3.5255
20200212,3.5671
20190224,4.6048
20190225,4.445
20190226,4.4484
20190227,4.6041
20190220,5.8609
20190221,5.0144
20190222,5.1129
20190223,4.7246
20200116,5.8082
20200117,6.1577
20200114,5.7706
20200115,5.7444
20190228,4.7868
20200113,5.7601
20200110,5.6678
20200111,5.6476
20190308,5.4138
20200101,5.9351
20200103,5.7609
20200102,5.8123
20200105,5.5904
20200104,5.4708
20200107,5.5049
20200106,5.4826
20200109,5.5161
20190131,5.8795
20200118,6.2883
20200119,6.4336
20190312,4.851
20190328,4.5176
20190313,4.7654
20190321,4.8232
20190320,4.699
20190323,5.0512
20190322,5.4326
20190325,4.58
20190324,4.9002
20190327,4.5553
20190326,4.6126
20190208,7.5568
20190209,7.0035
20190202,6.2137
20190203,6.1745
20190201,5.7351
20190206,7.7191
20190207,7.0456
20190204,5.6272
20190205,6.6731
20190318,4.9777
20190129,5.765
20190128,5.5463
20190319,4.7047
20190123,4.8527
20190122,4.9491
20190121,4.9101
20190120,5.0732
20190127,5.0926
20190126,5.0678
20190125,5.0716
20190124,5.0772
20190219,5.7825
20190218,5.9495
20190215,5.2649
20190214,5.4388
20190217,5.2147
20190216,5.2596
20190211,6.1687
20190210,6.6602
20190213,5.6829
20190212,6.0868
20190118,5.1816
20190119,4.9669
20190116,4.7063
20190117,4.9439
20190114,4.8005
20190115,5.0949
20190112,4.9093
20190113,5.2984
20200310,5.0907
20200112,5.6014
20200312,5.4361
20200313,5.5715
20200314,5.2439
20200315,5.2796
20200316,5.4637
20200317,5.4986
20200318,5.4313
20200319,5.4493
20200303,5.0136
20200302,4.9995
20200301,5.0842
20200307,5.1821
20200306,4.8448
20200305,4.64
20200304,4.7832
20200309,5.4176
20200308,5.3482
20200224,4.7386
20200225,4.6353
20200226,4.7825
20200227,4.731
20200220,4.2557
20200221,4.3572
20200222,4.4165
20200223,4.36
20200228,4.8052
20200229,4.959
20200130,4.6972
20200131,4.3449
