Date,Value
20200321,4.4479
20200320,4.7629
20200323,4.786
20200322,4.2709
20200324,4.788
20190310,4.3074
20190311,4.4873
20200208,1.0934
20200209,1.1805
20190314,4.3382
20190315,4.8523
20190316,4.4494
20190317,4.2174
20200202,1.2338
20200203,1.1112
20200201,1.5562
20200206,0.9794
20200207,1.1462
20200204,1.0396
20200205,1.1583
20200129,1.9505
20200128,1.8458
20200123,4.4453
20200122,4.7053
20200121,4.7183
20200120,4.768
20200127,2.077
20200126,2.2819
20200125,2.5229
20200124,3.8596
20200311,4.4719
20190130,4.2212
20200217,2.4554
20200108,5.1835
20200219,3.0213
20200218,2.6711
20190303,4.0881
20190302,4.0457
20190301,4.5934
20190307,4.3118
20190306,4.2923
20190305,4.3256
20190304,4.3595
20200215,1.5673
20200214,1.6103
20190309,4.0798
20200216,1.7914
20200211,1.3606
20200210,1.3471
20200213,1.412
20200212,1.387
20190224,3.7752
20190225,4.1371
20190226,4.205
20190227,4.189
20190220,4.4021
20190221,3.8513
20190222,4.4184
20190223,3.8234
20200116,4.7146
20200117,4.9198
20200114,5.0267
20200115,4.7555
20190228,4.355
20200113,5.1322
20200110,5.3106
20200111,4.5584
20190308,4.6789
20200101,4.6585
20200103,5.3136
20200102,5.1747
20200105,4.692
20200104,4.7007
20200107,5.1592
20200106,5.2068
20200109,5.1208
20190131,4.1736
20200118,4.5456
20200119,4.66
20190312,4.5075
20190328,4.4292
20190313,4.5187
20190321,4.4482
20190320,4.5371
20190323,4.354
20190322,4.6754
20190325,4.461
20190324,4.235
20190327,4.4794
20190326,4.4441
20190208,4.1853
20190209,3.9488
20190202,4.0156
20190203,3.7238
20190201,4.025
20190206,4.3366
20190207,4.4374
20190204,3.4195
20190205,3.8781
20190318,4.4014
20190129,4.3258
20190128,4.2858
20190319,4.4944
20190123,4.4819
20190122,4.2877
20190121,4.2732
20190120,3.9746
20190127,3.8187
20190126,3.9344
20190125,4.356
20190124,4.4291
20190219,4.3354
20190218,4.2293
20190215,4.1298
20190214,4.2661
20190217,3.4476
20190216,3.4279
20190211,4.0944
20190210,3.8821
20190213,4.1546
20190212,4.336
20190118,4.6504
20190119,4.1902
20190116,4.2054
20190117,4.4279
20190114,4.3393
20190115,4.3743
20190112,4.1236
20190113,4.0543
20200310,4.3694
20200112,4.7567
20200312,4.1921
20200313,4.4895
20200314,4.2111
20200315,4.1902
20200316,4.6462
20200317,4.5707
20200318,4.6512
20200319,4.6696
20200303,4.0654
20200302,4.2671
20200301,3.6209
20200307,3.8794
20200306,4.0596
20200305,4.196
20200304,3.969
20200309,4.3355
20200308,3.629
20200224,3.9385
20200225,3.9168
20200226,3.9443
20200227,3.9641
20200220,3.4071
20200221,3.6246
20200222,3.3568
20200223,3.3006
20200228,4.1456
20200229,3.9715
20200130,1.8754
20200131,1.7336
