Date,Value
20200321,4.4915
20200320,5.0236
20200323,5.0616
20200322,4.393
20200324,5.0561
20190310,4.7702
20190311,4.9636
20200208,2.0647
20200209,2.1245
20190314,4.912
20190315,5.2289
20190316,4.822
20190317,4.3819
20200202,2.4985
20200203,2.5401
20200201,2.722
20200206,2.1232
20200207,2.2226
20200204,2.3249
20200205,2.2549
20200129,2.7787
20200128,2.6522
20200123,4.5459
20200122,5.0466
20200121,5.2076
20200120,5.3459
20200127,2.6383
20200126,3.0495
20200125,2.1706
20200124,3.6063
20200311,4.7536
20190130,5.0321
20200217,3.0688
20200108,5.6386
20200219,3.1136
20200218,3.1156
20190303,4.7262
20190302,4.7708
20190301,5.1054
20190307,4.5367
20190306,4.7088
20190305,4.8551
20190304,4.7034
20200215,2.2991
20200214,2.9048
20190309,4.6815
20200216,2.4855
20200211,2.5185
20200210,2.6897
20200213,2.81
20200212,2.6061
20190224,4.3147
20190225,4.6837
20190226,4.5901
20190227,4.6849
20190220,4.6028
20190221,4.5871
20190222,4.8191
20190223,4.258
20200116,5.5086
20200117,5.8187
20200114,5.2408
20200115,5.4569
20190228,4.9143
20200113,5.5898
20200110,5.7169
20200111,5.0642
20190308,5.0163
20200101,5.2911
20200103,5.6805
20200102,5.6296
20200105,5.0424
20200104,5.1263
20200107,5.6596
20200106,5.6352
20200109,5.6238
20190131,5.0563
20200118,5.1497
20200119,5.4144
20190312,5.0375
20190328,4.8033
20190313,4.9979
20190321,4.9386
20190320,4.9198
20190323,4.3365
20190322,4.8478
20190325,4.8722
20190324,4.5198
20190327,4.7106
20190326,4.6945
20190208,3.9505
20190209,3.8369
20190202,4.6194
20190203,4.0311
20190201,4.6378
20190206,4.0536
20190207,3.9131
20190204,3.4558
20190205,3.7547
20190318,4.8008
20190129,5.0538
20190128,5.0851
20190319,4.839
20190123,4.954
20190122,4.9122
20190121,4.8656
20190120,4.2128
20190127,4.548
20190126,4.7169
20190125,5.0234
20190124,5.123
20190219,4.5849
20190218,4.6166
20190215,4.608
20190214,4.6917
20190217,3.9042
20190216,4.4244
20190211,4.3968
20190210,3.9438
20190213,4.5783
20190212,4.6878
20190118,5.1534
20190119,4.5722
20190116,4.7748
20190117,4.9641
20190114,4.7429
20190115,5.0159
20190112,4.5334
20190113,4.354
20200310,4.8137
20200112,5.1236
20200312,4.6144
20200313,4.747
20200314,4.3981
20200315,4.2574
20200316,4.7451
20200317,4.6524
20200318,4.8107
20200319,4.929
20200303,4.0024
20200302,4.4347
20200301,3.7252
20200307,4.0187
20200306,4.2742
20200305,4.4603
20200304,3.971
20200309,4.8344
20200308,4.0927
20200224,3.8774
20200225,3.9033
20200226,4.0213
20200227,4.1246
20200220,3.1816
20200221,3.2573
20200222,3.0632
20200223,3.0516
20200228,4.2059
20200229,3.8408
20200130,2.8034
20200131,2.7764
