Date,Value
20200321,4.1412
20200320,4.4491
20200323,4.4017
20200322,4.1986
20200324,4.3499
20190310,4.0143
20190311,3.7462
20200208,2.1708
20200209,2.2513
20190314,3.6919
20190315,4.1579
20190316,3.7334
20190317,3.7906
20200202,2.4288
20200203,2.6477
20200201,2.3414
20200206,2.2152
20200207,2.2833
20200204,2.4656
20200205,2.2084
20200129,2.4542
20200128,2.3491
20200123,4.7634
20200122,5.168
20200121,5.0926
20200120,5.0995
20200127,2.4688
20200126,2.8833
20200125,3.3418
20200124,3.7469
20200311,4.285
20190130,4.5344
20200217,2.8644
20200108,4.382
20200219,3.2409
20200218,3.045
20190303,4.1373
20190302,3.8028
20190301,4.1694
20190307,3.4592
20190306,3.5784
20190305,3.8395
20190304,3.7021
20200215,2.4052
20200214,2.5169
20190309,3.6624
20200216,2.5147
20200211,2.5126
20200210,2.4404
20200213,2.5947
20200212,2.5289
20190224,3.9129
20190225,4.069
20190226,3.5121
20190227,3.7102
20190220,4.256
20190221,3.845
20190222,4.0879
20190223,3.951
20200116,4.7354
20200117,4.8821
20200114,4.6105
20200115,4.3913
20190228,3.7463
20200113,4.7397
20200110,4.4473
20200111,4.5219
20190308,4.2065
20200101,4.2774
20200103,4.5823
20200102,4.3014
20200105,4.0895
20200104,4.0682
20200107,4.4207
20200106,4.3887
20200109,4.4573
20190131,4.7143
20200118,4.4055
20200119,4.8963
20190312,3.734
20190328,3.4878
20190313,3.5151
20190321,3.5098
20190320,3.5863
20190323,3.5321
20190322,4.0024
20190325,3.5547
20190324,3.8296
20190327,3.4038
20190326,3.453
20190208,4.2666
20190209,4.1043
20190202,4.7093
20190203,4.2494
20190201,4.459
20190206,4.3789
20190207,4.3012
20190204,3.7591
20190205,4.069
20190318,3.5907
20190129,4.6207
20190128,4.5678
20190319,3.5881
20190123,4.1361
20190122,4.0182
20190121,4.0087
20190120,3.6965
20190127,3.8491
20190126,3.9536
20190125,4.1205
20190124,4.1878
20190219,4.3969
20190218,4.0096
20190215,4.2386
20190214,4.29
20190217,3.4069
20190216,3.9465
20190211,4.2959
20190210,4.055
20190213,4.4715
20190212,4.6867
20190118,3.8682
20190119,3.7603
20190116,3.8393
20190117,3.8537
20190114,3.8977
20190115,3.8348
20190112,3.7483
20190113,3.7135
20200310,4.2614
20200112,4.3899
20200312,4.3041
20200313,4.3203
20200314,4.2268
20200315,4.0559
20200316,4.0484
20200317,4.3748
20200318,4.3278
20200319,4.3537
20200303,4.1766
20200302,4.2569
20200301,3.9349
20200307,4.0474
20200306,4.2356
20200305,4.0738
20200304,4.2276
20200309,4.3148
20200308,3.8103
20200224,4.1624
20200225,4.0113
20200226,3.9441
20200227,3.5163
20200220,2.9201
20200221,3.5184
20200222,3.3248
20200223,3.372
20200228,4.0704
20200229,4.0127
20200130,2.6321
20200131,2.3777
