Date,Value
20200321,4.4403
20200320,4.6356
20200323,4.6489
20200322,4.1834
20200324,4.634
20190310,4.3654
20190311,4.3444
20200208,2.8976
20200209,2.8833
20190314,4.3158
20190315,4.611
20190316,4.3491
20190317,4.1049
20200202,2.3904
20200203,2.4156
20200201,2.9659
20200206,2.5196
20200207,2.7904
20200204,2.486
20200205,2.6352
20200129,3.6027
20200128,4.0238
20200123,6.161
20200122,6.4531
20200121,6.4233
20200120,6.3836
20200127,4.1731
20200126,5.2493
20200125,5.0236
20200124,5.2649
20200311,4.3148
20190130,5.7918
20200217,2.9904
20200108,4.9361
20200219,3.4265
20200218,3.3563
20190303,4.4158
20190302,4.2039
20190301,4.6259
20190307,4.2349
20190306,4.1743
20190305,4.3261
20190304,4.319
20200215,2.2237
20200214,2.7532
20190309,4.1025
20200216,2.3105
20200211,2.6284
20200210,2.813
20200213,2.6918
20200212,2.6491
20190224,4.0817
20190225,4.3225
20190226,4.2027
20190227,4.2021
20190220,4.7154
20190221,4.3345
20190222,4.5616
20190223,4.0822
20200116,5.8271
20200117,5.8162
20200114,5.3926
20200115,5.4654
20190228,4.4442
20200113,5.4196
20200110,5.0733
20200111,4.7603
20190308,4.4622
20200101,4.644
20200103,4.9056
20200102,4.9153
20200105,4.5612
20200104,4.4895
20200107,4.9109
20200106,4.9252
20200109,4.9242
20190131,6.0076
20200118,5.851
20200119,6.083
20190312,4.4101
20190328,4.1862
20190313,4.3939
20190321,4.3383
20190320,4.3765
20190323,4.1229
20190322,4.4199
20190325,4.3306
20190324,4.1079
20190327,4.2087
20190326,4.2145
20190208,6.4039
20190209,5.7654
20190202,6.1879
20190203,5.7337
20190201,5.8442
20190206,7.2822
20190207,6.7964
20190204,5.1497
20190205,6.2159
20190318,4.2463
20190129,5.8993
20190128,5.5735
20190319,4.3241
20190123,4.9638
20190122,4.9201
20190121,4.7642
20190120,4.3582
20190127,5.0645
20190126,4.8534
20190125,4.9836
20190124,5.0503
20190219,4.8982
20190218,4.8248
20190215,4.6915
20190214,5.137
20190217,4.2614
20190216,4.4537
20190211,5.385
20190210,5.518
20190213,5.1564
20190212,5.4244
20190118,4.793
20190119,4.3985
20190116,4.2909
20190117,4.5419
20190114,4.3568
20190115,4.5366
20190112,4.1481
20190113,4.1802
20200310,4.5406
20200112,5.0157
20200312,4.3382
20200313,4.3889
20200314,4.3046
20200315,4.2288
20200316,4.4551
20200317,4.406
20200318,4.5351
20200319,4.591
20200303,3.9507
20200302,4.2362
20200301,4.1428
20200307,3.8868
20200306,4.2246
20200305,4.2672
20200304,4.1782
20200309,4.2819
20200308,4.0731
20200224,4.1795
20200225,4.1196
20200226,4.1001
20200227,3.9519
20200220,3.5959
20200221,3.4764
20200222,3.4605
20200223,3.6339
20200228,3.9647
20200229,3.5601
20200130,3.5417
20200131,3.2143
