Date,Value
20200321,4.5209
20200320,4.743
20200323,4.8157
20200322,4.4467
20200324,4.8475
20190310,4.6714
20190311,4.7446
20200208,1.4053
20200209,1.3997
20190314,4.7728
20190315,5.1696
20190316,4.911
20190317,4.5887
20200202,1.8086
20200203,1.9091
20200201,1.9036
20200206,1.3247
20200207,1.519
20200204,1.7841
20200205,1.5424
20200129,2.142
20200128,2.1215
20200123,5.0665
20200122,5.441
20200121,5.6201
20200120,5.841
20200127,2.057
20200126,2.4595
20200125,3.1576
20200124,3.967
20190130,4.8217
20200217,1.882
20200108,5.4841
20200219,2.0048
20200218,1.9409
20190303,4.6978
20190302,4.4936
20190301,5.1195
20190307,4.6359
20190306,4.6061
20190305,4.8232
20190304,4.6566
20200215,1.4193
20200214,1.6506
20190309,4.6564
20200216,1.5088
20200211,1.6686
20200210,1.6798
20200213,1.7567
20200212,1.7195
20190224,4.3841
20190225,4.5902
20190226,4.4819
20190227,4.5243
20190220,4.855
20190221,4.6888
20190222,4.8086
20190223,4.5396
20200116,5.537
20200117,5.8226
20200114,5.648
20200115,5.3365
20200112,5.0996
20200113,5.6842
20200110,5.7076
20200111,5.2875
20190308,5.0362
20200101,4.9874
20200103,5.619
20200102,5.4647
20200105,4.4076
20200104,5.1795
20200107,5.0759
20200106,5.1541
20200109,5.5395
20190131,4.9314
20200118,5.4015
20200119,5.6781
20190312,4.8066
20190328,4.6556
20190313,4.7676
20190321,4.6829
20190320,4.8416
20190323,4.6576
20190322,5.0401
20190325,4.7791
20190324,4.6193
20190327,4.6565
20190326,4.6564
20190208,3.9222
20190209,4.0712
20190202,4.842
20190203,4.3845
20190201,4.8322
20190206,5.1123
20190207,4.3621
20190204,3.8755
20190205,4.4939
20190318,4.6923
20190129,5.1947
20190128,5.1548
20190319,4.7394
20190123,4.9009
20190122,4.8327
20190121,4.8038
20190120,4.3951
20190127,4.5648
20190126,4.6634
20190125,4.9502
20190124,5.0236
20190219,4.7807
20190218,4.8242
20190215,4.6886
20190214,3.8586
20190217,4.3476
20190216,4.4322
20190211,4.9127
20190210,3.911
20190213,4.5206
20190212,4.9054
20190118,4.8716
20190119,4.5309
20190116,4.6704
20190117,4.771
20190114,4.7028
20190115,4.7783
20190112,4.4705
20190113,4.4064
20190228,4.6889
20200310,4.2105
20200311,4.3602
20200312,4.3546
20200313,4.3569
20200314,4.116
20200315,4.1544
20200316,4.5069
20200317,4.5792
20200318,4.5935
20200319,4.6431
20200303,3.7541
20200302,3.5822
20200301,3.3217
20200307,3.9133
20200306,4.0339
20200305,3.8914
20200304,3.7266
20200309,4.0892
20200308,3.7292
20200224,2.849
20200225,2.9713
20200226,2.8217
20200227,2.5301
20200220,2.0202
20200221,2.2425
20200222,2.3755
20200223,2.5154
20200228,3.152
20200229,3.1738
20200130,2.1731
20200131,2.08
