Date,Value
20200321,4.5439
20200320,4.7064
20200323,4.6824
20200322,4.4908
20200324,4.7222
20190310,4.3871
20190311,4.2323
20200208,2.567
20200209,2.5396
20190314,4.1402
20190315,4.4298
20190316,4.2742
20190317,4.1118
20200202,3.3436
20200203,3.3931
20200201,3.4993
20200206,3.0904
20200207,2.8668
20200204,3.4666
20200205,3.3124
20200129,3.9387
20200128,4.1827
20200123,6.3051
20200122,6.4545
20200121,6.3236
20200120,6.251
20200127,4.4177
20200126,5.208
20200125,5.2016
20200124,5.6537
20200311,4.5283
20190130,5.1943
20200217,2.7681
20200108,4.9156
20200219,3.4186
20200218,3.3306
20190303,4.3918
20190302,4.3698
20190301,4.6312
20190307,4.0266
20190306,4.0128
20190305,4.2579
20190304,4.1127
20200215,2.26
20200214,2.5518
20190309,4.0712
20200216,2.4422
20200211,2.5623
20200210,2.6239
20200213,2.5186
20200212,2.5136
20190224,4.2255
20190225,4.3882
20190226,4.2424
20190227,4.251
20190220,5.2711
20190221,4.4848
20190222,4.66
20190223,4.2332
20200116,5.6948
20200117,5.8499
20200114,5.3998
20200115,5.6122
20190228,4.3773
20200113,5.5208
20200110,5.1699
20200111,5.0217
20190308,4.4229
20200101,4.8004
20200103,4.9657
20200102,4.9249
20200105,4.4769
20200104,4.4403
20200107,4.8683
20200106,4.7865
20200109,5.0785
20190131,5.7809
20200118,5.6182
20200119,5.9671
20190312,4.214
20190328,4.0326
20190313,4.202
20190321,4.0855
20190320,4.1147
20190323,4.0494
20190322,4.3564
20190325,4.1642
20190324,4.208
20190327,4.0303
20190326,4.0239
20190208,5.9058
20190209,5.5533
20190202,5.8305
20190203,5.4089
20190201,5.5663
20190206,5.9177
20190207,5.9831
20190204,5.2188
20190205,5.5682
20190318,4.0203
20190129,5.2115
20190128,5.1068
20190319,4.1135
20190123,4.7931
20190122,4.6717
20190121,4.7182
20190120,4.5846
20190127,4.4895
20190126,4.4667
20190125,4.7851
20190124,4.8973
20190219,5.1672
20190218,5.269
20190215,5.2636
20190214,5.6115
20190217,4.8147
20190216,4.9581
20190211,5.721
20190210,5.4273
20190213,5.7127
20190212,5.7192
20190118,4.7375
20190119,4.5637
20190116,4.3292
20190117,4.5334
20190114,4.2728
20190115,4.3746
20190112,4.0652
20190113,4.1423
20200310,4.5807
20200112,5.192
20200312,4.5755
20200313,4.6381
20200314,4.4876
20200315,4.3986
20200316,4.5433
20200317,4.6125
20200318,4.6084
20200319,4.6177
20200303,4.3013
20200302,4.4416
20200301,4.3785
20200307,4.5028
20200306,4.5853
20200305,4.5086
20200304,4.5198
20200309,4.6379
20200308,4.5511
20200224,3.618
20200225,3.8892
20200226,4.0344
20200227,4.0569
20200220,2.879
20200221,2.9533
20200222,2.8283
20200223,2.8995
20200228,4.1278
20200229,4.3723
20200130,3.6683
20200131,3.3884
