Date,Value
20200321,2.4252
20200320,2.8679
20200323,2.7902
20200322,2.0983
20200324,2.7843
20190310,3.1752
20190311,3.9667
20200208,1.0591
20200209,0.8809
20190314,4.0761
20190315,4.2479
20190316,3.6841
20190317,3.0762
20200202,1.6442
20200203,2.0792
20200201,1.8207
20200206,1.3522
20200207,1.2592
20200204,1.9871
20200205,1.5505
20200129,1.8234
20200128,1.8604
20200123,3.2394
20200122,3.6789
20200121,4.0162
20200120,4.1107
20200127,1.871
20200126,2.0141
20200125,2.2201
20200124,2.7077
20200311,2.8668
20190130,3.6636
20200217,1.4796
20200108,4.1478
20200219,1.8565
20200218,1.6116
20190303,3.16
20190302,3.7105
20190301,4.1612
20190307,3.9765
20190306,3.8822
20190305,4.2079
20190304,3.9556
20200215,1.1101
20200214,1.2575
20190309,3.5553
20200216,0.9312
20200211,1.1763
20200210,1.2112
20200213,1.1646
20200212,1.2817
20190224,2.9126
20190225,3.7628
20190226,3.8254
20190227,4.0207
20190220,3.7091
20190221,3.7958
20190222,3.8198
20190223,3.3111
20200116,4.0259
20200117,3.9662
20200114,3.939
20200115,4.0193
20190228,4.1629
20200113,3.9751
20200110,4.0428
20200111,3.8422
20190308,3.9701
20200101,3.4514
20200103,4.0617
20200102,3.9385
20200105,3.5005
20200104,3.9013
20200107,4.0743
20200106,3.9766
20200109,4.074
20190131,3.7439
20200118,3.7392
20200119,3.4734
20190312,4.1298
20190328,4.177
20190313,4.272
20190321,4.2295
20190320,4.174
20190323,3.6318
20190322,4.3206
20190325,4.0185
20190324,3.0905
20190327,4.0879
20190326,4.0949
20190208,3.4673
20190209,3.3282
20190202,2.9369
20190203,2.4665
20190201,3.3866
20190206,2.7099
20190207,2.9912
20190204,2.319
20190205,2.5144
20190318,3.8859
20190129,3.7084
20190128,3.7329
20190319,4.1021
20190123,3.7401
20190122,3.7935
20190121,3.7386
20190120,3.114
20190127,2.9517
20190126,3.2983
20190125,3.7031
20190124,3.8225
20190219,3.5833
20190218,3.8173
20190215,3.7534
20190214,3.7573
20190217,2.9095
20190216,3.369
20190211,3.7168
20190210,3.1466
20190213,3.9765
20190212,3.8499
20190118,4.0086
20190119,3.4984
20190116,3.8035
20190117,3.906
20190114,3.7633
20190115,3.9076
20190112,3.3344
20190113,3.0148
20200310,2.8695
20200112,3.5243
20200312,2.8961
20200313,2.9792
20200314,2.5852
20200315,2.2749
20200316,2.944
20200317,2.8689
20200318,2.8582
20200319,2.8045
20200303,2.7935
20200302,2.792
20200301,2.028
20200307,2.511
20200306,2.8542
20200305,2.7997
20200304,2.7993
20200309,2.974
20200308,2.2586
20200224,2.5286
20200225,2.527
20200226,2.4677
20200227,2.4841
20200220,2.2882
20200221,2.3389
20200222,2.1423
20200223,1.8521
20200228,2.5837
20200229,2.3579
20200130,1.8878
20200131,1.9061
