Date,Value
20200321,4.2068
20200320,4.2604
20200323,4.3715
20200322,4.2732
20200324,4.3381
20190310,4.2195
20190311,4.0686
20200208,3.1816
20200209,2.9359
20190314,3.9873
20190315,4.5531
20190316,4.3984
20190317,4.17
20200202,3.4924
20200203,3.4975
20200201,3.4657
20200206,3.3556
20200207,3.401
20200204,3.3788
20200205,3.3665
20200129,3.9652
20200128,4.5259
20200123,6.4727
20200122,6.4921
20200121,6.219
20200120,5.9394
20200127,3.8956
20200126,5.4259
20200125,4.3382
20200124,4.8763
20200311,4.2184
20190130,5.3445
20200217,3.1573
20200108,4.3837
20200219,3.3798
20200218,3.2353
20190303,4.3605
20190302,4.3303
20190301,4.5976
20190307,3.8401
20190306,3.8508
20190305,4.052
20190304,3.9103
20200215,2.8154
20200214,2.9874
20190309,3.9455
20200216,2.5214
20200211,3.0496
20200210,3.1166
20200213,2.9153
20200212,2.9993
20190224,4.2261
20190225,3.8976
20190226,4.0302
20190227,4.1042
20190220,4.6907
20190221,4.4448
20190222,4.6862
20190223,4.1124
20200116,4.8692
20200117,5.2451
20200114,4.5125
20200115,4.7038
20190228,4.2179
20200113,4.5981
20200110,4.6704
20200111,4.37
20190308,4.5044
20200101,4.6049
20200103,4.5815
20200102,4.4955
20200105,4.2603
20200104,4.2436
20200107,4.4193
20200106,4.4212
20200109,4.3812
20190131,5.7049
20200118,5.2982
20200119,5.6405
20190312,4.1566
20190328,3.955
20190313,4.0803
20190321,4.1475
20190320,4.0657
20190323,4.0583
20190322,4.5871
20190325,3.983
20190324,4.0888
20190327,3.9623
20190326,3.9318
20190208,6.6351
20190209,6.4275
20190202,6.0518
20190203,5.8556
20190201,5.7601
20190206,7.2618
20190207,6.0128
20190204,4.728
20190205,5.9949
20190318,3.9935
20190129,5.1659
20190128,4.9596
20190319,4.084
20190123,4.3861
20190122,4.2351
20190121,4.1839
20190120,4.1891
20190127,4.4549
20190126,4.4375
20190125,4.5023
20190124,4.5416
20190219,4.8203
20190218,4.6352
20190215,5.2427
20190214,5.5042
20190217,5.0358
20190216,5.1121
20190211,5.7641
20190210,6.1397
20190213,5.5242
20190212,5.8094
20190118,4.5574
20190119,4.2809
20190116,3.9261
20190117,4.2418
20190114,4.0224
20190115,4.1621
20190112,4.0111
20190113,4.0383
20200310,4.3202
20200112,4.3697
20200312,4.2688
20200313,4.3605
20200314,4.234
20200315,4.1622
20200316,4.2986
20200317,4.2612
20200318,4.1431
20200319,4.1598
20200303,4.2837
20200302,4.443
20200301,4.2723
20200307,4.1489
20200306,4.2172
20200305,4.2272
20200304,3.9589
20200309,4.3966
20200308,4.1608
20200224,4.2714
20200225,4.2003
20200226,4.224
20200227,4.2411
20200220,3.5651
20200221,3.8875
20200222,3.8619
20200223,3.7836
20200228,4.2802
20200229,4.2872
20200130,3.6094
20200131,3.4912
