Date,Value
20200321,2.7633
20200320,2.8487
20200323,3.1382
20200322,2.8974
20200324,3.2862
20190310,3.1717
20190311,3.2341
20200208,1.9643
20200209,1.905
20190314,3.2281
20190315,3.5018
20190316,3.4589
20190317,3.5395
20200202,1.8284
20200203,2.1287
20200201,2.0535
20200206,2.0696
20200207,2.0313
20200204,2.1102
20200205,2.0527
20200129,2.3171
20200128,2.1549
20200123,2.4982
20200122,2.4748
20200121,2.4814
20200120,2.4296
20200127,2.1595
20200126,2.0538
20200125,2.0665
20200124,2.3055
20200311,2.6756
20190130,2.8449
20200217,2.3575
20200108,2.4649
20200219,2.3299
20200218,2.3159
20190303,3.1582
20190302,2.9752
20190301,3.1695
20190307,3.4833
20190306,3.3958
20190305,3.5699
20190304,3.3037
20200215,2.1533
20200214,2.2779
20190309,3.2451
20200216,2.1908
20200211,2.0928
20200210,2.1468
20200213,2.2423
20200212,2.1468
20190224,2.8439
20190225,3.0344
20190226,2.932
20190227,3.2796
20190220,2.8633
20190221,2.9341
20190222,2.9529
20190223,2.8405
20200116,2.6592
20200117,2.6364
20200114,2.5825
20200115,2.6182
20190228,3.2707
20200113,2.6383
20200110,2.438
20200111,2.3901
20190308,3.6198
20200101,2.5059
20200103,2.6744
20200102,2.5715
20200105,2.2386
20200104,2.4431
20200107,2.5231
20200106,2.4754
20200109,2.4751
20190131,2.9583
20200118,2.4199
20200119,2.4308
20190312,3.3348
20190328,3.6772
20190313,3.3819
20190321,3.5366
20190320,3.4845
20190323,3.4917
20190322,3.5937
20190325,3.647
20190324,3.6938
20190327,3.657
20190326,3.6273
20190208,2.468
20190209,2.3904
20190202,2.7403
20190203,2.5829
20190201,2.7153
20190206,2.3768
20190207,2.6062
20190204,2.3825
20190205,2.3796
20190318,3.4768
20190129,2.8158
20190128,2.9121
20190319,3.5459
20190123,2.6879
20190122,2.7467
20190121,2.7935
20190120,2.6779
20190127,2.5514
20190126,2.5713
20190125,2.7741
20190124,2.853
20190219,2.9164
20190218,2.974
20190215,2.7247
20190214,2.6788
20190217,2.4236
20190216,2.5421
20190211,2.4946
20190210,2.4404
20190213,2.6141
20190212,2.4247
20190118,2.7698
20190119,2.6945
20190116,2.7729
20190117,2.7714
20190114,2.7197
20190115,2.9037
20190112,2.5778
20190113,2.5555
20200310,2.6733
20200112,2.3703
20200312,2.713
20200313,2.7545
20200314,2.4918
20200315,2.5435
20200316,2.8187
20200317,2.8439
20200318,2.9433
20200319,2.8069
20200303,2.5792
20200302,2.3907
20200301,2.507
20200307,2.4765
20200306,2.6495
20200305,2.7234
20200304,2.6324
20200309,2.719
20200308,2.4343
20200224,2.1065
20200225,2.2489
20200226,2.327
20200227,2.2184
20200220,2.3834
20200221,2.517
20200222,2.3645
20200223,2.1505
20200228,2.3655
20200229,2.4462
20200130,2.2914
20200131,2.1466
