Date,Value
20200321,3.7429
20200320,4.4643
20200323,4.5627
20200322,3.4409
20200324,4.5814
20190310,4.132
20190311,4.6227
20200208,1.1723
20200209,1.1836
20190314,4.606
20190315,4.9391
20190316,4.4257
20190317,4.0227
20200202,1.2885
20200203,1.4619
20200201,1.4415
20200206,1.1915
20200207,1.3089
20200204,1.406
20200205,1.3673
20200129,1.6062
20200128,1.6359
20200123,3.8795
20200122,4.5338
20200121,4.9222
20200120,5.1412
20200127,1.7063
20200126,2.0385
20200125,2.5449
20200124,3.251
20200311,3.6698
20190130,4.1487
20200217,1.6547
20200108,5.6533
20200219,1.7844
20200218,1.7435
20190303,4.0028
20190302,3.9986
20190301,4.694
20190307,4.5396
20190306,4.5284
20190305,4.6107
20190304,4.5507
20200215,1.1568
20200214,1.4425
20190309,4.1446
20200216,1.2282
20200211,1.2995
20200210,1.4304
20200213,1.3786
20200212,1.3592
20190224,3.7711
20190225,4.3961
20190226,4.3183
20190227,4.4169
20190220,4.0983
20190221,4.0655
20190222,4.3129
20200119,5.0526
20200116,5.2801
20200117,5.3831
20200114,5.3812
20200115,5.1803
20190228,4.6652
20200113,5.4517
20200110,5.5141
20200111,4.7089
20190308,4.7449
20200101,4.9676
20200103,5.6661
20200102,5.5984
20200105,4.713
20200104,4.918
20200107,5.5975
20200106,5.7116
20200109,5.5251
20190131,4.1306
20200118,4.7004
20190223,3.7193
20190312,4.6958
20190328,4.4761
20190313,4.6922
20190321,4.4455
20190320,4.7303
20190323,4.2408
20190322,4.829
20190325,4.6922
20190324,4.0235
20190327,4.5747
20190326,4.6186
20190208,2.9391
20190209,2.9049
20190202,3.7358
20190203,3.1813
20190201,3.7732
20190206,3.2327
20190207,2.7687
20190204,2.9266
20190205,3.0797
20190318,4.6166
20190129,4.2511
20190128,4.3445
20190319,4.7048
20190123,4.2334
20190122,4.2393
20190121,4.3001
20190120,3.7296
20190127,3.7193
20190126,3.8575
20190125,4.3406
20190124,4.3771
20190219,3.9207
20190218,3.9629
20190215,3.9629
20190214,4.0645
20190217,3.1822
20190216,3.4
20190211,3.6767
20190210,3.0687
20190213,4.0643
20190212,4.0483
20190118,4.4002
20190119,3.8281
20190116,4.2942
20190117,4.3472
20190114,4.3946
20190115,4.5227
20190112,3.9949
20190113,3.7754
20200310,3.6364
20200112,4.6629
20200312,3.4997
20200313,3.8057
20200314,3.2236
20200315,3.1356
20200316,4.1195
20200317,4.1101
20200318,4.2459
20200319,4.3367
20200303,2.8721
20200302,3.0921
20200301,2.2142
20200307,2.6318
20200306,3.0509
20200305,3.2267
20200304,3.0707
20200309,3.4305
20200308,2.3428
20200224,2.5095
20200225,2.526
20200226,2.5714
20200227,2.6001
20200220,1.9564
20200221,2.0178
20200222,1.6926
20200223,1.6557
20200228,2.668
20200229,2.0171
20200130,1.51
20200131,1.5142
