Date,Value
20200321,4.6226
20200320,4.7326
20200323,4.7373
20200322,4.6098
20200324,4.7192
20190310,4.4075
20190311,4.1796
20200208,2.7923
20200209,2.8276
20190314,4.0707
20190315,4.4864
20190316,4.2778
20190317,4.1169
20200202,3.3202
20200203,3.5459
20200201,3.5741
20200206,3.094
20200207,3.0055
20200204,3.6393
20200205,3.3109
20200129,4.928
20200128,5.0809
20200123,7.496
20200122,7.5519
20200121,7.3182
20200120,6.9653
20200127,5.5174
20200126,6.074
20200125,5.6186
20200124,6.2473
20190130,5.6043
20200217,3.2338
20200108,5.1745
20200219,3.398
20200218,3.1527
20190303,4.4093
20190302,4.3141
20190301,4.5494
20190307,3.8922
20190306,3.939
20190305,4.1881
20190304,4.0315
20200215,2.5994
20200214,2.8271
20190309,4.1217
20200216,2.8879
20200211,2.8067
20200210,2.8196
20200213,2.8474
20200212,2.8028
20190224,4.2005
20190225,4.2217
20190226,4.101
20190227,4.1939
20190220,4.7816
20190221,4.4579
20190222,4.577
20190223,4.1542
20200116,6.1061
20200117,6.1176
20200114,5.6523
20200115,5.8438
20200112,5.2407
20200113,5.5904
20200110,5.2456
20200111,5.1774
20190308,4.4631
20200101,4.7552
20200103,4.9608
20200102,4.8627
20200105,4.6703
20200104,4.6156
20200107,5.0738
20200106,5.011
20200109,5.1188
20190131,6.4012
20200118,6.1517
20200119,6.576
20190312,4.1372
20190328,3.9279
20190313,4.1061
20190321,3.9242
20190320,4.0668
20190323,3.95
20190322,4.1752
20190325,4.0389
20190324,4.0211
20190327,3.9046
20190326,3.8869
20190208,6.9961
20190209,6.4624
20190202,6.8039
20190203,6.3764
20190201,6.4163
20190206,7.1461
20190207,7.1716
20190204,5.8142
20190205,6.4802
20190318,3.9925
20190129,5.6891
20190128,5.4594
20190319,4.0441
20190123,4.9279
20190122,4.7752
20190121,4.7635
20190120,4.5956
20190127,4.808
20190126,4.6242
20190125,4.7807
20190124,4.83
20190219,5.102
20190218,5.2933
20190215,5.3363
20190214,5.6723
20190217,4.7305
20190216,4.9176
20190211,6.2542
20190210,6.1684
20190213,5.9107
20190212,6.2036
20190118,4.6573
20190119,4.5874
20190116,4.4254
20190117,4.5414
20190114,4.29
20190115,4.4192
20190112,4.14
20190113,4.1891
20190228,4.3177
20200310,4.6468
20200311,4.5986
20200312,4.6774
20200313,4.6335
20200314,4.5502
20200315,4.3998
20200316,4.5155
20200317,4.7052
20200318,4.6738
20200319,4.6844
20200303,4.6127
20200302,4.183
20200301,4.5359
20200307,4.543
20200306,4.7207
20200305,4.692
20200304,4.6962
20200309,4.6963
20200308,4.5687
20200224,4.4469
20200225,4.2708
20200226,4.3239
20200227,4.0367
20200220,3.4606
20200221,3.8979
20200222,3.9491
20200223,3.9428
20200228,4.5258
20200229,4.6788
20200130,4.5065
20200131,3.6331
