Date,Value
20200321,4.2066
20200320,5.4444
20200323,5.6037
20200322,3.85
20200324,5.6137
20190310,4.3107
20190311,5.4859
20200208,1.3857
20200209,1.4212
20190314,5.444
20190315,5.7355
20190316,4.7674
20190317,4.2639
20200202,1.4647
20200203,1.7298
20200201,1.5039
20200206,1.4522
20200207,1.4683
20200204,1.6129
20200205,1.5598
20200129,1.6616
20200128,1.6103
20200123,3.5116
20200122,4.3309
20200121,5.0028
20200120,5.4764
20200127,1.7236
20200126,1.8981
20200125,2.2064
20200124,2.643
20200311,4.904
20190130,4.5527
20200217,2.1864
20200108,6.4959
20200219,2.3354
20200218,2.2481
20190303,4.2008
20190302,4.5015
20190301,5.7161
20190307,5.3747
20190306,5.4163
20190305,5.5499
20190304,5.3909
20200215,1.39
20200214,1.9244
20190309,4.5449
20200216,1.4017
20200211,1.8014
20200210,1.9832
20200213,1.8965
20200212,1.8769
20190224,3.9508
20190225,5.2039
20190226,5.168
20190227,5.3297
20190220,4.8201
20190221,4.8996
20190222,5.0319
20190223,4.2418
20200116,6.0704
20200117,6.1542
20200114,6.2816
20200115,6.2669
20190228,5.5865
20200113,6.3792
20200110,6.4699
20200111,5.1925
20190308,5.5612
20200101,5.0501
20200103,6.5088
20200102,6.4467
20200105,4.8136
20200104,5.2662
20200107,6.3428
20200106,6.4613
20200109,6.2974
20190131,4.4057
20200118,4.9269
20200119,5.5181
20190312,5.5269
20190328,5.4459
20190313,5.5547
20190321,5.4992
20190320,5.5294
20190323,4.7056
20190322,5.7092
20190325,5.5739
20190324,4.3531
20190327,5.4667
20190326,5.4731
20190208,2.2072
20190209,2.318
20190202,3.5022
20190203,2.6566
20190201,3.8586
20190206,2.383
20190207,2.2448
20190204,2.2681
20190205,2.3256
20190318,5.3957
20190129,4.7178
20190128,4.8199
20190319,5.5111
20190123,4.9672
20190122,4.9779
20190121,5.0198
20190120,3.9272
20190127,3.6812
20190126,4.016
20190125,5.0118
20190124,5.118
20190219,4.6325
20190218,4.7733
20190215,4.4268
20190214,4.3074
20190217,3.5247
20190216,3.7595
20190211,3.5782
20190210,2.4986
20190213,4.2359
20190212,3.9352
20190118,5.3532
20190119,4.3409
20190116,5.1707
20190117,5.262
20190114,5.2676
20190115,5.406
20190112,4.2438
20190113,3.9048
20200310,4.7858
20200112,4.8388
20200312,4.944
20200313,4.9579
20200314,3.8202
20200315,3.5712
20200316,5.301
20200317,5.3507
20200318,5.3681
20200319,5.3435
20200303,4.3673
20200302,4.3522
20200301,2.6025
20200307,3.4096
20200306,4.5145
20200305,4.4346
20200304,4.3987
20200309,4.6794
20200308,3.0924
20200224,3.6194
20200225,3.5288
20200226,3.66
20200227,3.7344
20200220,2.6038
20200221,2.7827
20200222,2.256
20200223,2.176
20200228,3.6349
20200229,2.8093
20200130,1.497
20200131,1.5489
