Date,Value
20200321,4.0141
20200320,4.6408
20200323,4.8021
20200322,3.8983
20200324,4.7337
20190310,4.5906
20190311,4.8427
20200208,1.7189
20200209,1.7463
20190314,4.7635
20190315,5.1306
20190316,4.6284
20190317,4.1893
20200202,2.0675
20200203,2.0239
20200201,2.065
20200206,1.9104
20200207,1.8869
20200204,2.0438
20200205,1.9235
20200129,2.126
20200128,2.1143
20200123,4.0187
20200122,4.4372
20200121,4.6306
20200120,4.8849
20200127,2.0616
20200126,2.3237
20200125,1.9272
20200124,3.1209
20200311,4.3649
20190130,4.6592
20200217,2.3671
20200108,5.5348
20200219,2.4071
20200218,2.3929
20190303,4.5768
20190302,4.8002
20190301,5.1285
20190307,4.3827
20190306,4.5793
20190305,4.9168
20190304,4.6607
20200215,1.8757
20200214,2.1281
20190309,4.2348
20200216,1.8099
20200211,2.0186
20200210,2.136
20200213,2.0621
20200212,2.0206
20190224,4.2539
20190225,4.4772
20190226,4.487
20190227,4.6604
20190220,4.5527
20190221,4.5678
20190222,4.6549
20190223,4.2047
20200116,5.3004
20200117,5.5854
20200114,5.1089
20200115,5.3438
20190228,4.8243
20200113,5.4807
20200110,5.8115
20200111,5.0368
20190308,4.7851
20200101,5.2518
20200103,5.6506
20200102,5.4914
20200105,4.9124
20200104,5.0906
20200107,5.5317
20200106,5.4914
20200109,5.5558
20190131,4.6527
20200118,4.8592
20200119,5.0449
20190312,4.9133
20190328,4.7264
20190313,4.8646
20190321,4.8332
20190320,4.8379
20190323,4.3334
20190322,4.8685
20190325,4.7489
20190324,4.3307
20190327,4.6981
20190326,4.6538
20190208,3.4666
20190209,3.4279
20190202,4.0433
20190203,3.5381
20190201,4.1823
20190206,3.3033
20190207,3.3406
20190204,3.0128
20190205,3.158
20190318,4.6822
20190129,4.7568
20190128,4.7985
20190319,4.8023
20190123,4.6758
20190122,4.6786
20190121,4.6687
20190120,4.1648
20190127,4.2622
20190126,4.4781
20190125,4.992
20190124,4.8603
20190219,4.4103
20190218,4.3991
20190215,4.3345
20190214,4.3905
20190217,3.4298
20190216,3.9866
20190211,3.8753
20190210,3.5276
20190213,4.3135
20190212,4.1846
20190118,4.8574
20190119,4.4525
20190116,4.5487
20190117,4.703
20190114,4.6802
20190115,4.8081
20190112,4.4666
20190113,4.267
20200310,4.3924
20200112,4.9948
20200312,4.3695
20200313,4.5028
20200314,3.9349
20200315,3.7424
20200316,4.4068
20200317,4.209
20200318,4.4561
20200319,4.4719
20200303,3.8977
20200302,3.8444
20200301,3.1122
20200307,3.5146
20200306,3.9536
20200305,3.9398
20200304,3.4943
20200309,4.4216
20200308,3.5196
20200224,3.1743
20200225,3.2234
20200226,3.3324
20200227,3.4052
20200220,2.5121
20200221,2.6466
20200222,2.3156
20200223,2.3403
20200228,3.4155
20200229,3.065
20200130,2.1756
20200131,2.137
