Date,Value
20200321,5.3095
20200320,5.6139
20200323,5.7031
20200322,5.0108
20200324,5.7282
20190310,4.9134
20190311,5.3623
20200208,2.1762
20200209,2.1798
20190314,5.2898
20190315,5.5556
20190316,5.2016
20190317,4.8201
20200202,2.7213
20200203,2.7555
20200201,2.8569
20200206,2.0667
20200207,2.1013
20200204,2.4565
20200205,2.2541
20200129,3.0433
20200128,3.087
20200123,5.1247
20200122,5.2445
20200121,5.4239
20200120,5.6282
20200127,3.2896
20200126,3.6195
20200125,3.355
20200124,4.4217
20200311,5.2351
20190130,4.7668
20200217,3.2135
20200108,6.1359
20200219,3.5201
20200218,3.4071
20190303,4.851
20190302,5.1245
20190301,5.6295
20190307,5.2423
20190306,5.2873
20190305,5.3945
20190304,5.2495
20200215,2.5188
20200214,2.8343
20190309,4.8819
20200216,2.4674
20200211,2.3632
20200210,2.5633
20200213,2.7382
20200212,2.6657
20190224,4.6194
20190225,5.1491
20190226,5.1574
20190227,5.2735
20190220,5.1354
20190221,5.0517
20190222,5.083
20190223,4.861
20200116,5.8247
20200117,6.0038
20200114,6.0224
20200115,6.0027
20190228,5.4596
20200113,6.0546
20200110,6.1377
20200111,5.5932
20190308,5.4874
20200101,5.3257
20200103,6.1232
20200102,6.1324
20200105,5.4166
20200104,5.6899
20200107,6.1329
20200106,6.1915
20200109,6.0287
20190131,4.8244
20200118,5.4525
20200119,5.4976
20190312,5.3538
20190328,5.2548
20190313,5.3688
20190321,5.3322
20190320,5.3389
20190323,5.0674
20190322,5.525
20190325,5.4007
20190324,4.8788
20190327,5.3212
20190326,5.3112
20190208,3.9056
20190209,4.1221
20190202,4.584
20190203,4.0762
20190201,4.499
20190206,4.2954
20190207,3.9451
20190204,3.7339
20190205,4.0147
20190318,5.246
20190129,5.0
20190128,5.0276
20190319,5.3487
20190123,5.1601
20190122,5.1052
20190121,5.0945
20190120,4.601
20190127,4.4933
20190126,4.7409
20190125,5.237
20190124,5.2549
20190219,4.9065
20190218,5.0936
20190215,4.8605
20190214,4.9644
20190217,4.5835
20190216,4.7967
20190211,4.5785
20190210,4.1647
20190213,4.9065
20190212,4.7964
20190118,5.3133
20190119,4.9056
20190116,5.127
20190117,5.2201
20190114,5.2315
20190115,5.3734
20190112,4.9025
20190113,4.7035
20200310,5.1169
20200112,5.4183
20200312,5.2784
20200313,5.253
20200314,4.9618
20200315,4.7634
20200316,5.4708
20200317,5.5028
20200318,5.5472
20200319,5.5243
20200303,4.8207
20200302,4.796
20200301,3.9284
20200307,4.656
20200306,4.9861
20200305,4.9087
20200304,4.8606
20200309,4.9379
20200308,4.4494
20200224,4.3719
20200225,4.2517
20200226,4.3132
20200227,4.4082
20200220,3.7153
20200221,3.8726
20200222,3.636
20200223,3.4959
20200228,4.2287
20200229,4.0786
20200130,2.8392
20200131,2.8462
