Date,Value
20200321,4.818
20200320,4.7319
20200323,4.76
20200322,4.7196
20200324,4.8033
20190310,4.7858
20190311,4.6404
20200208,1.9302
20200209,1.9299
20190314,4.6076
20190315,5.0838
20190316,5.006
20190317,4.653
20200202,2.0251
20200203,1.9633
20200201,2.1213
20200206,1.7278
20200207,1.9172
20200204,1.9283
20200205,1.8232
20200129,2.5565
20200128,2.5578
20200123,6.1753
20200122,6.5124
20200121,6.418
20200120,6.644
20200127,2.5359
20200126,2.9951
20200125,3.8357
20200124,4.7155
20200311,3.7973
20190130,5.2854
20200217,2.0649
20200108,5.116
20200219,2.0856
20200218,2.0494
20190303,4.7873
20190302,4.6293
20190301,4.9465
20190307,4.4448
20190306,4.4761
20190305,4.6831
20190304,4.5327
20200215,1.8317
20200214,2.0411
20190309,4.6761
20200216,1.9754
20200211,1.998
20200210,2.0312
20200213,2.0328
20200212,2.0197
20190224,4.4848
20190225,4.5561
20190226,4.4036
20190227,4.5602
20190220,5.1359
20190221,4.7917
20190222,4.9118
20190223,4.6581
20200116,5.9651
20200117,5.9872
20200114,5.7946
20200115,5.4127
20190228,4.7233
20200113,5.7653
20200110,5.394
20200111,5.3082
20190308,4.9181
20200101,4.8802
20200103,5.3528
20200102,5.1075
20200105,4.4785
20200104,5.0631
20200107,4.9593
20200106,4.8574
20200109,5.1411
20190131,5.8588
20200118,5.925
20200119,6.2813
20190312,4.6685
20190328,4.4959
20190313,4.6087
20190321,4.4863
20190320,4.6809
20190323,4.7063
20190322,4.9292
20190325,4.6006
20190324,4.6451
20190327,4.4953
20190326,4.4887
20190208,5.336
20190209,4.9658
20190202,6.0098
20190203,5.555
20190201,5.7426
20190206,6.1849
20190207,5.7793
20190204,4.8529
20190205,5.5189
20190318,4.5786
20190129,5.803
20190128,5.6412
20190319,4.6142
20190123,5.1964
20190122,5.0535
20190121,4.9703
20190120,4.7058
20190127,5.2045
20190126,5.1451
20190125,5.2111
20190124,5.2972
20190219,5.0919
20190218,5.0694
20190215,5.085
20190214,4.9171
20190217,4.6617
20190216,4.839
20190211,5.7594
20190210,5.2336
20190213,5.1522
20190212,5.6477
20190118,5.0198
20190119,4.8414
20190116,4.5617
20190117,4.7908
20190114,4.6264
20190115,4.6097
20190112,4.4995
20190113,4.504
20200310,3.4817
20200112,5.3384
20200312,4.1711
20200313,3.9956
20200314,4.3522
20200315,4.4998
20200316,4.4834
20200317,4.5546
20200318,4.6088
20200319,4.631
20200303,2.9755
20200302,2.9157
20200301,2.8292
20200307,3.3283
20200306,3.1872
20200305,3.1117
20200304,3.0479
20200309,3.1271
20200308,3.3541
20200224,2.4797
20200225,2.4877
20200226,2.4219
20200227,2.1965
20200220,2.1288
20200221,2.2217
20200222,2.2571
20200223,2.3269
20200228,2.5072
20200229,2.7011
20200130,2.5644
20200131,2.3201
