Date,Value
20200321,2.2138
20200320,2.2955
20200323,2.2638
20200322,2.1668
20200324,2.2891
20190310,2.5278
20190311,2.4995
20200208,1.4309
20200209,1.4703
20190314,2.5649
20190315,2.6842
20190316,2.7954
20190317,2.7535
20200202,1.5131
20200203,1.5833
20200201,1.586
20200206,1.5138
20200207,1.5501
20200204,1.5612
20200205,1.5696
20200129,1.6291
20200128,1.6738
20200123,1.859
20200122,1.8632
20200121,1.8831
20200120,1.8636
20200127,1.7044
20200126,1.6437
20200125,1.5982
20200124,1.7113
20190130,2.1997
20200217,1.6692
20200108,2.0152
20200219,1.7231
20200218,1.6544
20190303,2.4749
20190302,2.4412
20190301,2.4456
20190307,2.345
20190306,2.3176
20190305,2.4215
20190304,2.3931
20200215,1.5589
20200214,1.6757
20190309,2.5057
20200216,1.5489
20200211,1.5593
20200210,1.5623
20200213,1.5917
20200212,1.568
20190224,2.2685
20190225,2.3864
20190226,2.3637
20190227,2.5081
20190220,2.1664
20190221,2.0914
20190222,2.2242
20190223,2.2916
20200116,1.9293
20200117,1.9163
20200114,1.9232
20200115,1.9595
20200112,1.9312
20200113,1.9518
20200110,2.0198
20200111,1.9358
20190308,2.5201
20200101,2.2008
20200103,2.1161
20200102,2.1119
20200105,2.0034
20200104,2.0137
20200107,2.0637
20200106,2.05
20200109,1.8949
20190131,2.3825
20200118,1.8113
20200119,1.838
20190312,2.5182
20190328,2.9609
20190313,2.5668
20190321,2.7718
20190320,2.805
20190323,2.9167
20190322,2.8233
20190325,2.7814
20190324,2.934
20190327,2.8767
20190326,2.8098
20190208,1.9995
20190209,2.0712
20190202,2.1535
20190203,1.9513
20190201,2.0938
20190206,2.0827
20190207,2.0962
20190204,1.9643
20190205,2.0235
20190318,2.678
20190129,2.2126
20190128,2.1621
20190319,2.728
20190123,2.0062
20190122,2.0283
20190121,2.1607
20190120,2.0827
20190127,2.0697
20190126,2.0279
20190125,1.9571
20190124,2.2208
20190219,2.1838
20190218,2.2959
20190215,2.1207
20190214,2.0707
20190217,2.0996
20190216,2.0822
20190211,1.9975
20190210,2.0587
20190213,2.1357
20190212,2.1222
20190118,2.1972
20190119,2.1501
20190116,2.1905
20190117,2.1939
20190114,2.2203
20190115,2.3344
20190112,2.1828
20190113,2.1308
20190228,2.5322
20200310,2.0049
20200311,2.0553
20200312,2.0156
20200313,2.1218
20200314,2.0714
20200315,2.0504
20200316,2.1848
20200317,2.2054
20200318,2.2723
20200319,2.2226
20200303,1.9301
20200302,1.9213
20200301,1.8881
20200307,1.8426
20200306,1.9832
20200305,1.9614
20200304,1.9243
20200309,2.0026
20200308,1.9942
20200224,1.5451
20200225,1.623
20200226,1.809
20200227,1.7708
20200220,1.7223
20200221,1.7323
20200222,1.7914
20200223,1.6005
20200228,1.8323
20200229,1.9091
20200130,1.6727
20200131,1.665
