Date,Value
20200321,5.6655
20200320,6.0945
20200323,6.181
20200322,5.685
20200324,6.1584
20190310,5.5422
20190311,5.8825
20200208,2.535
20200209,2.5138
20190314,5.8514
20190315,6.0941
20190316,5.8291
20190317,5.5107
20200202,2.6248
20200203,2.6925
20200201,2.7398
20200206,2.4122
20200207,2.4676
20200204,2.5081
20200205,2.4305
20200129,2.8391
20200128,3.1627
20200123,4.8949
20200122,5.3981
20200121,5.6256
20200120,5.8681
20200127,3.3676
20200126,3.704
20200125,4.0849
20200124,4.4486
20200311,5.4361
20190130,5.0675
20200217,2.9845
20200108,6.3022
20200219,3.0434
20200218,2.9937
20190303,5.5212
20190302,5.6973
20190301,6.024
20190307,5.7923
20190306,5.7322
20190305,5.8338
20190304,5.7695
20200215,2.4768
20200214,2.7472
20190309,5.6241
20200216,2.5642
20200211,2.8074
20200210,2.8301
20200213,2.7908
20200212,2.8049
20190224,5.2087
20190225,5.5042
20190226,5.5386
20190227,5.712
20190220,5.4062
20190221,5.4064
20190222,5.6014
20190223,5.2894
20200116,6.2348
20200117,6.2082
20200114,6.3779
20200115,6.2971
20190228,5.8188
20200113,6.4617
20200110,6.4797
20200111,5.9987
20190308,6.1709
20200101,6.2383
20200103,6.8018
20200102,6.6823
20200105,5.3013
20200104,6.2768
20200107,6.0671
20200106,5.7
20200109,6.3426
20190131,5.0573
20200118,5.5244
20200119,5.8863
20190312,5.883
20190328,5.8317
20190313,5.8944
20190321,5.8666
20190320,5.8589
20190323,5.7589
20190322,6.0755
20190325,5.919
20190324,5.6452
20190327,5.8462
20190326,5.8532
20190208,4.0396
20190209,4.0108
20190202,4.6724
20190203,4.0439
20190201,4.6861
20190206,4.057
20190207,4.0081
20190204,4.0041
20190205,4.0305
20190318,5.8641
20190129,5.2025
20190128,5.3718
20190319,5.9012
20190123,5.4651
20190122,5.3287
20190121,5.3793
20190120,5.0769
20190127,4.7949
20190126,4.9486
20190125,5.4068
20190124,5.5477
20190219,5.3335
20190218,5.1086
20190215,4.9112
20190214,4.6733
20190217,4.7306
20190216,4.7394
20190211,4.7593
20190210,4.2753
20190213,5.0977
20190212,4.9696
20190118,5.6086
20190119,5.2079
20190116,5.4139
20190117,5.5112
20190114,5.7055
20190115,5.6102
20190112,5.3498
20190113,5.3108
20200310,5.3836
20200112,5.9119
20200312,5.4477
20200313,5.6124
20200314,5.1077
20200315,5.1939
20200316,5.7914
20200317,5.7907
20200318,5.7496
20200319,5.8978
20200303,4.92
20200302,4.886
20200301,4.3254
20200307,4.7818
20200306,5.1893
20200305,5.0655
20200304,4.9869
20200309,5.3168
20200308,4.6016
20200224,3.955
20200225,4.049
20200226,4.2197
20200227,4.2625
20200220,3.0511
20200221,3.2085
20200222,2.9378
20200223,3.1309
20200228,4.5707
20200229,4.199
20200130,2.908
20200131,2.9739
