Date,Value
20200321,4.0883
20200320,4.6062
20200323,4.6704
20200322,4.0378
20200324,4.6439
20190310,4.2965
20190311,4.5058
20200208,2.1979
20200209,2.0765
20190314,4.5011
20190315,4.8556
20190316,4.3175
20190317,4.1481
20200202,2.2553
20200203,2.338
20200201,2.4949
20200206,2.2641
20200207,2.3038
20200204,2.2642
20200205,2.2635
20200129,3.3819
20200128,3.4716
20200123,4.7202
20200122,4.9483
20200121,4.9768
20200120,5.0233
20200127,3.6107
20200126,3.7726
20200125,3.5063
20200124,4.0622
20200311,4.227
20190130,4.5719
20200217,2.9195
20200108,5.1063
20200219,2.9934
20200218,2.9682
20190303,4.2526
20190302,4.299
20190301,4.875
20190307,4.3411
20190306,4.3314
20190305,4.5025
20190304,4.3711
20200215,2.3934
20200214,2.8474
20190309,4.1424
20200216,2.3503
20200211,2.6015
20200210,2.5431
20200213,2.7243
20200212,2.6595
20190224,4.1101
20190225,4.3237
20190226,4.335
20190227,4.4444
20190220,4.4924
20190221,4.4217
20190222,4.5007
20190223,4.138
20200116,5.1015
20200117,5.0333
20200114,5.0997
20200115,5.1277
20190228,4.5588
20200113,5.1156
20200110,5.1955
20200111,4.6128
20190308,4.8422
20200101,4.857
20200103,5.1347
20200102,5.1925
20200105,4.4063
20200104,4.4212
20200107,5.1133
20200106,5.0737
20200109,5.1031
20190131,4.6127
20200118,4.566
20200119,4.9418
20190312,4.5406
20190328,4.0341
20190313,4.5307
20190321,4.4056
20190320,4.4281
20190323,4.198
20190322,4.789
20190325,4.4929
20190324,4.2173
20190327,4.3611
20190326,4.3963
20190208,3.7674
20190209,3.7038
20190202,4.487
20190203,4.0087
20190201,4.2951
20190206,3.8568
20190207,3.7882
20190204,3.771
20190205,3.8139
20190318,4.3787
20190129,4.3662
20190128,4.4018
20190319,4.4184
20190123,4.386
20190122,4.362
20190121,4.5838
20190120,4.2125
20190127,3.8533
20190126,3.9437
20190125,4.3536
20190124,4.4463
20190219,4.5243
20190218,4.5635
20190215,4.352
20190214,4.4459
20190217,3.7783
20190216,3.9062
20190211,4.3104
20190210,3.8058
20190213,4.4481
20190212,4.3732
20190118,4.8235
20190119,4.2726
20190116,4.6363
20190117,4.7299
20190114,4.6591
20190115,4.7432
20190112,4.1546
20190113,4.2149
20200310,4.1857
20200112,4.5521
20200312,4.2271
20200313,4.3381
20200314,3.8825
20200315,3.7883
20200316,4.4503
20200317,4.472
20200318,4.4984
20200319,4.5278
20200303,3.9926
20200302,4.0549
20200301,3.3133
20200307,3.5388
20200306,4.0993
20200305,4.033
20200304,4.0189
20200309,4.2129
20200308,3.5993
20200224,3.5367
20200225,3.4803
20200226,3.5562
20200227,3.5638
20200220,3.0398
20200221,3.129
20200222,2.6657
20200223,2.7121
20200228,3.6934
20200229,3.2703
20200130,2.9846
20200131,2.6866
