Date,Value
20200321,4.8063
20200320,4.8785
20200323,4.9653
20200322,4.7569
20200324,4.9714
20190310,4.8256
20190311,4.8255
20200208,1.5373
20200209,1.5642
20190314,4.8256
20190315,5.2128
20190316,4.9978
20190317,4.6532
20200202,1.7433
20200203,1.7503
20200201,1.9462
20200206,1.4265
20200207,1.5781
20200204,1.6395
20200205,1.4999
20200129,2.3679
20200128,2.4208
20200123,5.7083
20200122,6.0367
20200121,5.9645
20200120,6.2307
20200127,2.4991
20200126,3.2073
20200125,3.4224
20200124,4.6447
20200311,4.6001
20190130,5.1703
20200217,1.9666
20200108,5.3756
20200219,2.178
20200218,2.0121
20190303,4.7633
20190302,4.5006
20190301,5.0939
20190307,4.6772
20190306,4.6554
20190305,4.8822
20190304,4.7132
20200215,1.5564
20200214,1.7645
20190309,4.7393
20200216,1.6707
20200211,1.721
20200210,1.7324
20200213,1.7717
20200212,1.7617
20190224,4.4801
20190225,4.6827
20190226,4.59
20190227,4.7165
20190220,4.8927
20190221,4.7191
20200118,5.6063
20190223,4.6649
20200116,5.7911
20200117,5.7903
20200114,5.7047
20200115,5.5473
20190228,4.8799
20200113,5.8219
20200110,5.597
20200111,5.2329
20190308,5.0563
20200101,4.9229
20200103,5.5903
20200102,5.3458
20200105,4.3709
20200104,5.0901
20200107,4.9826
20200106,5.0646
20200109,5.4046
20190131,5.5708
20190222,4.9379
20200119,5.8764
20190312,4.8862
20190328,4.6292
20190313,4.8251
20190321,4.6872
20190320,4.8412
20190323,4.678
20190322,5.0584
20190325,4.8032
20190324,4.6611
20190327,4.6748
20190326,4.6695
20190208,4.3179
20190209,4.2769
20190202,5.534
20190203,5.0774
20190201,5.3387
20190206,5.7205
20190207,5.0405
20190204,4.7048
20190205,5.2127
20190318,4.7802
20190129,5.5796
20190128,5.359
20190319,4.803
20190123,5.1422
20190122,5.0691
20190121,5.0173
20190120,4.7184
20190127,4.8953
20190126,4.901
20190125,5.1685
20190124,5.3254
20190219,4.9973
20190218,5.0016
20190215,4.8946
20190214,4.3347
20190217,4.5655
20190216,4.6904
20190211,5.3369
20190210,4.6633
20190213,4.8238
20190212,5.2406
20190118,5.0381
20190119,4.7585
20190116,4.6603
20190117,4.8492
20190114,4.7654
20190115,4.7561
20190112,4.5396
20190113,4.4392
20200310,4.4577
20200112,5.1702
20200312,4.6234
20200313,4.5319
20200314,4.4054
20200315,4.5537
20200316,4.7084
20200317,4.7503
20200318,4.79
20200319,4.7855
20200303,4.1697
20200302,4.2063
20200301,3.9923
20200307,4.3253
20200306,4.3604
20200305,4.2721
20200304,4.1771
20200309,4.1792
20200308,4.2509
20200224,3.3576
20200225,3.5025
20200226,3.3951
20200227,3.0963
20200220,2.332
20200221,2.6047
20200222,2.8811
20200223,2.9591
20200228,3.7242
20200229,3.8221
20200130,2.4814
20200131,2.2562
