Date,Value
20200321,4.6284
20200320,4.8818
20200323,4.7493
20200322,4.3441
20200324,4.6627
20190310,4.628
20190311,4.801
20200208,1.5437
20200209,1.5977
20190314,4.8055
20190315,5.1332
20190316,4.7456
20190317,4.3494
20200202,1.8433
20200203,1.8486
20200201,2.4163
20200206,1.6262
20200207,1.6926
20200204,1.7606
20200205,1.7731
20200129,2.8829
20200128,3.0903
20200123,5.0707
20200122,5.528
20200121,5.6524
20200120,5.5632
20200127,2.9979
20200126,3.6579
20200125,3.7656
20200124,4.6682
20200311,4.476
20190130,5.2475
20200217,2.7395
20200108,5.2357
20200219,2.9069
20200218,2.8993
20190303,4.6098
20190302,4.5043
20190301,4.9696
20190307,4.6059
20190306,4.5553
20190305,4.6913
20190304,4.6701
20200215,1.8617
20200214,2.2245
20190309,4.359
20200216,2.2879
20200211,1.7309
20200210,1.8496
20200213,1.881
20200212,1.7828
20190224,4.2828
20190225,4.6107
20190226,4.5475
20190227,4.53
20190220,4.755
20190221,4.4697
20190222,4.7019
20190223,4.2283
20200116,5.2585
20200117,5.4529
20200114,5.2084
20200115,5.1565
20190228,4.734
20200113,5.3301
20200110,5.2423
20200111,4.7583
20190308,4.7758
20200101,4.8592
20200103,5.3472
20200102,5.3083
20200105,4.6946
20200104,4.7596
20200107,5.1834
20200106,5.2806
20200109,5.2984
20190131,5.2032
20200118,5.3212
20200119,5.5267
20190312,4.8907
20190328,4.6397
20190313,4.8683
20190321,4.8578
20190320,4.8644
20190323,4.493
20190322,4.9202
20190325,4.8049
20190324,4.4639
20190327,4.7189
20190326,4.7072
20190208,5.803
20190209,5.5786
20190202,5.191
20190203,4.6895
20190201,5.0942
20190206,6.5509
20190207,6.0405
20190204,4.5234
20190205,5.5372
20190318,4.7246
20190129,5.3641
20190128,5.192
20190319,4.8405
20190123,4.9867
20190122,4.8703
20190121,4.8475
20190120,4.454
20190127,4.6248
20190126,4.6789
20190125,4.9514
20190124,5.0336
20190219,4.6982
20190218,4.7028
20190215,4.8705
20190214,5.1461
20190217,4.4017
20190216,4.5706
20190211,5.4671
20190210,5.3347
20190213,5.2489
20190212,5.4555
20190118,4.9747
20190119,4.6207
20190116,4.6531
20190117,4.8139
20190114,4.7229
20190115,4.7953
20190112,4.4168
20190113,4.3484
20200310,4.6337
20200112,5.0574
20200312,4.1986
20200313,4.4537
20200314,4.478
20200315,4.4123
20200316,4.6042
20200317,4.431
20200318,4.6757
20200319,4.7453
20200303,3.9123
20200302,4.2885
20200301,3.8364
20200307,3.8359
20200306,4.01
20200305,4.2914
20200304,4.0722
20200309,4.1444
20200308,4.0426
20200224,3.8815
20200225,3.9435
20200226,4.0409
20200227,4.0423
20200220,3.1843
20200221,3.1944
20200222,3.225
20200223,3.3703
20200228,4.0879
20200229,3.7129
20200130,2.816
20200131,2.6389
