Date,Value
20200321,4.0799
20200320,4.1746
20200323,4.1123
20200322,3.9557
20200324,4.147
20190310,3.7557
20190311,3.9473
20200208,1.4394
20200209,1.4894
20190314,3.8878
20190315,4.1265
20190316,4.1172
20190317,3.7723
20200202,1.7782
20200203,1.7964
20200201,1.9679
20200206,1.5432
20200207,1.5593
20200204,1.7149
20200205,1.7395
20200129,2.2556
20200128,2.3417
20200123,4.1509
20200122,4.5226
20200121,4.5591
20200120,4.769
20200127,2.8094
20200126,2.0186
20200125,3.9226
20200124,3.4169
20200311,3.9199
20190130,3.7035
20200217,2.5559
20200108,4.6179
20200219,2.9509
20200218,2.7589
20190303,3.6243
20190302,4.0338
20190301,4.1031
20190307,3.6802
20190306,3.7069
20190305,3.737
20190304,3.8399
20200215,1.8245
20200214,1.6884
20190309,3.4245
20200216,1.568
20200211,1.6736
20200210,1.7019
20200213,1.722
20200212,1.6156
20190224,3.3082
20190225,3.7436
20190226,3.7225
20190227,3.8613
20190220,3.8557
20190221,3.6846
20200118,4.4272
20190223,3.5161
20200116,4.7344
20200117,4.5051
20200114,4.5868
20200115,4.6388
20190228,3.9048
20200113,4.6341
20200110,4.8249
20200111,4.4919
20190308,3.8958
20200101,4.46
20200103,4.7839
20200102,4.6807
20200105,4.3333
20200104,4.483
20200107,4.6693
20200106,4.6877
20200109,4.6297
20190131,4.1499
20190222,3.9125
20200119,4.2751
20190312,3.994
20190328,3.9244
20190313,3.9627
20190321,3.9998
20190320,3.9385
20190323,3.8764
20190322,3.9438
20190325,3.8398
20190324,3.6371
20190327,3.8884
20190326,3.8981
20190208,3.444
20190209,3.6961
20190202,3.7594
20190203,3.377
20190201,3.6607
20190206,3.4083
20190207,4.031
20190204,2.9028
20190205,3.1556
20190318,3.8719
20190129,3.9555
20190128,3.8635
20190319,3.9346
20190123,3.84
20190122,3.8138
20190121,3.8473
20190120,3.7527
20190127,3.6077
20190126,3.6986
20190125,3.9284
20190124,3.9268
20190219,3.8994
20190218,3.9337
20190215,3.9678
20190214,4.005
20190217,3.5732
20190216,3.6319
20190211,3.8514
20190210,3.8322
20190213,3.8712
20190212,3.9952
20190118,4.0516
20190119,3.9142
20190116,3.776
20190117,3.9138
20190114,3.8517
20190115,4.0234
20190112,3.8151
20190113,3.7059
20200310,3.8299
20200112,4.3319
20200312,3.3831
20200313,3.9023
20200314,3.7242
20200315,3.8381
20200316,4.137
20200317,3.9207
20200318,3.9432
20200319,3.9161
20200303,3.6653
20200302,3.561
20200301,3.2553
20200307,3.6133
20200306,3.7485
20200305,3.5425
20200304,3.229
20200309,3.9177
20200308,3.4941
20200224,3.4132
20200225,3.5
20200226,3.4746
20200227,3.3787
20200220,3.0853
20200221,3.2179
20200222,3.0794
20200223,3.0357
20200228,3.4606
20200229,3.4525
20200130,2.2019
20200131,2.0403
