Date,Value
20200321,5.1214
20200320,5.0423
20200323,5.1124
20200322,5.1089
20200324,5.1008
20190310,4.833
20190311,4.7348
20200208,1.4143
20200209,1.4755
20190314,4.7515
20190315,5.1177
20190316,5.0477
20190317,4.7101
20200202,1.6547
20200203,1.7289
20200201,1.8388
20200206,1.3739
20200207,1.5365
20200204,1.6746
20200205,1.4512
20200129,1.7866
20200128,2.195
20200123,6.0341
20200122,6.5463
20200121,6.4717
20200120,6.4433
20200127,2.2374
20200126,2.7626
20200125,4.28
20200124,4.8433
20200311,4.7133
20190130,5.5766
20200217,1.4868
20200108,4.61
20200219,1.6511
20200218,1.54
20190303,4.8265
20190302,4.987
20190301,5.2077
20190307,4.6096
20190306,4.5871
20190305,4.8133
20190304,4.6613
20200215,1.3003
20200214,1.3376
20190309,4.7574
20200216,1.3228
20200211,1.483
20200210,1.5872
20200213,1.4131
20200212,1.405
20190224,4.5853
20190225,4.7333
20190226,4.6288
20190227,4.474
20190220,5.4211
20190221,5.0022
20190222,5.1394
20200119,6.1969
20200116,5.9201
20200117,5.9498
20200114,5.7263
20200115,5.7536
20190228,4.6435
20200113,5.7666
20200110,5.6593
20200111,5.2717
20190308,5.0416
20200101,5.0987
20200103,5.5277
20200102,5.417
20200105,4.352
20200104,5.2634
20200107,4.3526
20200106,5.2342
20200109,5.3211
20190131,5.8198
20200118,5.8834
20190223,4.8273
20190312,4.7266
20190328,4.5196
20190313,4.7415
20190321,4.6122
20190320,4.7611
20190323,4.6814
20190322,5.0263
20190325,4.7487
20190324,4.7594
20190327,4.6719
20190326,4.6662
20190208,5.3255
20190209,4.9966
20190202,5.8709
20190203,5.4493
20190201,5.7154
20190206,5.7712
20190207,5.6302
20190204,4.4826
20190205,5.1269
20190318,4.6723
20190129,5.6419
20190128,5.5371
20190319,4.7461
20190123,5.3371
20190122,5.035
20190121,5.0412
20190120,4.5658
20190127,4.9644
20190126,5.0344
20190125,5.1264
20190124,5.3718
20190219,4.7378
20190218,5.2309
20190215,4.6373
20190214,3.843
20190217,4.9265
20190216,4.9874
20190211,5.4839
20190210,4.5424
20190213,5.1007
20190212,5.5661
20190118,4.8389
20190119,4.4284
20190116,4.679
20190117,4.759
20190114,4.7392
20190115,4.7438
20190112,4.6746
20190113,4.6106
20200310,4.6083
20200112,5.4793
20200312,4.7567
20200313,4.6692
20200314,4.8516
20200315,4.9518
20200316,4.8236
20200317,5.0044
20200318,5.025
20200319,5.0345
20200303,4.0863
20200302,3.982
20200301,3.7099
20200307,4.3822
20200306,4.2532
20200305,4.1817
20200304,4.1107
20200309,4.0221
20200308,4.3656
20200224,3.0063
20200225,3.0806
20200226,3.0339
20200227,3.0185
20200220,2.0197
20200221,2.7052
20200222,3.0485
20200223,2.9509
20200228,3.0578
20200229,3.3535
20200130,1.8165
20200131,1.8206
