Date,Value
20200321,4.7772
20200320,4.8731
20200323,4.7993
20200322,4.6297
20200324,4.7363
20190310,4.5566
20190311,4.142
20200208,2.4488
20200209,2.683
20190314,3.9871
20190315,4.486
20190316,4.2335
20190317,4.2973
20200202,2.9743
20200203,2.8753
20200201,3.3368
20200206,2.397
20200207,2.5363
20200204,2.7927
20200205,2.4645
20200129,3.9568
20200128,4.1981
20200123,5.9337
20200122,6.3664
20200121,6.2337
20200120,6.2802
20200127,4.5878
20200126,4.6723
20200125,3.4319
20200124,4.4618
20200311,4.858
20190130,5.498
20200217,4.2344
20200108,4.7738
20200219,4.4663
20200218,4.4263
20190303,4.5377
20190302,4.3931
20190301,4.6652
20190307,3.9403
20190306,3.895
20190305,4.0149
20190304,4.0372
20200215,2.5691
20200214,3.1054
20190309,4.1057
20200216,3.4185
20200211,2.5165
20200210,2.6405
20200213,2.9553
20200212,2.6924
20190224,4.6003
20190225,4.5366
20190226,4.3309
20190227,4.2278
20190220,4.9762
20190221,4.648
20190222,4.7202
20190223,4.3968
20200116,5.6476
20200117,5.9262
20200114,5.3069
20200115,5.4312
20190228,4.3355
20200113,5.4677
20200110,5.1994
20200111,5.2306
20190308,4.5041
20200101,4.7477
20200103,4.842
20200102,4.9028
20200105,4.8449
20200104,4.5094
20200107,4.8493
20200106,4.786
20200109,4.8524
20190131,5.7111
20200118,5.926
20200119,6.2
20190312,4.1273
20190328,3.87
20190313,4.0297
20190321,3.9982
20190320,4.0304
20190323,4.077
20190322,4.4765
20190325,3.9273
20190324,4.2119
20190327,3.8552
20190326,3.8444
20190208,5.7557
20190209,5.4238
20190202,5.7119
20190203,5.2042
20190201,5.4369
20190206,5.7635
20190207,5.779
20190204,4.0042
20190205,4.8839
20190318,3.9444
20190129,5.4881
20190128,5.3041
20190319,3.9697
20190123,4.8677
20190122,4.6207
20190121,4.5628
20190120,4.111
20190127,4.9322
20190126,4.9041
20190125,4.9354
20190124,4.9564
20190219,4.7888
20190218,4.8823
20190215,5.0152
20190214,5.4291
20190217,4.5387
20190216,4.7098
20190211,5.2951
20190210,5.2183
20190213,5.325
20190212,5.4326
20190118,4.3825
20190119,4.1943
20190116,4.1818
20190117,4.2822
20190114,3.963
20190115,4.336
20190112,3.8967
20190113,3.9368
20200310,4.9062
20200112,5.447
20200312,4.753
20200313,4.8659
20200314,4.8547
20200315,4.7998
20200316,4.8646
20200317,4.6367
20200318,4.5963
20200319,4.7503
20200303,4.6028
20200302,4.7569
20200301,4.725
20200307,4.6313
20200306,4.778
20200305,4.7623
20200304,4.7896
20200309,4.9207
20200308,4.871
20200224,4.8148
20200225,4.8551
20200226,4.8838
20200227,4.8524
20200220,4.3491
20200221,4.3958
20200222,4.3135
20200223,4.5613
20200228,4.8594
20200229,4.8013
20200130,3.8403
20200131,3.4929
