Date,Value
20200321,4.6914
20200320,5.351
20200323,5.5026
20200322,4.3399
20200324,5.4805
20190310,4.6027
20190311,5.3191
20200208,1.6835
20200209,1.8188
20190314,5.33
20190315,5.5821
20190316,5.0434
20190317,4.515
20200202,1.5884
20200203,1.8231
20200201,1.5989
20200206,1.5911
20200207,1.6721
20200204,1.6684
20200205,1.6341
20200129,1.4947
20200128,1.5234
20200123,3.7329
20200122,4.4538
20200121,4.9691
20200120,5.3598
20200127,1.8773
20200126,1.8678
20200125,2.2294
20200124,2.7995
20200311,4.9323
20190130,4.5554
20200217,2.9886
20200108,6.0902
20200219,3.2293
20200218,3.1418
20190303,4.5011
20190302,4.9271
20190301,5.5624
20190307,5.1897
20190306,5.2086
20190305,5.3972
20190304,5.2062
20200215,1.7539
20200214,2.7923
20190309,4.8005
20200216,1.8125
20200211,2.542
20200210,2.6284
20200213,2.7553
20200212,2.6146
20190224,4.1776
20190225,4.9967
20190226,4.9985
20190227,5.2127
20190220,4.8673
20190221,4.8582
20190222,4.9567
20190223,4.4768
20200116,6.1848
20200117,6.0526
20200114,6.1511
20200115,6.1917
20190228,5.388
20200113,6.2739
20200110,6.4389
20200111,5.6957
20190308,5.4174
20200101,5.2525
20200103,6.4751
20200102,6.3806
20200105,5.1249
20200104,5.6359
20200107,6.1001
20200106,6.3396
20200109,6.3046
20190131,4.3874
20200118,5.1487
20200119,5.4323
20190312,5.3898
20190328,5.3009
20190313,5.4108
20190321,5.3192
20190320,5.1558
20190323,4.9039
20190322,5.5583
20190325,5.4358
20190324,4.5995
20190327,5.3406
20190326,5.3299
20190208,2.8516
20190209,2.8743
20190202,3.6024
20190203,2.8836
20190201,3.9077
20190206,2.5307
20190207,3.1477
20190204,2.34
20190205,2.4353
20190318,5.2584
20190129,4.7593
20190128,4.8675
20190319,5.3864
20190123,5.0659
20190122,5.0647
20190121,5.0732
20190120,4.2983
20190127,4.1289
20190126,4.4409
20190125,5.0744
20190124,5.2098
20190219,4.4305
20190218,4.816
20190215,4.4165
20190214,4.4034
20190217,3.8291
20190216,4.0413
20190211,4.0221
20190210,3.0795
20190213,4.505
20190212,4.3968
20190118,5.3909
20190119,4.7208
20190116,5.0669
20190117,5.2289
20190114,5.1725
20190115,5.2658
20190112,4.6214
20190113,4.2247
20200310,4.8459
20200112,5.2762
20200312,4.9308
20200313,4.9627
20200314,4.2595
20200315,3.9079
20200316,5.1458
20200317,5.1978
20200318,5.2398
20200319,5.2162
20200303,4.4164
20200302,4.4133
20200301,3.0646
20200307,3.7745
20200306,4.5957
20200305,4.5133
20200304,4.4757
20200309,4.7942
20200308,3.5695
20200224,3.8057
20200225,3.7702
20200226,3.8752
20200227,3.8947
20200220,3.3261
20200221,3.3945
20200222,2.8832
20200223,2.6605
20200228,3.8048
20200229,3.3929
20200130,1.51
20200131,1.6033
