Date,Value
20200321,4.2377
20200320,4.6984
20200323,4.8291
20200322,4.2489
20200324,4.8204
20190310,4.4623
20190311,4.8522
20200208,2.1494
20200209,2.0047
20190314,4.8004
20190315,4.986
20190316,4.6707
20190317,4.3647
20200202,1.8994
20200203,2.2289
20200201,2.4981
20200206,2.1115
20200207,2.2216
20200204,2.2345
20200205,2.1867
20200129,2.9678
20200128,2.8032
20200123,4.8871
20200122,5.2848
20200121,5.3438
20200120,5.4731
20200127,3.2003
20200126,3.6846
20200125,3.4338
20200124,3.9793
20200311,4.3005
20190130,4.4778
20200217,2.5896
20200108,5.7394
20200219,2.6482
20200218,2.6403
20190303,4.3927
20190302,4.5679
20190301,4.9535
20190307,4.7221
20190306,4.6517
20190305,4.8081
20190304,4.712
20200215,1.813
20200214,2.2998
20190309,4.48
20200216,2.045
20200211,2.305
20200210,2.4448
20200213,2.4787
20200212,2.4031
20190224,4.1223
20190225,4.5111
20190226,4.4893
20190227,4.6727
20190220,4.503
20190221,4.5001
20190222,4.5325
20190223,4.2403
20200116,5.5546
20200117,5.5038
20200114,5.4973
20200115,5.5358
20190228,4.8243
20200113,5.536
20200110,5.7787
20200111,5.1626
20190308,4.9903
20200101,5.0339
20200103,5.6717
20200102,5.6153
20200105,4.8437
20200104,5.0589
20200107,5.5226
20200106,5.2028
20200109,5.7043
20190131,4.5872
20200118,5.0164
20200119,5.3767
20190312,4.8323
20190328,4.7745
20190313,4.8436
20190321,4.8099
20190320,4.744
20190323,4.5935
20190322,5.0329
20190325,4.9232
20190324,4.5094
20190327,4.7998
20190326,4.7861
20190208,3.6307
20190209,3.7099
20190202,4.3627
20190203,3.895
20190201,4.3096
20190206,3.8018
20190207,3.6985
20190204,3.4216
20190205,3.6117
20190318,4.7366
20190129,4.5188
20190128,4.5919
20190319,4.8292
20190123,4.4882
20190122,4.4953
20190121,4.5247
20190120,4.1358
20190127,4.0355
20190126,4.1486
20190125,4.5051
20190124,4.6165
20190219,4.3862
20190218,4.5205
20190215,4.0732
20190214,4.231
20190217,3.8507
20190216,3.9448
20190211,4.2282
20190210,3.7957
20190213,4.327
20190212,4.1911
20190118,4.7986
20190119,4.284
20190116,4.5613
20190117,4.68
20190114,4.5676
20190115,4.6909
20190112,4.1959
20190113,4.019
20200310,4.2789
20200112,4.9983
20200312,4.2657
20200313,4.3919
20200314,4.0499
20200315,3.8881
20200316,4.5176
20200317,4.4921
20200318,4.6143
20200319,4.545
20200303,3.5913
20200302,3.8154
20200301,3.0419
20200307,3.6174
20200306,3.9778
20200305,3.8915
20200304,3.8684
20200309,3.8599
20200308,3.5246
20200224,3.1424
20200225,3.0393
20200226,3.2084
20200227,3.28
20200220,2.6746
20200221,2.7639
20200222,2.574
20200223,2.5353
20200228,3.3547
20200229,2.9683
20200130,2.8326
20200131,2.7965
