Date,Value
20200321,3.9525
20200320,4.2777
20200323,4.4045
20200322,4.0067
20200324,4.2762
20190310,4.1962
20190311,4.4163
20200208,2.5471
20200209,2.5286
20190314,4.323
20190315,4.7259
20190316,4.5888
20190317,4.2466
20200202,2.6917
20200203,2.537
20200201,2.7794
20200206,2.393
20200207,2.5948
20200204,2.4742
20200205,2.5477
20200129,2.6884
20200128,2.8799
20200123,4.7313
20200122,4.8213
20200121,4.7719
20200120,4.7301
20200127,2.7197
20200126,3.1813
20200125,2.8126
20200124,3.9542
20200311,4.1142
20190130,4.487
20200217,3.1807
20200108,4.7
20200219,3.291
20200218,3.2615
20190303,4.2799
20190302,4.3501
20190301,4.6144
20190307,3.9591
20190306,4.0362
20190305,4.1385
20190304,4.2551
20200215,2.4046
20200214,2.8441
20190309,3.9166
20200216,2.6031
20200211,2.8769
20200210,2.9576
20200213,2.9731
20200212,2.9931
20190224,3.9277
20190225,4.0288
20190226,3.995
20190227,4.1191
20190220,4.1049
20190221,3.8701
20190222,4.2337
20190223,3.5689
20200116,4.7181
20200117,4.7291
20200114,4.6112
20200115,4.8313
20190228,4.2699
20200113,4.6944
20200110,4.897
20200111,4.4031
20190308,4.4503
20200101,4.6691
20200103,4.8931
20200102,4.8333
20200105,4.4486
20200104,4.5229
20200107,4.7822
20200106,4.7794
20200109,4.6856
20190131,4.5615
20200118,4.5916
20200119,4.7154
20190312,4.4607
20190328,4.2857
20190313,4.4225
20190321,4.4057
20190320,4.3719
20190323,4.1673
20190322,4.6473
20190325,4.334
20190324,4.0521
20190327,4.2851
20190326,4.2819
20190208,5.2245
20190209,4.699
20190202,4.5031
20190203,4.2905
20190201,4.381
20190206,5.254
20190207,4.8077
20190204,3.832
20190205,4.543
20190318,4.2626
20190129,4.5293
20190128,4.441
20190319,4.3598
20190123,4.3534
20190122,4.233
20190121,4.2397
20190120,4.0863
20190127,4.0398
20190126,4.173
20190125,4.3474
20190124,4.4953
20190219,3.8783
20190218,3.8544
20190215,4.1907
20190214,4.4422
20190217,3.7878
20190216,3.9924
20190211,4.2651
20190210,4.4318
20190213,4.4225
20190212,4.5373
20190118,4.5951
20190119,4.389
20190116,4.3211
20190117,4.4581
20190114,4.3272
20190115,4.5011
20190112,4.1511
20190113,4.0651
20200310,4.2179
20200112,4.3612
20200312,3.933
20200313,4.0062
20200314,4.0138
20200315,3.9395
20200316,4.3519
20200317,4.1525
20200318,4.0691
20200319,3.964
20200303,3.9248
20200302,4.1324
20200301,3.785
20200307,3.7076
20200306,4.0011
20200305,4.0207
20200304,3.6182
20200309,4.1038
20200308,3.7493
20200224,3.8303
20200225,3.7948
20200226,3.8469
20200227,3.8881
20200220,3.4006
20200221,3.5337
20200222,3.3376
20200223,3.2618
20200228,3.9632
20200229,3.9128
20200130,2.6925
20200131,2.677
