Date,Value
20200321,4.461
20200320,4.58
20200323,4.6508
20200322,4.4433
20200324,4.6589
20190310,4.6239
20190311,4.2584
20200208,2.7791
20200209,2.4692
20190314,4.4008
20190315,4.775
20190316,4.7434
20190317,4.6874
20200202,2.6036
20200203,2.7302
20200201,2.6431
20200206,2.6835
20200207,2.8414
20200204,2.674
20200205,2.5329
20200129,2.9408
20200128,3.0516
20200123,5.8829
20200122,5.7368
20200121,5.6294
20200120,5.6037
20200127,3.495
20200126,3.8885
20200125,4.1176
20200124,4.3606
20200311,4.0803
20190130,4.5765
20200217,2.4895
20200108,5.2875
20200219,2.6944
20200218,2.5882
20190303,4.5697
20190302,4.5006
20190301,4.8189
20190307,4.3059
20190306,4.2029
20190305,4.3862
20190304,4.2153
20200215,2.5703
20200214,2.6237
20190309,4.4868
20200216,2.3223
20200211,2.4334
20200210,2.4798
20200213,2.4387
20200212,2.494
20190224,4.2423
20190225,4.1245
20190226,4.1303
20190227,4.3113
20190220,4.6416
20190221,4.225
20200118,5.3919
20190223,4.2932
20200116,5.4403
20200117,5.709
20200114,5.4578
20200115,5.4447
20190228,4.3899
20200113,5.3668
20200110,5.6836
20200111,5.3172
20190308,4.9289
20200101,5.5778
20200103,5.5314
20200102,5.2692
20200105,5.3168
20200104,5.1943
20200107,5.2895
20200106,5.3093
20200109,5.2931
20190131,4.6869
20190222,4.4748
20200119,5.5064
20190312,4.4106
20190328,4.2152
20190313,4.4242
20190321,4.4619
20190320,4.4893
20190323,4.4762
20190322,4.793
20190325,4.2836
20190324,4.5747
20190327,4.2093
20190326,4.2144
20190208,4.4207
20190209,4.4109
20190202,4.683
20190203,4.6242
20190201,4.4733
20190206,4.382
20190207,4.5184
20190204,3.7131
20190205,4.0475
20190318,4.4057
20190129,4.5707
20190128,4.3823
20190319,4.5062
20190123,4.3858
20190122,4.3765
20190121,4.2524
20190120,4.6136
20190127,4.2001
20190126,4.2568
20190125,4.5968
20190124,4.5728
20190219,4.5291
20190218,4.5076
20190215,4.3866
20190214,4.4833
20190217,4.2128
20190216,4.2501
20190211,4.4696
20190210,4.4746
20190213,4.4687
20190212,4.522
20190118,4.8881
20190119,4.5094
20190116,4.356
20190117,4.622
20190114,4.3596
20190115,4.6869
20190112,4.4143
20190113,4.5516
20200310,4.1842
20200112,5.4398
20200312,4.3058
20200313,4.3974
20200314,4.018
20200315,3.9479
20200316,4.278
20200317,4.4546
20200318,4.4993
20200319,4.5101
20200303,3.9233
20200302,3.8765
20200301,3.7091
20200307,4.0184
20200306,3.8825
20200305,3.6755
20200304,3.9648
20200309,4.2119
20200308,4.0236
20200224,3.456
20200225,3.4019
20200226,3.4769
20200227,3.4747
20200220,2.833
20200221,2.9204
20200222,2.9597
20200223,3.0975
20200228,3.5392
20200229,3.6541
20200130,2.8042
20200131,2.6985
