Date,Value
20200321,3.962
20200320,4.097
20200323,4.2696
20200322,3.9179
20200324,4.2324
20190310,4.3699
20190311,4.5251
20200208,1.6382
20200209,1.5256
20190314,4.4307
20190315,4.7186
20190316,4.4802
20190317,4.2131
20200202,2.9471
20200203,2.8368
20200201,3.1286
20200206,1.6869
20200207,1.6504
20200204,2.2911
20200205,1.8885
20200129,3.4072
20200128,3.6106
20200123,5.2937
20200122,5.5756
20200121,5.5343
20200120,5.6105
20200127,4.096
20200126,4.467
20200125,4.1649
20200124,4.5755
20200311,2.9852
20190130,4.8882
20200217,1.5929
20200108,5.0817
20200219,1.5707
20200218,1.5909
20190303,4.3056
20190302,4.4125
20190301,4.7354
20190307,4.3877
20190306,4.34
20190305,4.5006
20190304,4.4254
20200215,1.5964
20200214,1.6676
20190309,4.2613
20200216,1.5189
20200211,1.587
20200210,1.6239
20200213,1.5834
20200212,1.6211
20190224,4.1373
20190225,4.5322
20190226,4.4956
20190227,4.6387
20190220,4.7524
20190221,4.5695
20190222,4.5573
20190223,4.2636
20200116,5.4346
20200117,5.4394
20200114,5.306
20200115,5.3462
20190228,4.7733
20200113,5.3067
20200110,5.3061
20200111,4.8801
20190308,4.8018
20200101,4.7395
20200103,5.0922
20200102,4.9969
20200105,4.5527
20200104,4.6619
20200107,4.8925
20200106,5.0538
20200109,5.1447
20190131,5.1134
20200118,5.1109
20200119,5.3751
20190312,4.4974
20190328,4.3474
20190313,4.4519
20190321,4.4028
20190320,4.4507
20190323,4.3067
20190322,4.6418
20190325,4.4983
20190324,4.3019
20190327,4.3748
20190326,4.3731
20190208,4.8646
20190209,4.8209
20190202,5.0469
20190203,4.595
20190201,4.8687
20190206,4.9118
20190207,4.9058
20190204,4.4163
20190205,4.664
20190318,4.4694
20190129,4.9272
20190128,4.9864
20190319,4.4661
20190123,4.6583
20190122,4.6333
20190121,4.6775
20190120,4.3003
20190127,4.4638
20190126,4.464
20190125,4.7152
20190124,4.7677
20190219,4.8644
20190218,4.8365
20190215,4.6952
20190214,4.8761
20190217,4.2542
20190216,4.3967
20190211,5.0467
20190210,4.9034
20190213,4.9601
20190212,5.063
20190118,4.676
20190119,4.3712
20190116,4.5305
20190117,4.6032
20190114,4.5939
20190115,4.7029
20190112,4.2796
20190113,4.2043
20200310,2.8235
20200112,4.8482
20200312,2.9821
20200313,3.2124
20200314,3.333
20200315,3.3074
20200316,3.8299
20200317,3.909
20200318,3.8915
20200319,3.9531
20200303,2.1197
20200302,2.1023
20200301,1.9345
20200307,2.5434
20200306,2.6064
20200305,2.5217
20200304,2.3434
20200309,2.8146
20200308,2.5259
20200224,1.6925
20200225,1.7032
20200226,1.7485
20200227,1.7976
20200220,1.5971
20200221,1.5294
20200222,1.4921
20200223,1.4889
20200228,1.7164
20200229,1.8416
20200130,3.2944
20200131,3.2247
