Date,Value
20200321,4.8854
20200320,5.0544
20200323,5.0597
20200322,4.826
20200324,5.0658
20190310,4.6384
20190311,4.6622
20200208,1.9456
20200209,2.0211
20190314,4.6103
20190315,5.1024
20190316,4.7734
20190317,4.5834
20200202,2.0262
20200203,2.1047
20200201,2.1858
20200206,1.6107
20200207,1.9615
20200204,2.0279
20200205,1.8041
20200129,2.3413
20200128,2.3738
20200123,5.2101
20200122,5.6072
20200121,5.6895
20200120,5.7952
20200127,2.5019
20200126,3.1258
20200125,3.6973
20200124,4.1371
20200311,4.6771
20190130,4.712
20200217,2.5778
20200108,5.1493
20200219,2.7042
20200218,2.6632
20190303,4.6765
20190302,4.464
20190301,4.9885
20190307,4.4875
20190306,4.5063
20190305,4.6868
20190304,4.5612
20200215,2.0242
20200214,2.3291
20190309,4.5584
20200216,2.1574
20200211,2.3455
20200210,2.35
20200213,2.5333
20200212,2.4373
20190224,4.3566
20190225,4.5078
20190226,4.3563
20190227,4.2431
20190220,4.8896
20190221,4.5334
20190222,4.6669
20190223,4.4603
20200116,5.2842
20200117,5.6801
20200114,5.6254
20200115,5.0138
20190228,4.3821
20200113,5.5928
20200110,5.4414
20200111,5.0889
20190308,4.9513
20200101,4.8799
20200103,5.5189
20200102,5.2841
20200105,4.3829
20200104,4.9903
20200107,4.8311
20200106,4.8172
20200109,5.2094
20190131,4.7075
20200118,5.2437
20200119,5.6116
20190312,4.6692
20190328,4.5648
20190313,4.613
20190321,4.5202
20190320,4.7002
20190323,4.5678
20190322,4.9152
20190325,4.6847
20190324,4.6179
20190327,4.5666
20190326,4.5491
20190208,4.2062
20190209,4.2665
20190202,5.0224
20190203,4.6335
20190201,4.8838
20190206,5.434
20190207,4.7115
20190204,3.9154
20190205,4.6747
20190318,4.5977
20190129,5.0367
20190128,5.0787
20190319,4.6252
20190123,4.8765
20190122,4.8546
20190121,4.7046
20190120,4.0699
20190127,4.4232
20190126,4.528
20190125,4.9244
20190124,4.908
20190219,4.8161
20190218,4.5536
20190215,4.6265
20190214,4.1536
20190217,4.1652
20190216,4.3585
20190211,4.8749
20190210,3.7678
20190213,4.5055
20190212,4.952
20190118,4.5455
20190119,4.2019
20190116,4.5284
20190117,4.537
20190114,4.5772
20190115,4.6425
20190112,4.3221
20190113,4.4139
20200310,4.582
20200112,5.0215
20200312,4.6072
20200313,4.6927
20200314,4.5922
20200315,4.6164
20200316,4.8516
20200317,4.9239
20200318,4.9049
20200319,4.9049
20200303,4.2573
20200302,3.9032
20200301,3.8922
20200307,4.3874
20200306,4.4522
20200305,4.2962
20200304,4.2726
20200309,4.4914
20200308,4.1423
20200224,3.7243
20200225,3.7828
20200226,3.4377
20200227,2.9785
20200220,2.6861
20200221,3.0979
20200222,3.3014
20200223,3.4156
20200228,3.6116
20200229,3.6718
20200130,2.3996
20200131,2.351
