Date,Value
20200321,4.3099
20200320,4.6346
20200323,4.52
20200322,4.2189
20200324,4.4574
20190310,3.8824
20190311,4.1766
20200208,1.8877
20200209,2.0325
20190314,4.1278
20190315,4.4835
20190316,4.0634
20190317,3.6858
20200202,2.4835
20200203,2.3517
20200201,2.6149
20200206,1.9816
20200207,2.0935
20200204,2.444
20200205,2.4428
20200129,2.6163
20200128,2.5029
20200123,5.2627
20200122,5.5189
20200121,5.4568
20200120,5.3485
20200127,2.7095
20200126,2.8003
20200125,3.1879
20200124,4.295
20200311,4.59
20190130,4.742
20200217,3.3641
20200108,4.8836
20200219,3.6477
20200218,3.5481
20190303,3.8343
20190302,4.0796
20190301,4.4533
20190307,3.7874
20190306,3.937
20190305,3.9624
20190304,4.0793
20200215,2.3475
20200214,2.5975
20190309,3.6079
20200216,2.5096
20200211,2.5151
20200210,2.5296
20200213,2.5846
20200212,2.5946
20190224,3.5096
20190225,3.9485
20190226,3.9662
20190227,4.0859
20190220,4.5514
20190221,3.9729
20190222,4.2015
20190223,3.551
20200116,5.0521
20200117,5.0907
20200114,4.8232
20200115,4.9491
20190228,3.9218
20200113,4.9632
20200110,4.9991
20200111,4.4352
20190308,4.2308
20200101,4.5111
20200103,4.9341
20200102,4.8432
20200105,4.2946
20200104,4.3431
20200107,4.8289
20200106,4.8413
20200109,4.8612
20190131,4.8374
20200118,4.9752
20200119,5.0914
20190312,4.2005
20190328,4.0895
20190313,4.1992
20190321,4.2169
20190320,4.1794
20190323,3.8382
20190322,4.3357
20190325,4.1668
20190324,3.7817
20190327,4.0851
20190326,4.083
20190208,4.7446
20190209,4.6201
20190202,4.7077
20190203,4.3339
20190201,4.6745
20190206,4.8259
20190207,5.0579
20190204,3.6674
20190205,4.2466
20190318,4.0275
20190129,4.7256
20190128,4.5916
20190319,4.1445
20190123,4.1976
20190122,4.1353
20190121,4.0841
20190120,3.7172
20190127,4.0028
20190126,4.0343
20190125,4.2701
20190124,4.2582
20190219,4.2261
20190218,4.335
20190215,4.4294
20190214,4.582
20190217,3.7668
20190216,3.9419
20190211,4.628
20190210,4.4974
20190213,4.6679
20190212,4.7248
20190118,4.3094
20190119,3.9388
20190116,4.1558
20190117,4.2326
20190114,4.1288
20190115,4.3255
20190112,3.8325
20190113,3.7523
20200310,4.5274
20200112,4.4753
20200312,3.9255
20200313,4.4757
20200314,4.2236
20200315,4.2383
20200316,4.7066
20200317,4.3105
20200318,4.3674
20200319,4.4072
20200303,4.3547
20200302,4.5141
20200301,4.0026
20200307,3.8935
20200306,4.5416
20200305,4.3655
20200304,4.1404
20200309,4.5133
20200308,4.1299
20200224,4.3796
20200225,4.3198
20200226,4.3489
20200227,4.3587
20200220,3.9105
20200221,4.1278
20200222,3.8404
20200223,3.7438
20200228,4.4312
20200229,4.2071
20200130,2.6033
20200131,2.5613
