Date,Value
20200321,4.13
20200320,4.482
20200323,4.3819
20200322,4.1728
20200324,4.3819
20190310,3.9409
20190311,3.7764
20200208,2.6088
20200209,2.542
20190314,3.7326
20190315,4.2679
20190316,3.795
20190317,3.7684
20200202,3.0332
20200203,3.1251
20200201,3.0346
20200206,2.3024
20200207,2.5104
20200204,2.9273
20200205,2.5881
20200129,3.1478
20200128,3.2934
20200123,5.5511
20200122,5.704
20200121,5.5198
20200120,5.4517
20200127,3.5366
20200126,4.252
20200125,3.6692
20200124,4.6602
20200311,4.286
20190130,4.2039
20200217,2.7388
20200108,4.2886
20200219,2.8562
20200218,2.7823
20190303,3.9415
20190302,3.5826
20190301,4.2392
20190307,3.6012
20190306,3.6455
20190305,3.8068
20190304,3.759
20200215,2.222
20200214,2.4192
20190309,3.6638
20200216,2.481
20200211,2.5362
20200210,2.59
20200213,2.6269
20200212,2.5542
20190224,3.6833
20190225,3.735
20190226,3.4387
20190227,3.6551
20190220,4.5467
20190221,3.7784
20200118,4.8729
20200119,5.1647
20200116,4.7045
20200117,5.0104
20200114,4.5888
20200115,4.3046
20190228,3.8278
20200113,4.7057
20200110,4.5124
20200111,4.3352
20190308,4.2301
20200101,4.0391
20200103,4.6654
20200102,4.3709
20200105,3.7677
20200104,4.0968
20200107,4.2669
20200106,4.129
20200109,4.3415
20190131,4.5013
20190222,4.1509
20190223,3.6563
20190312,3.8136
20190328,3.6261
20190313,3.7672
20190321,3.5811
20190320,3.7389
20190323,3.6952
20190322,4.1516
20190325,3.7208
20190324,3.8179
20190327,3.6688
20190326,3.6509
20190208,4.6179
20190209,4.5114
20190202,5.068
20190203,4.6445
20190201,4.7606
20190206,5.2474
20190207,4.9888
20190204,4.3105
20190205,4.7789
20190318,3.6929
20190129,4.7474
20190128,4.5682
20190319,3.7028
20190123,4.1204
20190122,4.1041
20190121,4.0043
20190120,3.5899
20190127,3.8587
20190126,3.8268
20190125,4.0739
20190124,4.0807
20190219,4.5089
20190218,4.1225
20190215,4.3115
20190214,4.2827
20190217,3.6166
20190216,3.8417
20190211,4.8751
20190210,4.3381
20190213,4.3288
20190212,4.83
20190118,4.0784
20190119,3.715
20190116,3.7591
20190117,3.9188
20190114,3.7455
20190115,3.8551
20190112,3.4424
20190113,3.6196
20200310,4.2214
20200112,4.3246
20200312,4.222
20200313,4.2582
20200314,4.1825
20200315,4.1789
20200316,4.3411
20200317,4.3905
20200318,4.3283
20200319,4.3282
20200303,4.1827
20200302,3.8544
20200301,4.0413
20200307,4.1471
20200306,4.3177
20200305,4.2116
20200304,4.2568
20200309,4.201
20200308,3.9466
20200224,3.3155
20200225,3.6307
20200226,3.5746
20200227,3.1205
20200220,2.7509
20200221,2.9845
20200222,2.8929
20200223,2.9356
20200228,4.017
20200229,4.0616
20200130,3.2253
20200131,3.1051
