Date,Value
20200321,5.2727
20200320,5.189
20200323,5.2463
20200322,5.2556
20200324,5.0399
20190310,5.1209
20190311,4.9247
20200208,2.419
20200209,2.6583
20190314,4.9469
20190315,5.3134
20190316,5.2677
20190317,4.9536
20200202,2.7393
20200203,2.8583
20200201,2.74
20200206,2.3191
20200207,2.5747
20200204,2.7432
20200205,2.5194
20200129,3.0
20200128,3.3
20200123,7.7302
20200122,7.6841
20200121,7.5208
20200120,7.5235
20200127,3.2605
20200126,5.3414
20200125,5.373
20200124,6.3392
20200311,5.0621
20190130,6.2777
20200217,2.8505
20200108,5.3866
20200219,3.0467
20200218,2.9263
20190303,5.1995
20190302,5.2873
20190301,5.4605
20190307,4.7357
20190306,4.8141
20190305,5.065
20190304,4.8917
20200215,2.3627
20200214,2.5964
20190309,4.9851
20200216,2.5636
20200211,2.689
20200210,2.7375
20200213,2.7622
20200212,2.6756
20190224,5.0275
20190225,5.0204
20190226,4.8791
20190227,4.8891
20190220,5.9319
20190221,5.3734
20190222,5.3672
20190223,5.1975
20200116,6.3239
20200117,6.6127
20200114,6.2767
20200115,6.284
20190228,5.0887
20200113,6.2083
20200110,5.9763
20200111,5.7036
20190308,5.1665
20200101,5.1859
20200103,5.6465
20200102,5.4979
20200105,4.5138
20200104,5.4377
20200107,4.7357
20200106,5.2646
20200109,5.7061
20190131,6.5811
20200118,6.765
20200119,7.0881
20190312,4.9661
20190328,4.755
20190313,4.943
20190321,4.7173
20190320,4.7926
20190323,4.9433
20190322,5.2087
20190325,4.8653
20190324,4.948
20190327,4.7511
20190326,4.7491
20190208,7.1955
20190209,6.8283
20190202,7.1739
20190203,7.0259
20190201,6.8185
20190206,7.8178
20190207,6.9356
20190204,6.1182
20190205,6.968
20190318,4.8632
20190129,6.6831
20190128,6.4311
20190319,4.9326
20190123,5.6893
20190122,5.5709
20190121,5.5515
20190120,5.0968
20190127,6.0441
20190126,5.7976
20190125,5.7959
20190124,5.917
20190219,5.5839
20190218,5.8864
20190215,5.8169
20190214,5.4693
20190217,5.5539
20190216,5.7508
20190211,6.8314
20190210,6.2958
20190213,6.2937
20190212,6.6049
20190118,5.4158
20190119,5.172
20190116,5.0515
20190117,5.2337
20190114,5.0598
20190115,5.0945
20190112,4.8305
20190113,4.9121
20200310,4.9822
20200112,5.8031
20200312,5.1376
20200313,4.7359
20200314,5.0823
20200315,5.1691
20200316,5.0383
20200317,5.1653
20200318,5.1561
20200319,5.2251
20200303,4.6785
20200302,4.6718
20200301,4.4758
20200307,4.9058
20200306,4.731
20200305,4.757
20200304,4.7209
20200309,4.2994
20200308,4.7045
20200224,4.2259
20200225,4.0053
20200226,4.1204
20200227,3.7594
20200220,3.2152
20200221,3.5741
20200222,4.1156
20200223,3.7973
20200228,3.8027
20200229,4.2975
20200130,3.1315
20200131,2.8334
