Date,Value
20200321,2.613
20200320,2.8216
20200323,2.9051
20200322,2.695
20200324,2.9712
20190310,2.895
20190311,2.9381
20200208,1.942
20200209,1.9494
20190314,2.8923
20190315,3.0551
20190316,2.9164
20190317,2.9133
20200202,1.8854
20200203,2.0571
20200201,1.9266
20200206,1.9893
20200207,2.0568
20200204,2.0778
20200205,2.0321
20200129,2.3254
20200128,2.4405
20200123,2.7356
20200122,2.769
20200121,2.7211
20200120,2.7845
20200127,2.539
20200126,2.5212
20200125,2.4338
20200124,2.6003
20200311,2.7245
20190130,2.8391
20200217,2.3793
20200108,2.8638
20200219,2.4622
20200218,2.4025
20190303,2.7975
20190302,2.6729
20190301,2.8539
20190307,2.8271
20190306,2.824
20190305,2.7704
20190304,2.6917
20200215,2.1778
20200214,2.3103
20190309,2.8847
20200216,2.2109
20200211,2.1455
20200210,2.1233
20200213,2.2053
20200212,2.1938
20190224,2.8936
20190225,2.6631
20190226,2.5948
20190227,2.7538
20190220,2.9226
20190221,2.8543
20190222,3.0134
20190223,2.7684
20200116,2.8677
20200117,2.8472
20200114,2.8408
20200115,2.813
20190228,2.8136
20200113,2.8954
20200110,2.9357
20200111,2.6904
20190308,2.9635
20200101,2.9029
20200103,2.9148
20200102,2.8527
20200105,2.7114
20200104,2.6467
20200107,2.8352
20200106,2.8315
20200109,2.8618
20190131,3.0384
20200118,2.6856
20200119,2.7518
20190312,2.9731
20190328,3.1585
20190313,3.0177
20190321,3.1179
20190320,3.0818
20190323,3.0083
20190322,3.1356
20190325,3.0751
20190324,3.1087
20190327,3.0627
20190326,3.0797
20190208,3.218
20190209,3.0983
20190202,3.0743
20190203,2.7797
20190201,2.8608
20190206,2.9081
20190207,3.1273
20190204,2.6062
20190205,2.7571
20190318,2.98
20190129,2.8474
20190128,2.8701
20190319,3.0508
20190123,2.8358
20190122,2.7868
20190121,2.8736
20190120,2.7815
20190127,2.6031
20190126,2.6199
20190125,2.8256
20190124,2.8891
20190219,3.096
20190218,3.0407
20190215,2.9742
20190214,2.9359
20190217,2.6669
20190216,2.6705
20190211,3.0172
20190210,3.0469
20190213,3.208
20190212,3.0034
20190118,2.9558
20190119,2.7685
20190116,2.8419
20190117,2.8988
20190114,2.8927
20190115,2.9966
20190112,2.6908
20190113,2.7457
20200310,2.6066
20200112,2.7492
20200312,2.6507
20200313,2.6988
20200314,2.4896
20200315,2.5903
20200316,2.7148
20200317,2.7691
20200318,2.8116
20200319,2.7707
20200303,2.5197
20200302,2.5742
20200301,2.5932
20200307,2.4162
20200306,2.552
20200305,2.5985
20200304,2.6289
20200309,2.7344
20200308,2.5078
20200224,1.8252
20200225,2.2527
20200226,2.4979
20200227,2.4001
20200220,2.5013
20200221,2.6627
20200222,2.5177
20200223,2.2787
20200228,2.5024
20200229,2.6674
20200130,2.14
20200131,2.0654
