Date,Value
20200321,5.4781
20200320,5.6772
20200323,5.6275
20200322,5.516
20200324,5.3665
20190310,5.0925
20190311,4.5177
20200208,3.2258
20200209,3.2534
20190314,4.4466
20190315,5.0555
20190316,4.8002
20190317,4.8624
20200202,4.2597
20200203,3.4255
20200201,4.8742
20200206,3.4308
20200207,3.4554
20200204,3.1906
20200205,3.1689
20200129,4.8825
20200128,5.2397
20200123,6.9471
20200122,7.1043
20200121,7.0342
20200120,7.0107
20200127,5.4466
20200126,5.2936
20200125,3.3547
20200124,5.4028
20190130,6.3395
20200217,4.2867
20200108,5.7914
20200219,4.6402
20200218,4.2922
20190303,5.1285
20190302,5.0524
20190301,5.4289
20190307,4.3654
20190306,4.3017
20190305,4.6504
20190304,4.5893
20200215,4.125
20200214,4.4018
20190309,4.6913
20200216,3.856
20200211,3.9805
20200210,3.5864
20200213,4.2337
20200212,4.1381
20190224,4.9127
20190225,5.0092
20190226,5.241
20190227,5.2695
20190220,5.7633
20190221,5.4063
20190222,5.3851
20190223,4.9405
20200116,6.6947
20200117,6.8615
20200114,6.4148
20200115,6.6729
20200112,6.3357
20200113,6.4619
20200110,6.1843
20200111,5.9696
20190308,5.1458
20200101,5.4101
20200103,5.9045
20200102,5.7037
20200105,5.6521
20200104,5.5673
20200107,5.6309
20200106,5.5789
20200109,5.8579
20190131,6.5179
20200118,7.0275
20200119,6.8656
20190312,4.5565
20190328,4.3178
20190313,4.5039
20190321,4.3719
20190320,4.4099
20190323,4.7207
20190322,5.1373
20190325,4.3722
20190324,4.9373
20190327,4.3275
20190326,4.3207
20190208,6.7926
20190209,6.4973
20190202,6.5076
20190203,6.0488
20190201,6.2694
20190206,6.0076
20190207,6.6205
20190204,4.9059
20190205,5.4568
20190318,4.3435
20190129,6.4607
20190128,6.1358
20190319,4.4088
20190123,5.6684
20190122,5.3162
20190121,5.2298
20190120,5.3994
20190127,5.7721
20190126,5.7543
20190125,5.7797
20190124,5.769
20190219,5.4715
20190218,5.5199
20190215,5.8708
20190214,6.2163
20190217,5.2937
20190216,5.5419
20190211,6.2881
20190210,6.5928
20190213,6.2069
20190212,6.425
20190118,5.5526
20190119,5.3907
20190116,4.9211
20190117,5.2369
20190114,5.1794
20190115,5.2022
20190112,5.0511
20190113,5.1339
20190228,5.6209
20200310,5.5279
20200311,5.6153
20200312,5.6861
20200313,5.8512
20200314,5.3311
20200315,5.4104
20200316,5.6751
20200317,5.5036
20200318,5.3697
20200319,5.3989
20200303,5.883
20200302,6.0971
20200301,5.9678
20200307,5.6495
20200306,5.9143
20200305,5.6913
20200304,5.4535
20200309,5.9847
20200308,5.8648
20200224,5.9241
20200225,5.9088
20200226,5.9136
20200227,5.8382
20200220,4.6968
20200221,4.8045
20200222,5.0099
20200223,5.3449
20200228,5.866
20200229,5.8309
20200130,5.1403
20200131,4.983
