Date,Value
20200321,4.4029
20200320,4.5552
20200323,4.5088
20200322,4.165
20200324,4.4881
20190310,4.3287
20190311,4.2472
20200208,3.5489
20200209,3.6032
20190314,4.1767
20190315,4.5937
20190316,4.174
20190317,4.0012
20200202,3.0773
20200203,3.1548
20200201,3.3345
20200206,3.094
20200207,3.3633
20200204,3.1804
20200205,3.342
20200129,3.9689
20200128,4.3433
20200123,6.6094
20200122,6.9488
20200121,6.797
20200120,6.6425
20200127,4.7861
20200126,6.1849
20200125,6.0829
20200124,5.4049
20200311,4.298
20190130,6.1777
20200217,3.6738
20200108,4.8516
20200219,3.6599
20200218,3.6498
20190303,4.2417
20190302,4.1079
20190301,4.5361
20190307,4.0454
20190306,3.9696
20190305,4.1482
20190304,4.1317
20200215,2.99
20200214,3.7124
20190309,3.9608
20200216,3.3016
20200211,3.5928
20200210,3.7108
20200213,3.6631
20200212,3.7026
20190224,3.9038
20190225,4.1437
20190226,4.0275
20190227,4.042
20190220,4.6914
20190221,4.2049
20190222,4.4263
20190223,3.8915
20200116,5.5028
20200117,5.7301
20200114,5.0671
20200115,5.2446
20190228,4.2352
20200113,5.3107
20200110,4.82
20200111,4.6052
20190308,4.4599
20200101,4.4234
20200103,4.6697
20200102,4.6714
20200105,4.3158
20200104,4.2072
20200107,4.7354
20200106,4.7664
20200109,4.8163
20190131,6.3864
20200118,5.8488
20200119,6.2444
20190312,4.2898
20190328,4.1213
20190313,4.2695
20190321,4.2259
20190320,4.2674
20190323,3.9467
20190322,4.3801
20190325,4.2456
20190324,4.0547
20190327,4.1153
20190326,4.1164
20190208,7.3129
20190209,6.6481
20190202,6.7727
20190203,6.1556
20190201,6.3331
20190206,8.2696
20190207,7.8695
20190204,5.3374
20190205,6.8035
20190318,4.1416
20190129,6.0706
20190128,5.8314
20190319,4.2002
20190123,5.0072
20190122,4.7984
20190121,4.7565
20190120,4.3706
20190127,5.1613
20190126,4.9753
20190125,5.0314
20190124,5.1889
20190219,4.8201
20190218,4.902
20190215,4.7154
20190214,5.1172
20190217,4.2513
20190216,4.442
20190211,5.7989
20190210,6.1202
20190213,5.2699
20190212,5.723
20190118,4.7117
20190119,4.3239
20190116,4.2789
20190117,4.4953
20190114,4.2805
20190115,4.4032
20190112,4.0319
20190113,4.0435
20200310,4.4605
20200112,4.8899
20200312,4.2162
20200313,4.2976
20200314,4.2515
20200315,4.2091
20200316,4.4159
20200317,4.2339
20200318,4.4201
20200319,4.4846
20200303,4.0148
20200302,4.2951
20200301,4.1201
20200307,3.9551
20200306,4.2799
20200305,4.2701
20200304,4.1552
20200309,4.2965
20200308,4.1318
20200224,4.3924
20200225,4.2991
20200226,4.2749
20200227,4.1928
20200220,3.8112
20200221,3.7094
20200222,3.7776
20200223,3.9104
20200228,4.2064
20200229,3.8908
20200130,3.8266
20200131,3.4858
