Date,Value
20200321,4.1917
20200320,4.3237
20200323,4.3218
20200322,3.9229
20200324,4.3083
20190310,4.1369
20190311,4.1969
20200208,2.1183
20200209,2.009
20190314,4.1975
20190315,4.5883
20190316,4.4457
20190317,4.1094
20200202,1.9323
20200203,2.0305
20200201,1.8592
20200206,1.6106
20200207,1.761
20200204,1.9771
20200205,1.7647
20200129,1.9918
20200128,2.2275
20200123,4.0702
20200122,4.7251
20200121,5.2831
20200120,5.1118
20200127,2.4859
20200126,2.6345
20200125,2.9598
20200124,3.3557
20200311,2.888
20190130,4.4545
20200217,1.7942
20200108,4.3998
20200219,1.7377
20200218,1.7518
20190303,4.1488
20190302,3.9137
20190301,4.3807
20190307,4.0856
20190306,4.0669
20190305,4.2626
20190304,4.1513
20200215,1.6812
20200214,1.9544
20190309,4.1407
20200216,1.7039
20200211,1.8875
20200210,1.8734
20200213,2.168
20200212,1.9237
20190224,3.6849
20190225,3.9994
20190226,3.8981
20190227,3.8693
20190220,4.1444
20190221,3.905
20190222,4.1375
20190223,3.7124
20200116,4.7699
20200117,5.0173
20200114,4.7926
20200115,4.676
20190228,4.1788
20200113,4.7945
20200110,4.6533
20200111,4.4188
20190308,4.5139
20200101,4.3458
20200103,4.8135
20200102,4.7263
20200105,4.382
20200104,4.4919
20200107,4.4759
20200106,4.6263
20200109,4.7313
20190131,4.5458
20200118,4.8829
20200119,5.0688
20190312,4.2813
20190328,4.2995
20190313,4.1938
20190321,4.2857
20190320,4.4351
20190323,4.7746
20190322,4.5852
20190325,4.5058
20190324,4.4645
20190327,4.327
20190326,4.4232
20190208,4.4326
20190209,4.1744
20190202,4.3795
20190203,3.6124
20190201,4.4157
20190206,4.6189
20190207,4.8921
20190204,3.5961
20190205,4.0062
20190318,4.3457
20190129,4.7765
20190128,4.6946
20190319,4.3338
20190123,4.3407
20190122,4.3107
20190121,4.2982
20190120,4.0356
20190127,4.1056
20190126,4.0625
20190125,4.3989
20190124,4.4414
20190219,4.4264
20190218,3.98
20190215,4.07
20190214,4.1294
20190217,3.5999
20190216,3.7787
20190211,4.3726
20190210,4.0256
20190213,4.2782
20190212,4.4145
20190118,4.5595
20190119,3.9393
20190116,4.1175
20190117,4.3382
20190114,4.0513
20190115,4.1313
20190112,3.7999
20190113,3.905
20200310,2.6461
20200112,4.5938
20200312,3.0537
20200313,3.0304
20200314,3.4054
20200315,3.3447
20200316,3.9707
20200317,3.9892
20200318,4.0014
20200319,4.0027
20200303,2.2508
20200302,2.0526
20200301,2.2183
20200307,2.4025
20200306,2.5037
20200305,2.4902
20200304,2.4012
20200309,2.4522
20200308,2.2287
20200224,1.8961
20200225,1.9004
20200226,1.7598
20200227,1.7672
20200220,1.7733
20200221,1.8396
20200222,1.7751
20200223,1.7843
20200228,1.9464
20200229,2.222
20200130,1.8672
20200131,1.8703
