Date,Value
20200321,4.3975
20200320,4.7728
20200323,4.9557
20200322,4.376
20200324,4.9543
20190310,4.7157
20190311,5.0419
20200208,1.7145
20200209,1.7789
20190314,5.0059
20190315,5.3139
20190316,4.9647
20190317,4.5894
20200202,1.906
20200203,2.14
20200201,1.904
20200206,1.7834
20200207,1.8263
20200204,2.0134
20200205,1.9161
20200129,1.7838
20200128,1.7986
20200123,4.2509
20200122,4.8647
20200121,5.186
20200120,5.4364
20200127,1.8377
20200126,2.2496
20200125,2.5928
20200124,3.2459
20200311,4.191
20190130,4.6935
20200217,2.2151
20200108,5.7681
20200219,2.2829
20200218,2.2288
20190303,4.6678
20190302,4.9111
20190301,5.3221
20190307,4.9295
20190306,4.8906
20190305,5.1085
20190304,4.9429
20200215,1.7583
20200214,1.8916
20190309,4.7895
20200216,1.7696
20200211,2.006
20200210,2.1077
20200213,1.9918
20200212,1.9804
20190224,4.3958
20190225,4.8613
20190226,4.7445
20190227,4.9375
20190220,4.8545
20190221,4.756
20200118,5.1305
20190223,4.566
20200116,5.8283
20200117,5.6478
20200114,5.8074
20200115,5.809
20190228,5.1139
20200113,5.7718
20200110,5.9023
20200111,5.2778
20190308,5.2123
20200101,5.2235
20200103,5.9427
20200102,5.9098
20200105,4.6045
20200104,5.3535
20200107,5.5936
20200106,5.248
20200109,5.7466
20190131,4.7235
20190222,4.883
20200119,5.4597
20190312,5.076
20190328,4.9395
20190313,5.0646
20190321,4.9696
20190320,5.031
20190323,4.8207
20190322,5.2764
20190325,5.1033
20190324,4.7009
20190327,4.9763
20190326,4.9692
20190208,3.4899
20190209,3.2129
20190202,4.1823
20190203,3.6007
20190201,4.282
20190206,3.5674
20190207,3.5125
20190204,2.9182
20190205,3.2428
20190318,4.9606
20190129,4.8069
20190128,4.854
20190319,5.0347
20190123,4.9095
20190122,4.8933
20190121,4.8327
20190120,4.2709
20190127,4.2984
20190126,4.4859
20190125,4.9393
20190124,5.0403
20190219,4.6344
20190218,4.846
20190215,4.2857
20190214,3.6602
20190217,4.1244
20190216,4.241
20190211,4.2474
20190210,3.7541
20190213,4.1121
20190212,4.3875
20190118,5.0039
20190119,4.5004
20190116,4.9003
20190117,4.9521
20190114,4.9359
20190115,5.0853
20190112,4.5911
20190113,4.4042
20200310,4.1138
20200112,5.0441
20200312,4.1692
20200313,4.3037
20200314,4.0067
20200315,3.9765
20200316,4.5434
20200317,4.6066
20200318,4.6308
20200319,4.6156
20200303,3.4359
20200302,3.3844
20200301,2.8869
20200307,3.5094
20200306,3.7111
20200305,3.6061
20200304,3.5237
20200309,4.0186
20200308,3.408
20200224,2.5793
20200225,2.5939
20200226,2.672
20200227,2.6715
20200220,2.2819
20200221,2.4459
20200222,2.2297
20200223,2.168
20200228,2.8506
20200229,2.6121
20200130,1.8784
20200131,1.9408
