Date,Value
20200321,4.7208
20200320,4.6291
20200323,4.9206
20200322,4.5156
20200324,5.0081
20190310,4.5364
20190311,4.5359
20200208,1.3248
20200209,1.2801
20190314,4.4785
20190315,4.8627
20190316,4.6877
20190317,4.3216
20200202,1.4365
20200203,1.3355
20200201,1.4589
20200206,1.1823
20200207,1.2979
20200204,1.311
20200205,1.2434
20200129,1.5401
20200128,1.5905
20200123,4.8459
20200122,5.5377
20200121,5.7165
20200120,5.8277
20200127,1.8132
20200126,2.2288
20200125,2.7234
20200124,3.9666
20200311,2.2152
20190130,4.8983
20200217,1.1919
20200108,5.0325
20200219,1.1866
20200218,1.1732
20190303,4.5187
20190302,4.4754
20190301,4.7922
20190307,4.4196
20190306,4.4102
20190305,4.5767
20190304,4.4555
20200215,1.1399
20200214,1.2317
20190309,4.4303
20200216,1.1613
20200211,1.2757
20200210,1.2745
20200213,1.2985
20200212,1.2858
20190224,4.1895
20190225,4.4724
20190226,4.3227
20190227,4.4687
20190220,4.9688
20190221,4.5934
20190222,4.6971
20190223,4.387
20200116,5.5779
20200117,5.6915
20200114,5.4858
20200115,5.3241
20190228,4.677
20200113,5.4769
20200110,5.2862
20200111,5.1509
20190308,4.7651
20200101,4.6557
20200103,5.2705
20200102,5.1177
20200105,4.5955
20200104,4.894
20200107,5.1139
20200106,4.9521
20200109,5.1172
20190131,4.982
20200118,5.388
20200119,5.6107
20190312,4.6275
20190328,4.4017
20190313,4.5087
20190321,4.3246
20190320,4.5531
20190323,4.4618
20190322,4.6751
20190325,4.5326
20190324,4.4121
20190327,4.4068
20190326,4.4075
20190208,4.8944
20190209,4.7566
20190202,4.9343
20190203,4.2513
20190201,4.9
20190206,5.3395
20190207,5.1317
20190204,4.0309
20190205,4.6688
20190318,4.4358
20190129,5.2603
20190128,5.1908
20190319,4.4841
20190123,4.9014
20190122,4.7437
20190121,4.6509
20190120,4.3716
20190127,4.5093
20190126,4.6121
20190125,4.9454
20190124,5.0468
20190219,4.9644
20190218,4.9237
20190215,4.7721
20190214,4.8283
20190217,4.2575
20190216,4.4343
20190211,5.2481
20190210,4.5297
20190213,4.9577
20190212,5.2376
20190118,4.8671
20190119,4.5185
20190116,4.4398
20190117,4.6535
20190114,4.4423
20190115,4.5761
20190112,4.2796
20190113,4.2508
20200310,2.0458
20200112,5.0469
20200312,2.2485
20200313,2.3198
20200314,3.0792
20200315,3.4743
20200316,3.6674
20200317,3.8461
20200318,4.0251
20200319,4.3258
20200303,1.4008
20200302,1.3492
20200301,1.3647
20200307,1.5742
20200306,1.5208
20200305,1.4724
20200304,1.4459
20200309,1.7664
20200308,1.5932
20200224,1.2374
20200225,1.2384
20200226,1.1932
20200227,1.1472
20200220,1.1853
20200221,1.2032
20200222,1.1893
20200223,1.1909
20200228,1.224
20200229,1.3427
20200130,1.5621
20200131,1.5553
