Date,Value
20200321,2.0171
20200320,1.8511
20200323,2.38
20200322,2.0631
20200324,2.4092
20190310,1.7861
20190311,2.673
20200208,0.5509
20200209,0.549
20190314,2.6771
20190315,2.0744
20190316,1.9223
20190317,2.5375
20200202,0.5976
20200203,0.5522
20200201,0.6047
20200206,0.4926
20200207,0.5315
20200204,0.5172
20200205,0.5276
20200129,0.713
20200128,0.9327
20200123,1.5491
20200122,1.6735
20200121,1.6035
20200120,1.7085
20200127,1.0727
20200126,1.5355
20200125,1.5348
20200124,1.6567
20200311,1.7909
20190130,1.7841
20200217,0.433
20200108,1.7027
20200219,0.3967
20200218,0.3934
20190303,1.7557
20190302,1.7467
20190301,1.9036
20190307,2.6066
20190306,2.5838
20190305,1.8601
20190304,2.5161
20200215,0.4511
20200214,0.4388
20190309,2.3917
20200216,0.4492
20200211,0.5231
20200210,0.5522
20200213,0.4706
20200212,0.4887
20190224,2.2195
20190225,2.4103
20190226,2.4331
20190227,1.8407
20190220,2.5175
20190221,2.4331
20200118,1.5296
20190223,2.1663
20200116,1.7708
20200117,1.7157
20200114,1.739
20200115,1.7448
20190228,1.8456
20200113,1.7221
20200110,1.6846
20200111,1.4609
20190308,2.5976
20200101,1.4648
20200103,1.7021
20200102,1.6502
20200105,1.3339
20200104,1.4208
20200107,1.6612
20200106,1.6988
20200109,1.6444
20190131,1.7357
20190222,2.4449
20200119,1.5899
20190312,1.9493
20190328,3.1721
20190313,1.9977
20190321,2.8603
20190320,2.8375
20190323,2.7863
20190322,2.1829
20190325,2.2582
20190324,2.158
20190327,3.1479
20190326,3.1119
20190208,1.8186
20190209,1.7405
20190202,1.746
20190203,2.0384
20190201,2.1774
20190206,2.0073
20190207,1.8712
20190204,1.9638
20190205,1.9852
20190318,2.7511
20190129,1.7136
20190128,1.7813
20190319,2.7649
20190123,2.42
20190122,2.3813
20190121,2.5866
20190120,1.6486
20190127,2.1594
20190126,2.1857
20190125,2.4407
20190124,1.7578
20190219,2.429
20190218,1.9009
20190215,2.3122
20190214,2.2631
20190217,2.1857
20190216,2.1898
20190211,1.6956
20190210,1.6631
20190213,1.7689
20190212,1.7675
20190118,1.6866
20190119,1.5705
20190116,2.5271
20190117,2.1069
20190114,2.4933
20190115,1.7301
20190112,2.3211
20190113,2.3405
20200310,1.647
20200112,1.4726
20200312,1.8544
20200313,1.9179
20200314,1.9672
20200315,2.0346
20200316,2.1953
20200317,2.3392
20200318,2.3522
20200319,2.4092
20200303,0.4809
20200302,0.4965
20200301,0.4187
20200307,0.7143
20200306,0.5859
20200305,0.5049
20200304,0.4939
20200309,1.1401
20200308,0.91
20200224,0.4142
20200225,0.3895
20200226,0.409
20200227,0.4881
20200220,0.3766
20200221,0.398
20200222,0.3837
20200223,0.3921
20200228,0.4213
20200229,0.442
20200130,0.6695
20200131,0.6559
