Date,Value
20200321,4.3221
20200320,4.4126
20200323,4.5772
20200322,4.348
20200324,4.573
20190310,4.3204
20190311,4.4058
20200208,1.9577
20200209,1.913
20190314,4.3294
20190315,4.6669
20190316,4.4384
20190317,4.2012
20200202,2.5179
20200203,2.4501
20200201,2.7085
20200206,2.0135
20200207,2.0103
20200204,2.202
20200205,2.0533
20200129,3.0605
20200128,3.5383
20200123,5.2111
20200122,5.4071
20200121,5.3055
20200120,5.3209
20200127,4.22
20200126,4.5317
20200125,3.8743
20200124,4.1355
20200311,3.9817
20190130,4.6816
20200217,2.2973
20200108,4.7831
20200219,2.4055
20200218,2.3493
20190303,4.3436
20190302,4.4244
20190301,4.7244
20190307,4.29
20190306,4.2524
20190305,4.4578
20190304,4.2941
20200215,2.0733
20200214,2.1758
20190309,4.2157
20200216,2.0755
20200211,2.1199
20200210,2.0697
20200213,2.1821
20200212,2.1906
20190224,4.2046
20190225,4.3392
20190226,4.2763
20190227,4.3693
20190220,4.6359
20190221,4.5148
20190222,4.5151
20190223,4.2084
20200116,5.2292
20200117,5.1657
20200114,5.0725
20200115,5.1021
20190228,4.5081
20200113,5.0831
20200110,5.1065
20200111,4.7156
20190308,4.7114
20200101,4.5934
20200103,4.908
20200102,4.9121
20200105,4.5105
20200104,4.57
20200107,4.7281
20200106,4.8823
20200109,4.8874
20190131,4.8767
20200118,4.9173
20200119,4.973
20190312,4.3978
20190328,4.3804
20190313,4.3646
20190321,3.9498
20190320,4.3978
20190323,4.284
20190322,4.5182
20190325,4.5116
20190324,4.3113
20190327,4.3631
20190326,4.3655
20190208,4.6224
20190209,4.5709
20190202,4.9219
20190203,4.4061
20190201,4.6546
20190206,4.761
20190207,4.756
20190204,4.0337
20190205,4.3973
20190318,4.3552
20190129,4.7044
20190128,4.7085
20190319,4.4191
20190123,4.4992
20190122,4.4519
20190121,4.4997
20190120,4.2211
20190127,4.2978
20190126,4.2937
20190125,4.5466
20190124,4.634
20190219,4.7063
20190218,4.7328
20190215,4.2173
20190214,4.6369
20190217,4.0878
20190216,4.1361
20190211,4.7382
20190210,4.6933
20190213,4.669
20190212,4.7492
20190118,4.5477
20190119,4.2915
20190116,4.3552
20190117,4.4515
20190114,4.3837
20190115,4.5003
20190112,4.1881
20190113,4.0365
20200310,3.953
20200112,4.6598
20200312,3.9944
20200313,4.137
20200314,4.0089
20200315,3.7848
20200316,4.2397
20200317,4.1942
20200318,4.2709
20200319,4.308
20200303,3.5569
20200302,3.6848
20200301,3.4185
20200307,3.5171
20200306,3.8045
20200305,3.6951
20200304,3.3967
20200309,3.9084
20200308,3.6658
20200224,3.535
20200225,3.3695
20200226,3.4262
20200227,3.4489
20200220,2.6663
20200221,2.9298
20200222,2.8875
20200223,2.9922
20200228,3.293
20200229,3.3299
20200130,2.8777
20200131,2.7637
