Date,Value
20200321,5.017
20200320,5.1972
20200323,5.3414
20200322,4.9841
20200324,5.2852
20190310,4.5574
20190311,4.6568
20200208,2.4619
20200209,2.5876
20190314,4.5834
20190315,4.8557
20190316,4.664
20190317,4.4124
20200202,3.1369
20200203,3.1914
20200201,3.272
20200206,2.6891
20200207,2.7111
20200204,2.9895
20200205,2.7736
20200129,3.4611
20200128,3.7123
20200123,5.6218
20200122,5.8785
20200121,5.8545
20200120,5.8767
20200127,4.4402
20200126,4.6048
20200125,4.1499
20200124,4.3193
20190130,4.9756
20200217,3.2855
20200108,5.3977
20200219,3.6775
20200218,3.4432
20190303,4.5516
20190302,4.6287
20190301,4.9463
20190307,4.509
20190306,4.4743
20190305,4.6588
20190304,4.5646
20200215,2.8578
20200214,2.9822
20190309,4.4106
20200216,2.8635
20200211,2.9245
20200210,2.8747
20200213,2.9641
20200212,3.0057
20190224,4.5085
20190225,4.6107
20190226,4.5215
20190227,4.6138
20190220,5.0686
20190221,4.8471
20190222,4.8741
20190223,4.5569
20200116,5.8185
20200117,5.7553
20200114,5.653
20200115,5.6817
20200112,5.1988
20200113,5.6852
20200110,5.5754
20200111,5.2199
20190308,4.9133
20200101,5.1444
20200103,5.4324
20200102,5.4226
20200105,4.9956
20200104,5.0554
20200107,5.1763
20200106,5.4024
20200109,5.4543
20190131,5.2011
20200118,5.4542
20200119,5.6385
20190312,4.6495
20190328,4.5699
20190313,4.5668
20190321,4.0783
20190320,4.5705
20190323,4.4952
20190322,4.7286
20190325,4.7291
20190324,4.5851
20190327,4.5772
20190326,4.6155
20190208,5.1406
20190209,5.0076
20190202,5.1874
20190203,4.7336
20190201,4.9502
20190206,4.8542
20190207,5.0919
20190204,4.0894
20190205,4.4718
20190318,4.59
20190129,5.0513
20190128,5.0864
20190319,4.5843
20190123,4.8618
20190122,4.8004
20190121,4.8849
20190120,4.5615
20190127,4.6231
20190126,4.612
20190125,4.8683
20190124,4.9282
20190219,5.0374
20190218,5.1187
20190215,4.5908
20190214,4.9918
20190217,4.4588
20190216,4.5082
20190211,5.1411
20190210,5.1347
20190213,5.0557
20190212,5.1166
20190118,4.9176
20190119,4.6436
20190116,4.7387
20190117,4.8282
20190114,4.7846
20190115,4.9088
20190112,4.4759
20190113,4.4178
20190228,4.751
20200310,4.7504
20200311,4.8329
20200312,4.8564
20200313,4.9764
20200314,4.7419
20200315,4.5026
20200316,5.0689
20200317,5.0398
20200318,5.0316
20200319,5.0295
20200303,4.5802
20200302,4.7597
20200301,4.2863
20200307,4.4859
20200306,4.7378
20200305,4.7192
20200304,4.5663
20200309,4.8539
20200308,4.3658
20200224,4.6643
20200225,4.4987
20200226,4.4879
20200227,4.4978
20200220,3.9355
20200221,4.242
20200222,3.8398
20200223,4.0494
20200228,4.2268
20200229,4.2199
20200130,3.44
20200131,3.3693
