Date,Value
20200321,3.748
20200320,3.71
20200323,3.8988
20200322,3.8067
20200324,3.9464
20190310,3.9156
20190311,3.9213
20200208,1.7252
20200209,1.6217
20190314,3.7943
20190315,4.0509
20190316,3.9632
20190317,3.7286
20200202,2.4278
20200203,2.0765
20200201,2.7992
20200206,1.7148
20200207,1.7503
20200204,1.9128
20200205,1.7442
20200129,3.2507
20200128,3.5215
20200123,5.4643
20200122,5.7058
20200121,5.5806
20200120,5.6102
20200127,4.0289
20200126,4.205
20200125,3.924
20200124,4.0824
20200311,2.9119
20190130,4.7246
20200217,1.7109
20200108,4.8096
20200219,1.7202
20200218,1.7128
20190303,3.8806
20190302,3.9886
20190301,4.2141
20190307,3.8079
20190306,3.7606
20190305,3.9418
20190304,3.8813
20200215,1.6738
20200214,1.6758
20190309,3.7617
20200216,1.6487
20200211,1.7116
20200210,1.7006
20200213,1.6815
20200212,1.7068
20190224,3.9089
20190225,4.1046
20190226,4.0797
20190227,4.1864
20190220,4.5361
20190221,4.2353
20190222,4.1901
20190223,3.9624
20200116,5.3572
20200117,5.2746
20200114,5.1662
20200115,5.213
20190228,4.3017
20200113,5.1083
20200110,5.0481
20200111,4.7313
20190308,4.1559
20200101,4.4942
20200103,4.7577
20200102,4.6544
20200105,4.4008
20200104,4.4924
20200107,4.5878
20200106,4.8038
20200109,4.8868
20190131,4.9718
20200118,5.1572
20200119,5.327
20190312,3.7646
20190328,3.7237
20190313,3.5772
20190321,3.5792
20190320,3.8363
20190323,3.7852
20190322,3.9768
20190325,3.9046
20190324,3.8331
20190327,3.7387
20190326,3.7427
20190208,5.339
20190209,5.2048
20190202,4.9916
20190203,4.636
20190201,4.7527
20190206,4.9981
20190207,5.3513
20190204,3.9197
20190205,4.4589
20190318,3.8525
20190129,4.7309
20190128,4.6816
20190319,3.8503
20190123,4.3592
20190122,4.3026
20190121,4.3511
20190120,4.1228
20190127,4.3491
20190126,4.2616
20190125,4.3803
20190124,4.4796
20190219,4.6024
20190218,4.6578
20190215,4.5001
20190214,4.8392
20190217,4.1592
20190216,4.3643
20190211,5.088
20190210,5.2718
20190213,4.9244
20190212,5.055
20190118,4.3253
20190119,4.1611
20190116,4.1761
20190117,4.2507
20190114,4.182
20190115,4.3469
20190112,3.9592
20190113,3.9328
20200310,2.7757
20200112,4.7687
20200312,3.0382
20200313,3.1698
20200314,3.4465
20200315,3.3326
20200316,3.6912
20200317,3.7395
20200318,3.5892
20200319,3.6177
20200303,2.1479
20200302,2.1671
20200301,2.0448
20200307,2.3225
20200306,2.3393
20200305,2.2133
20200304,2.1827
20200309,2.6592
20200308,2.4038
20200224,1.8053
20200225,1.8368
20200226,1.8428
20200227,1.8919
20200220,1.7312
20200221,1.6877
20200222,1.6627
20200223,1.6964
20200228,1.8568
20200229,1.8917
20200130,3.0786
20200131,2.9205
