Date,Value
20200321,4.3289
20200320,4.4634
20200323,4.5605
20200322,4.2992
20200324,4.5695
20190310,4.3587
20190311,4.2144
20200208,3.0158
20200209,2.925
20190314,4.134
20190315,4.5005
20190316,4.2886
20190317,4.0801
20200202,3.2469
20200203,3.7782
20200201,3.2581
20200206,3.6275
20200207,3.5631
20200204,3.73
20200205,3.5726
20200129,4.3205
20200128,4.3298
20200123,7.4159
20200122,7.2914
20200121,6.9999
20200120,6.737
20200127,5.1705
20200126,5.7319
20200125,5.6071
20200124,6.648
20200311,4.044
20190130,5.6679
20200217,2.2734
20200108,5.3136
20200219,2.3525
20200218,2.2532
20190303,4.4026
20190302,4.3458
20190301,4.5647
20190307,3.8758
20190306,3.9806
20190305,4.2375
20190304,4.059
20200215,1.9533
20200214,2.2771
20190309,4.0524
20200216,2.0617
20200211,2.6547
20200210,2.8268
20200213,2.2712
20200212,2.3401
20190224,4.1767
20190225,4.225
20190226,4.0796
20190227,4.235
20190220,4.698
20190221,4.5847
20190222,4.5482
20190223,4.3541
20200116,6.0762
20200117,6.0161
20200114,5.6483
20200115,5.8265
20190228,4.329
20200113,5.5974
20200110,5.3373
20200111,5.1629
20190308,4.388
20200101,4.9497
20200103,5.1805
20200102,5.0586
20200105,4.8084
20200104,4.7161
20200107,5.0773
20200106,5.0512
20200109,5.3019
20190131,6.1118
20200118,5.9548
20200119,6.458
20190312,4.1842
20190328,3.94
20190313,4.1882
20190321,3.9642
20190320,4.1081
20190323,3.9485
20190322,4.2972
20190325,4.0282
20190324,4.0187
20190327,3.9116
20190326,3.9041
20190208,6.6048
20190209,6.0982
20190202,6.5353
20190203,6.2908
20190201,6.0277
20190206,6.6221
20190207,6.7774
20190204,6.0119
20190205,6.317
20190318,4.003
20190129,5.7668
20190128,5.5708
20190319,4.0518
20190123,4.8976
20190122,4.7679
20190121,4.7508
20190120,4.5427
20190127,4.9336
20190126,4.8026
20190125,4.9651
20190124,4.9777
20190219,4.8319
20190218,4.9387
20190215,5.1963
20190214,5.4849
20190217,4.4947
20190216,4.7778
20190211,5.9735
20190210,5.7781
20190213,5.6968
20190212,5.9186
20190118,4.6574
20190119,4.6456
20190116,4.5349
20190117,4.5961
20190114,4.3123
20190115,4.4196
20190112,4.1891
20190113,4.1945
20200310,4.0831
20200112,5.1912
20200312,4.1303
20200313,4.1453
20200314,3.9488
20200315,3.7697
20200316,3.8125
20200317,4.3282
20200318,4.3223
20200319,4.3822
20200303,3.6442
20200302,3.267
20200301,3.2409
20200307,3.6937
20200306,3.9287
20200305,3.7964
20200304,3.7489
20200309,4.0098
20200308,3.7275
20200224,3.0713
20200225,3.0987
20200226,3.2013
20200227,3.221
20200220,2.3875
20200221,2.5477
20200222,2.391
20200223,2.5096
20200228,3.3672
20200229,3.3291
20200130,3.8711
20200131,3.3161
