Date,Value
20200321,5.3764
20200320,5.4369
20200323,5.4429
20200322,5.1712
20200324,5.4257
20190310,5.009
20190311,5.092
20200208,2.0969
20200209,2.107
20190314,5.0518
20190315,5.4115
20190316,5.2562
20190317,4.8807
20200202,2.8183
20200203,2.8718
20200201,2.9299
20200206,2.2197
20200207,2.2309
20200204,2.7347
20200205,2.3632
20200129,3.4713
20200128,3.6451
20200123,6.4781
20200122,6.5725
20200121,6.3592
20200120,6.4042
20200127,4.1477
20200126,4.6662
20200125,4.1585
20200124,5.2574
20200311,5.2259
20190130,5.3392
20200217,2.8245
20200108,5.6616
20200219,3.1659
20200218,3.0367
20190303,4.867
20190302,5.143
20190301,5.4331
20190307,4.9235
20190306,4.9829
20190305,5.1408
20190304,4.7736
20200215,2.1105
20200214,2.6944
20190309,5.009
20200216,2.1443
20200211,2.3054
20200210,2.4973
20200213,2.8192
20200212,2.6438
20190224,4.7643
20190225,4.9429
20190226,4.8823
20190227,4.976
20190220,5.1086
20190221,4.9992
20190222,5.0537
20190223,4.9959
20200116,5.7466
20200117,6.1677
20200114,5.8702
20200115,5.9372
20190228,5.1846
20200113,5.8129
20200110,5.8304
20200111,5.4491
20190308,5.2528
20200101,5.2729
20200103,5.7718
20200102,5.7153
20200105,4.8139
20200104,5.4999
20200107,5.2194
20200106,5.3682
20200109,5.6596
20190131,5.4445
20200118,5.901
20200119,6.075
20190312,5.1214
20190328,5.0347
20190313,5.1133
20190321,5.0468
20190320,4.914
20190323,5.1211
20190322,5.3555
20190325,5.1635
20190324,4.9915
20190327,5.0742
20190326,5.0634
20190208,5.6451
20190209,5.2274
20190202,5.8774
20190203,5.5759
20190201,5.5187
20190206,6.1805
20190207,5.8887
20190204,4.7861
20190205,5.4833
20190318,5.0789
20190129,5.5115
20190128,5.5597
20190319,5.1701
20190123,5.2583
20190122,5.0879
20190121,5.0316
20190120,4.6024
20190127,5.0616
20190126,5.0708
20190125,5.2163
20190124,5.3306
20190219,4.7945
20190218,4.8508
20190215,5.2266
20190214,5.1921
20190217,4.9089
20190216,5.2194
20190211,5.6645
20190210,5.3796
20190213,5.4743
20190212,5.5937
20190118,5.0746
20190119,4.8304
20190116,4.8654
20190117,4.97
20190114,4.938
20190115,5.0505
20190112,4.8536
20190113,4.7652
20200310,5.1106
20200112,5.3817
20200312,5.2831
20200313,4.9943
20200314,5.1392
20200315,5.1188
20200316,5.3262
20200317,5.3728
20200318,5.3921
20200319,5.3678
20200303,4.974
20200302,4.9191
20200301,4.3989
20200307,4.9772
20200306,4.9846
20200305,5.0167
20200304,5.0201
20200309,4.585
20200308,4.8107
20200224,4.6383
20200225,4.5459
20200226,4.6571
20200227,4.6083
20200220,3.5121
20200221,3.7421
20200222,4.0635
20200223,4.2502
20200228,4.3095
20200229,4.5328
20200130,3.2773
20200131,3.0844
