Date,Value
20200321,3.5721
20200320,3.4812
20200323,3.6304
20200322,3.5936
20200324,3.6704
20190310,3.6342
20190311,3.6042
20200208,0.9158
20200209,0.8978
20190314,3.5922
20190315,3.773
20190316,3.7573
20190317,3.5924
20200202,1.0465
20200203,0.9944
20200201,1.1835
20200206,0.9133
20200207,0.9156
20200204,0.9276
20200205,0.9186
20200129,1.5493
20200128,1.8163
20200123,3.5626
20200122,3.5892
20200121,3.5909
20200120,3.7114
20200127,2.4369
20200126,3.2621
20200125,3.3475
20200124,3.6694
20200311,3.0437
20190130,3.5706
20200217,0.848
20200108,3.655
20200219,0.7444
20200218,0.8095
20190303,3.5372
20190302,3.6456
20190301,3.7434
20190307,3.5437
20190306,3.5385
20190305,3.5599
20190304,3.5071
20200215,0.8678
20200214,0.8657
20190309,3.5947
20200216,0.8501
20200211,0.9178
20200210,0.9362
20200213,0.8829
20200212,0.8886
20190224,3.35
20190225,3.4674
20190226,3.4078
20190227,3.5079
20190220,3.5998
20190221,3.4997
20190222,3.4724
20190223,3.3581
20200116,3.6576
20200117,3.6614
20200114,3.6245
20200115,3.6576
20190228,3.6112
20200113,3.7098
20200110,3.7374
20200111,3.5452
20190308,3.9113
20200101,3.6075
20200103,3.6984
20200102,3.639
20200105,3.4063
20200104,3.4342
20200107,3.6018
20200106,3.6801
20200109,3.6609
20190131,3.6601
20200118,3.5308
20200119,3.5515
20190312,3.5794
20190328,3.7601
20190313,3.5823
20190321,3.6937
20190320,3.714
20190323,3.7846
20190322,3.8717
20190325,3.7419
20190324,3.7417
20190327,3.76
20190326,3.7216
20190208,3.6895
20190209,3.6097
20190202,3.6593
20190203,3.4086
20190201,3.3904
20190206,3.8001
20190207,3.7164
20190204,3.8232
20190205,3.8117
20190318,3.6235
20190129,3.6005
20190128,3.6746
20190319,3.6499
20190123,3.613
20190122,3.5854
20190121,3.675
20190120,3.4999
20190127,3.4078
20190126,3.4711
20190125,3.6008
20190124,3.6514
20190219,3.63
20190218,3.6682
20190215,3.5206
20190214,3.5515
20190217,3.3246
20190216,3.3756
20190211,3.5721
20190210,3.4933
20190213,3.5954
20190212,3.5751
20190118,3.7431
20190119,3.5725
20190116,3.6255
20190117,3.6843
20190114,3.6458
20190115,3.7223
20190112,3.5216
20190113,3.4824
20200310,2.9274
20200112,3.4923
20200312,3.0961
20200313,3.1821
20200314,3.2511
20200315,3.3273
20200316,3.4515
20200317,3.4795
20200318,3.5337
20200319,3.5414
20200303,0.9423
20200302,0.9169
20200301,0.8608
20200307,1.2385
20200306,1.1927
20200305,1.0622
20200304,0.9599
20200309,2.7055
20200308,1.9453
20200224,0.7458
20200225,0.7623
20200226,0.7856
20200227,0.7834
20200220,0.7431
20200221,0.7345
20200222,0.7405
20200223,0.7216
20200228,0.8064
20200229,0.8568
20200130,1.3859
20200131,1.3385
