Date,Value
20200321,4.5664
20200320,4.5641
20200323,4.7402
20200322,4.4393
20200324,4.6948
20190310,4.6806
20190311,4.8581
20200208,1.6507
20200209,1.7454
20190314,4.8414
20190315,5.1947
20190316,4.9728
20190317,4.5554
20200202,1.7726
20200203,1.8488
20200201,1.9202
20200206,1.5144
20200207,1.6216
20200204,1.7312
20200205,1.6232
20200129,2.2593
20200128,2.4779
20200123,5.2032
20200122,5.6018
20200121,5.5974
20200120,5.7191
20200127,2.7888
20200126,3.4013
20200125,3.3725
20200124,4.4193
20200311,3.9897
20190130,5.0006
20200217,2.1212
20200108,5.3519
20200219,2.3069
20200218,2.1921
20190303,4.5905
20190302,4.8837
20190301,5.1719
20190307,4.7088
20190306,4.7071
20190305,4.9182
20190304,4.7246
20200215,1.6927
20200214,1.9267
20190309,4.7336
20200216,1.8032
20200211,1.9357
20200210,1.9916
20200213,2.0116
20200212,1.9333
20190224,4.2456
20190225,4.6218
20190226,4.5954
20190227,4.7601
20190220,4.8556
20190221,4.6668
20190222,4.7369
20200119,5.473
20200116,5.5881
20200117,5.6044
20200114,5.4639
20200115,5.5222
20190228,4.9076
20200113,5.454
20200110,5.6368
20200111,5.2018
20190308,5.0602
20200101,4.8778
20200103,5.533
20200102,5.4562
20200105,4.5123
20200104,5.0486
20200107,5.0129
20200106,5.3291
20200109,5.4352
20190131,5.1478
20200118,5.2876
20190223,4.4789
20190312,4.8698
20190328,4.7887
20190313,4.9003
20190321,4.7865
20190320,4.8137
20190323,4.7547
20190322,5.105
20190325,4.9092
20190324,4.5965
20190327,4.8391
20190326,4.8094
20190208,4.5536
20190209,4.4851
20190202,4.9501
20190203,4.4277
20190201,4.8676
20190206,4.599
20190207,4.6964
20190204,4.0289
20190205,4.3139
20190318,4.7589
20190129,5.0633
20190128,5.0637
20190319,4.8747
20190123,4.763
20190122,4.7582
20190121,4.8159
20190120,4.3586
20190127,4.4164
20190126,4.5593
20190125,4.7909
20190124,4.8987
20190219,4.6522
20190218,4.9922
20190215,4.6434
20190214,4.5016
20190217,4.3662
20190216,4.5185
20190211,4.9037
20190210,4.1208
20190213,4.965
20190212,5.0445
20190118,4.9795
20190119,4.6249
20190116,4.5903
20190117,4.7849
20190114,4.688
20190115,4.7004
20190112,4.4399
20190113,4.1848
20200310,3.8862
20200112,4.9906
20200312,4.0953
20200313,4.0733
20200314,4.0684
20200315,4.0099
20200316,4.3244
20200317,4.4313
20200318,4.4713
20200319,4.4585
20200303,3.2488
20200302,3.1514
20200301,2.6324
20200307,3.5542
20200306,3.5319
20200305,3.4234
20200304,3.34
20200309,3.716
20200308,3.4268
20200224,2.3647
20200225,2.4431
20200226,2.5307
20200227,2.5516
20200220,2.447
20200221,2.4768
20200222,2.3833
20200223,2.2394
20200228,2.5127
20200229,2.6203
20200130,2.2834
20200131,2.195
