Date,Value
20200321,3.6444
20200320,4.335
20200323,4.6016
20200322,3.5667
20200324,4.5889
20190310,4.3079
20190311,4.9336
20200208,1.3369
20200209,1.2979
20190314,4.8603
20190315,5.1727
20190316,4.64
20190317,4.2618
20200202,1.4937
20200203,1.7721
20200201,1.49
20200206,1.4796
20200207,1.5304
20200204,1.629
20200205,1.5411
20200129,1.4885
20200128,1.501
20200123,3.4774
20200122,4.2156
20200121,4.7085
20200120,5.0377
20200127,1.6378
20200126,2.1791
20200125,2.2301
20200124,2.7224
20200311,3.5621
20190130,4.2525
20200217,1.8428
20200108,5.6352
20200219,1.8724
20200218,1.8203
20190303,4.2592
20190302,4.4963
20190301,5.1115
20190307,4.7816
20190306,4.7483
20190305,4.9372
20190304,4.7865
20200215,1.2817
20200214,1.6386
20190309,4.4514
20200216,1.2612
20200211,1.622
20200210,1.7509
20200213,1.6443
20200212,1.6129
20190224,3.8866
20190225,4.6062
20190226,4.5632
20190227,4.7688
20190220,4.4297
20190221,4.4275
20190222,4.5738
20190223,4.0704
20200116,5.5086
20200117,5.482
20200114,5.5808
20200115,5.6111
20190228,4.9056
20200113,5.7166
20200110,5.7959
20200111,5.0145
20190308,5.0578
20200101,4.9633
20200103,5.8871
20200102,5.7782
20200105,3.9436
20200104,5.0054
20200107,5.4017
20200106,5.3378
20200109,5.6799
20190131,4.1932
20200118,4.7664
20200119,5.1248
20190312,4.9626
20190328,4.789
20190313,4.9516
20190321,4.8593
20190320,4.8704
20190323,4.3864
20190322,5.0154
20190325,4.965
20190324,4.2992
20190327,4.8269
20190326,4.8405
20190208,2.4352
20190209,2.4113
20190202,3.4481
20190203,2.7662
20190201,3.7094
20190206,2.7614
20190207,2.5026
20190204,2.392
20190205,2.5767
20190318,4.8716
20190129,4.3712
20190128,4.5317
20190319,4.9232
20190123,4.6557
20190122,4.6543
20190121,4.7064
20190120,4.048
20190127,3.7691
20190126,4.0096
20190125,4.47
20190124,4.6989
20190219,4.1376
20190218,4.2704
20190215,3.9799
20190214,3.5594
20190217,3.4921
20190216,3.5773
20190211,3.4845
20190210,2.7408
20190213,3.9414
20190212,3.8382
20190118,4.9987
20190119,4.3367
20190116,4.7565
20190117,4.8776
20190114,4.8307
20190115,4.9096
20190112,4.2755
20190113,4.0263
20200310,3.4774
20200112,4.7209
20200312,3.5859
20200313,3.7054
20200314,3.051
20200315,2.9835
20200316,4.0911
20200317,4.1116
20200318,4.1309
20200319,4.205
20200303,2.9093
20200302,2.9057
20200301,2.0253
20200307,2.5723
20200306,3.1191
20200305,3.0303
20200304,2.9765
20200309,3.4502
20200308,2.4022
20200224,2.1855
20200225,2.2533
20200226,2.3077
20200227,2.2045
20200220,1.9011
20200221,1.9216
20200222,1.5448
20200223,1.5237
20200228,2.4003
20200229,2.0233
20200130,1.496
20200131,1.5303
