Date,Value
20200321,3.8958
20200320,4.7377
20200323,4.9345
20200322,3.831
20200324,4.9338
20190310,4.7767
20190311,5.5826
20200208,1.6499
20200209,1.5754
20190314,5.5375
20190315,5.834
20190316,5.0381
20190317,4.6384
20200202,1.6998
20200203,2.0482
20200201,1.9205
20200206,1.716
20200207,1.7736
20200204,1.8725
20200205,1.7223
20200129,2.0188
20200128,1.9868
20200123,3.8949
20200122,4.5117
20200121,4.9308
20200120,5.237
20200127,2.185
20200126,2.644
20200125,2.6262
20200124,3.1833
20200311,4.036
20190130,4.5379
20200217,2.1372
20200108,6.2773
20200219,2.2057
20200218,2.1851
20190303,4.6607
20190302,4.9101
20190301,5.7884
20190307,5.455
20190306,5.4054
20190305,5.6451
20190304,5.4349
20200215,1.4763
20200214,1.6561
20190309,4.8526
20200216,1.6436
20200211,1.8498
20200210,1.9205
20200213,1.9099
20200212,1.8653
20190224,4.2807
20190225,5.2027
20190226,5.1986
20190227,5.4317
20190220,4.98
20190221,4.9663
20190222,5.1427
20190223,4.4714
20200116,5.8377
20200117,5.7254
20200114,5.9222
20200115,5.928
20190228,5.6082
20200113,6.01
20200110,6.2894
20200111,5.278
20190308,5.6903
20200101,5.0253
20200103,6.3527
20200102,6.2191
20200105,5.0556
20200104,5.3463
20200107,6.194
20200106,6.0361
20200109,6.2903
20190131,4.4845
20200118,4.7085
20200119,5.2522
20190312,5.6504
20190328,5.4199
20190313,5.6588
20190321,5.4721
20190320,5.5657
20190323,4.8804
20190322,5.801
20190325,5.6296
20190324,4.735
20190327,5.4771
20190326,5.4935
20190208,2.9587
20190209,2.9266
20190202,3.7886
20190203,3.1926
20190201,3.9838
20190206,3.4236
20190207,2.9605
20190204,2.8607
20190205,3.1421
20190318,5.488
20190129,4.7076
20190128,4.8366
20190319,5.5936
20190123,4.9722
20190122,4.9922
20190121,4.9975
20190120,4.234
20190127,3.9151
20190126,4.1585
20190125,4.8972
20190124,5.0636
20190219,4.6878
20190218,4.9926
20190215,4.5183
20190214,4.4598
20190217,3.8745
20190216,3.9785
20190211,4.0636
20190210,3.161
20190213,4.4911
20190212,4.1169
20190118,5.3743
20190119,4.5081
20190116,5.1325
20190117,5.2534
20190114,5.2164
20190115,5.2725
20190112,4.3657
20190113,4.1896
20200310,3.9489
20200112,5.0127
20200312,4.0638
20200313,4.1892
20200314,3.4714
20200315,3.3493
20200316,4.4697
20200317,4.5177
20200318,4.5888
20200319,4.528
20200303,3.3864
20200302,3.4374
20200301,2.5051
20200307,2.9952
20200306,3.6258
20200305,3.5318
20200304,3.471
20200309,3.7001
20200308,2.804
20200224,2.7405
20200225,2.7305
20200226,2.8661
20200227,2.8964
20200220,2.244
20200221,2.3562
20200222,2.0238
20200223,2.0217
20200228,2.9717
20200229,2.4266
20200130,1.941
20200131,1.9717
