Date,Value
20200321,4.4617
20200320,4.752
20200323,4.8867
20200322,4.4132
20200324,4.8693
20190310,4.2152
20190311,4.5098
20200208,2.8409
20200209,2.6184
20190314,4.4337
20190315,4.6101
20190316,4.3276
20190317,4.1039
20200202,2.9783
20200203,3.0256
20200201,3.1333
20200206,2.6606
20200207,2.675
20200204,2.8426
20200205,2.6968
20200129,3.4264
20200128,3.52
20200123,5.4332
20200122,5.7005
20200121,5.6369
20200120,5.6323
20200127,3.9883
20200126,4.776
20200125,4.3009
20200124,4.2926
20200311,4.5713
20190130,4.7544
20200217,3.0835
20200108,5.096
20200219,3.3153
20200218,3.2181
20190303,4.2638
20190302,4.3097
20190301,4.7209
20190307,4.4004
20190306,4.3285
20190305,4.5192
20190304,4.4035
20200215,2.5464
20200214,2.8542
20190309,4.1502
20200216,2.5021
20200211,2.8349
20200210,2.8509
20200213,2.8806
20200212,2.8634
20190224,4.0159
20190225,4.4468
20190226,4.4295
20190227,4.5404
20190220,4.4579
20190221,4.4351
20190222,4.4791
20200119,5.3603
20200116,5.5688
20200117,5.4849
20200114,5.3236
20200115,5.4168
20190228,4.7313
20200113,5.3271
20200110,5.3511
20200111,4.9177
20190308,4.763
20200101,4.6977
20200103,5.1732
20200102,5.1815
20200105,4.5886
20200104,4.6915
20200107,5.1301
20200106,5.2064
20200109,5.2554
20190131,4.9221
20200118,5.1148
20190223,4.0903
20190312,4.4917
20190328,4.3867
20190313,4.4871
20190321,4.1201
20190320,4.4806
20190323,4.2753
20190322,4.7096
20190325,4.6676
20190324,4.2378
20190327,4.3976
20190326,4.4566
20190208,4.6025
20190209,4.6092
20190202,4.9569
20190203,4.3845
20190201,4.7318
20190206,5.0071
20190207,4.7399
20190204,3.9568
20190205,4.4819
20190318,4.4047
20190129,4.7772
20190128,4.8364
20190319,4.4789
20190123,4.5191
20190122,4.4955
20190121,4.5219
20190120,4.0858
20190127,4.3342
20190126,4.3183
20190125,4.5593
20190124,4.6327
20190219,4.5868
20190218,4.7272
20190215,4.2677
20190214,4.7052
20190217,4.044
20190216,4.1351
20190211,4.8115
20190210,4.6013
20190213,4.7644
20190212,4.8638
20190118,4.5271
20190119,4.1636
20190116,4.4183
20190117,4.4727
20190114,4.4826
20190115,4.5312
20190112,4.1333
20190113,4.0545
20200310,4.5688
20200112,4.8645
20200312,4.5385
20200313,4.6431
20200314,4.2698
20200315,4.0072
20200316,4.6861
20200317,4.7018
20200318,4.6846
20200319,4.6706
20200303,4.0599
20200302,4.4991
20200301,4.0766
20200307,3.7761
20200306,4.4506
20200305,4.3729
20200304,3.9538
20200309,4.3953
20200308,4.1398
20200224,4.489
20200225,4.2252
20200226,4.3189
20200227,4.338
20200220,3.4791
20200221,2.9795
20200222,3.2466
20200223,3.4619
20200228,4.0965
20200229,3.9922
20200130,3.2323
20200131,3.1795
