Date,Value
20200321,2.2925
20200320,2.3893
20200323,2.5765
20200322,2.024
20200324,2.512
20190310,2.4355
20190311,3.7894
20200208,0.8145
20200209,0.8403
20190314,3.6802
20190315,2.9309
20190316,2.5601
20190317,3.0632
20200202,0.9565
20200203,0.9268
20200201,0.9991
20200206,0.8352
20200207,0.8119
20200204,0.8868
20200205,0.8778
20200129,1.1101
20200128,1.1734
20200123,1.74
20200122,1.9117
20200121,1.9892
20200120,2.0666
20200127,1.2392
20200126,1.336
20200125,1.3179
20200124,1.5619
20200311,1.9117
20190130,2.1386
20200217,0.7229
20200108,2.277
20200219,0.5912
20200218,0.679
20190303,2.1878
20190302,2.2955
20190301,2.577
20190307,3.6186
20190306,3.534
20190305,2.7447
20190304,3.8463
20200215,0.7577
20200214,0.7861
20190309,3.4771
20200216,0.7564
20200211,0.8326
20200210,0.7719
20200213,0.7848
20200212,0.7848
20190224,2.5524
20190225,3.3802
20190226,3.1217
20190227,2.3709
20190220,2.8494
20190221,2.9278
20190222,2.9648
20190223,2.7463
20200116,2.0511
20200117,2.2267
20200114,2.1583
20200115,1.8911
20190228,2.5678
20200113,2.6127
20200110,2.2551
20200111,1.9156
20190308,3.7663
20200101,1.8162
20200103,2.2757
20200102,2.0847
20200105,1.6871
20200104,1.7723
20200107,2.1776
20200106,2.3158
20200109,2.2138
20190131,2.037
20200118,1.7336
20200119,1.8046
20190312,2.7617
20190328,3.6833
20190313,2.6863
20190321,3.5402
20190320,3.434
20190323,3.2525
20190322,2.8124
20190325,2.8017
20190324,2.2524
20190327,3.6048
20190326,3.7109
20190208,1.5508
20190209,1.6032
20190202,2.2555
20190203,2.294
20190201,2.6263
20190206,1.8324
20190207,1.7724
20190204,1.8155
20190205,1.8232
20190318,3.6663
20190129,2.1309
20190128,2.1555
20190319,3.6509
20190123,2.774
20190122,2.7432
20190121,2.9124
20190120,1.9401
20190127,2.2493
20190126,2.6678
20190125,2.9371
20190124,2.157
20190219,2.9771
20190218,2.2309
20190215,2.7417
20190214,2.7786
20190217,2.1709
20190216,2.6078
20190211,1.9739
20190210,1.6955
20190213,2.1093
20190212,2.0155
20190118,2.3155
20190119,2.2124
20190116,3.1063
20190117,2.7109
20190114,3.0325
20190115,2.2463
20190112,2.514
20190113,2.3032
20200310,1.6845
20200112,1.8098
20200312,1.9621
20200313,1.9492
20200314,1.8898
20200315,1.8614
20200316,2.2861
20200317,2.2809
20200318,2.2151
20200319,2.2499
20200303,0.9513
20200302,0.91
20200301,0.8623
20200307,1.216
20200306,1.1062
20200305,1.0714
20200304,0.9604
20200309,1.5542
20200308,1.4393
20200224,0.6493
20200225,0.6312
20200226,0.6971
20200227,0.7655
20200220,0.5718
20200221,0.5886
20200222,0.5628
20200223,0.5809
20200228,0.7642
20200229,0.901
20200130,0.9952
20200131,0.9565
