Date,Value
20200321,4.2567
20200320,4.4806
20200323,4.7183
20200322,4.218
20200324,4.7528
20190310,4.0463
20190311,4.3661
20200208,2.0929
20200209,1.9093
20190314,4.285
20190315,4.5002
20190316,4.2026
20190317,3.9088
20200202,2.2285
20200203,2.4014
20200201,2.2594
20200206,2.1609
20200207,2.1594
20200204,2.2414
20200205,2.1644
20200129,2.6572
20200128,3.4239
20200123,4.8731
20200122,5.2159
20200121,5.2993
20200120,5.3262
20200127,4.0243
20200126,4.0482
20200125,3.5817
20200124,3.7946
20200311,3.9289
20190130,4.533
20200217,2.2098
20200108,5.0296
20200219,2.6328
20200218,2.3221
20190303,4.0523
20190302,4.1737
20190301,4.5524
20190307,4.2671
20190306,4.1682
20190305,4.372
20190304,4.2582
20200215,1.7753
20200214,2.2267
20190309,4.02
20200216,1.6387
20200211,2.1493
20200210,2.201
20200213,2.2389
20200212,2.1851
20190224,3.892
20190225,4.2518
20190226,4.1975
20190227,4.2828
20190220,4.4697
20190221,4.4221
20190222,4.4352
20190223,4.0091
20200116,5.4032
20200117,5.3376
20200114,5.2498
20200115,5.3015
20190228,4.4002
20200113,5.2797
20200110,5.252
20200111,4.7631
20190308,4.5969
20200101,4.6056
20200103,5.1058
20200102,5.1012
20200105,4.4828
20200104,4.5721
20200107,5.0568
20200106,5.1134
20200109,5.0864
20190131,4.6174
20200118,4.9136
20200119,5.1522
20190312,4.3611
20190328,4.29
20190313,4.3173
20190321,4.0865
20190320,4.3348
20190323,4.1123
20190322,4.4573
20190325,4.3782
20190324,4.0919
20190327,4.2906
20190326,4.3259
20190208,4.2164
20190209,4.2208
20190202,4.462
20190203,3.9581
20190201,4.3605
20190206,4.0679
20190207,4.4334
20190204,3.4133
20190205,3.7406
20190318,4.3087
20190129,4.5792
20190128,4.5709
20190319,4.3259
20190123,4.4396
20190122,4.3947
20190121,4.4151
20190120,3.9743
20190127,4.033
20190126,4.1023
20190125,4.4432
20190124,4.5178
20190219,4.2893
20190218,4.5766
20190215,4.149
20190214,4.4783
20190217,3.8665
20190216,3.9161
20190211,4.5115
20190210,4.232
20190213,4.5229
20190212,4.5411
20190118,4.4701
20190119,4.0869
20190116,4.2959
20190117,4.383
20190114,4.3721
20190115,4.4109
20190112,4.001
20190113,3.8617
20200310,3.7572
20200112,4.6634
20200312,3.8509
20200313,4.0968
20200314,3.7633
20200315,3.4777
20200316,4.332
20200317,4.3038
20200318,4.4022
20200319,4.1794
20200303,3.4391
20200302,3.4825
20200301,2.9747
20200307,3.1517
20200306,3.6008
20200305,3.5499
20200304,3.3093
20200309,3.6487
20200308,3.3913
20200224,3.237
20200225,3.0919
20200226,3.1278
20200227,3.1808
20200220,2.8359
20200221,2.9543
20200222,2.4645
20200223,2.5842
20200228,3.1051
20200229,2.9653
20200130,2.3334
20200131,2.2595
