Date,Value
20200321,4.9946
20200320,5.0387
20200323,4.9147
20200322,4.6893
20200324,4.8898
20190310,4.4414
20190311,4.2116
20200208,3.1438
20200209,3.2232
20190314,4.168
20190315,4.5581
20190316,4.312
20190317,4.2714
20200202,3.9151
20200203,3.8396
20200201,4.2231
20200206,3.0719
20200207,3.2094
20200204,3.368
20200205,3.1245
20200129,4.8016
20200128,4.8218
20200123,7.0144
20200122,7.3999
20200121,7.1214
20200120,7.2289
20200127,4.9249
20200126,5.6497
20200125,5.0416
20200124,5.7693
20190130,6.057
20200217,5.1231
20200108,5.3782
20200219,4.9284
20200218,4.8533
20190303,4.5214
20190302,4.4117
20190301,4.7216
20190307,4.0105
20190306,4.0203
20190305,4.2233
20190304,4.1189
20200215,3.2398
20200214,3.7138
20190309,4.1783
20200216,4.2609
20200211,3.2931
20200210,3.2375
20200213,3.5716
20200212,3.4427
20190224,4.6914
20190225,4.5447
20190226,4.3478
20190227,4.3498
20190220,5.4217
20190221,5.0884
20190222,5.0747
20190223,4.7138
20200116,6.5786
20200117,6.7425
20200114,6.1838
20200115,6.3418
20200112,6.0848
20200113,6.1882
20200110,5.8078
20200111,5.844
20190308,4.4093
20200101,5.0542
20200103,5.3076
20200102,5.2713
20200105,5.0549
20200104,4.9843
20200107,5.4661
20200106,5.355
20200109,5.5248
20190131,6.4156
20200118,6.8535
20200119,7.0821
20190312,4.2423
20190328,4.0415
20190313,4.1646
20190321,4.1522
20190320,4.2486
20190323,4.1908
20190322,4.515
20190325,4.1047
20190324,4.2108
20190327,4.0566
20190326,4.0549
20190208,6.3742
20190209,5.9327
20190202,6.4989
20190203,5.9439
20190201,6.2296
20190206,6.7939
20190207,6.3456
20190204,5.2605
20190205,6.0272
20190318,4.1137
20190129,6.2087
20190128,6.0047
20190319,4.1909
20190123,5.5223
20190122,5.2735
20190121,5.1354
20190120,4.5994
20190127,5.5665
20190126,5.5308
20190125,5.5324
20190124,5.557
20190219,5.2077
20190218,5.1405
20190215,5.4917
20190214,5.9286
20190217,4.9563
20190216,5.2177
20190211,5.9348
20190210,5.7712
20190213,5.9473
20190212,6.1235
20190118,4.8401
20190119,4.641
20190116,4.7121
20190117,4.7761
20190114,4.3021
20190115,4.7372
20190112,4.2096
20190113,4.2781
20190228,4.4735
20200310,5.1689
20200311,5.1647
20200312,5.1606
20200313,5.1481
20200314,5.1811
20200315,5.0514
20200316,5.0062
20200317,4.946
20200318,4.9744
20200319,4.94
20200303,5.1535
20200302,5.2013
20200301,5.2923
20200307,4.954
20200306,5.1531
20200305,5.1589
20200304,5.291
20200309,5.0659
20200308,4.9464
20200224,5.3178
20200225,5.2892
20200226,5.1989
20200227,5.1225
20200220,4.8146
20200221,4.9127
20200222,4.7642
20200223,4.9561
20200228,4.9287
20200229,5.1003
20200130,4.8945
20200131,4.4464
