Date,Value
20200321,5.2077
20200320,5.4603
20200323,5.6349
20200322,5.2376
20200324,5.5331
20190310,5.0245
20190311,5.2932
20200208,2.9581
20200209,2.8949
20190314,5.3478
20190315,5.5307
20190316,5.345
20190317,5.0831
20200202,3.094
20200203,3.195
20200201,3.3083
20200206,2.8316
20200207,2.9071
20200204,3.0306
20200205,2.8995
20200129,4.1211
20200128,4.5626
20200123,6.0041
20200122,6.0946
20200121,5.9964
20200120,5.9872
20200127,5.1877
20200126,5.4956
20200125,5.7373
20200124,5.919
20200311,5.0091
20190130,5.4352
20200217,3.1006
20200108,5.6168
20200219,3.191
20200218,3.1542
20190303,5.2091
20190302,5.2731
20190301,5.5657
20190307,5.16
20190306,5.0962
20190305,5.2644
20190304,5.1699
20200215,2.6456
20200214,2.9294
20190309,4.9764
20200216,2.6786
20200211,3.0846
20200210,3.0924
20200213,3.1159
20200212,3.1027
20190224,4.9387
20190225,5.2315
20190226,5.181
20190227,5.3079
20190220,5.5948
20190221,5.3477
20190222,5.3711
20200119,5.7389
20200116,5.8745
20200117,5.8795
20200114,5.8635
20200115,5.9189
20190228,5.4968
20200113,5.9184
20200110,5.871
20200111,5.4146
20190308,5.5622
20200101,5.7583
20200103,5.9341
20200102,5.9282
20200105,5.1416
20200104,5.4425
20200107,5.4569
20200106,5.2539
20200109,5.7227
20190131,5.6336
20200118,5.4124
20190223,5.1041
20190312,5.3216
20190328,5.0651
20190313,5.3829
20190321,5.2475
20190320,5.333
20190323,5.1691
20190322,5.4477
20190325,5.4052
20190324,5.148
20190327,5.2692
20190326,5.2666
20190208,6.0367
20190209,5.7761
20190202,5.7564
20190203,5.3294
20190201,5.4453
20190206,5.8509
20190207,6.1428
20190204,5.7282
20190205,5.7895
20190318,5.3102
20190129,5.5249
20190128,5.5998
20190319,5.3733
20190123,5.4412
20190122,5.3847
20190121,5.4726
20190120,5.1605
20190127,4.9771
20190126,5.0654
20190125,5.3909
20190124,5.543
20190219,5.4377
20190218,5.4515
20190215,5.3157
20190214,5.0341
20190217,4.9995
20190216,5.192
20190211,6.1101
20190210,6.2114
20190213,6.0208
20190212,6.0928
20190118,5.5505
20190119,5.2366
20190116,5.3143
20190117,5.4324
20190114,5.4278
20190115,5.3891
20190112,5.1848
20190113,5.2562
20200310,4.9488
20200112,5.3704
20200312,4.9894
20200313,5.1023
20200314,4.7836
20200315,4.9189
20200316,5.3005
20200317,5.2984
20200318,5.1836
20200319,5.3386
20200303,4.4243
20200302,4.5733
20200301,4.2245
20200307,4.4753
20200306,4.6069
20200305,4.7245
20200304,4.6266
20200309,4.8101
20200308,4.4246
20200224,4.0595
20200225,4.0749
20200226,4.2308
20200227,4.2653
20200220,3.126
20200221,3.1418
20200222,3.0756
20200223,3.2567
20200228,4.4603
20200229,4.2846
20200130,3.9822
20200131,3.4439
