Date,Value
20200321,3.8216
20200320,4.2877
20200323,4.5523
20200322,3.6721
20200324,4.4989
20190310,3.7746
20190311,4.294
20200208,0.7725
20200209,0.6687
20190314,4.2745
20190315,4.4981
20190316,4.0751
20190317,3.7975
20200202,1.1049
20200203,1.2922
20200201,1.1623
20200206,1.0039
20200207,0.9593
20200204,1.1472
20200205,1.0442
20200129,1.3613
20200128,1.5125
20200123,3.2623
20200122,3.6666
20200121,3.9069
20200120,4.1028
20200127,1.7585
20200126,2.1482
20200125,2.3522
20200124,2.9103
20200311,2.8584
20190130,3.6192
20200217,0.3497
20200108,4.7596
20200219,0.3289
20200218,0.3344
20190303,3.7345
20190302,3.9094
20190301,4.4013
20190307,4.1625
20190306,4.1332
20190305,4.2877
20190304,4.1415
20200215,0.3347
20200214,0.3616
20190309,3.8631
20200216,0.3234
20200211,0.4899
20200210,0.6222
20200213,0.3857
20200212,0.4164
20190224,3.3143
20190225,3.974
20190226,3.9187
20190227,4.1284
20190220,3.765
20190221,3.789
20200118,3.7993
20190223,3.4333
20200116,4.4259
20200117,4.2725
20200114,4.4735
20200115,4.4058
20190228,4.2842
20200113,4.6935
20200110,4.7398
20200111,4.173
20190308,4.3652
20200101,4.1958
20200103,4.8343
20200102,4.8305
20200105,3.924
20200104,4.149
20200107,4.7625
20200106,4.7583
20200109,4.7264
20190131,3.6264
20190222,3.8162
20200119,4.0764
20190312,4.3517
20190328,4.2369
20190313,4.36
20190321,4.3115
20190320,4.3534
20190323,3.9604
20190322,4.4514
20190325,4.3485
20190324,3.8024
20190327,4.253
20190326,4.2583
20190208,2.4038
20190209,2.5044
20190202,3.1819
20190203,2.6526
20190201,3.2015
20190206,2.4713
20190207,2.361
20190204,2.6982
20190205,2.5848
20190318,4.2945
20190129,3.6654
20190128,3.8227
20190319,4.3656
20190123,3.9785
20190122,4.0269
20190121,4.1099
20190120,3.5821
20190127,3.1773
20190126,3.395
20190125,3.9163
20190124,4.0652
20190219,3.6972
20190218,3.8331
20190215,3.5027
20190214,3.4716
20190217,3.0333
20190216,3.1304
20190211,3.2218
20190210,2.6081
20190213,3.5047
20190212,3.4178
20190118,4.3143
20190119,3.7937
20190116,4.1912
20190117,4.2528
20190114,4.2407
20190115,4.3537
20190112,3.7509
20190113,3.561
20200310,2.6638
20200112,3.9791
20200312,3.0375
20200313,3.2179
20200314,2.9212
20200315,2.9989
20200316,3.9968
20200317,4.0918
20200318,4.1642
20200319,4.2409
20200303,0.3847
20200302,0.3986
20200301,0.3428
20200307,1.3305
20200306,1.3846
20200305,1.0307
20200304,0.5497
20200309,2.487
20200308,1.5976
20200224,0.349
20200225,0.3317
20200226,0.3348
20200227,0.3351
20200220,0.3255
20200221,0.3331
20200222,0.3067
20200223,0.3003
20200228,0.3354
20200229,0.338
20200130,1.2296
20200131,1.256
