Date,Value
20200321,4.9169
20200320,4.9347
20200323,4.9568
20200322,4.882
20200324,4.9631
20190310,4.9065
20190311,4.7002
20200208,3.454
20200209,3.0574
20190314,4.6913
20190315,4.8525
20190316,4.9045
20190317,4.8887
20200202,3.6737
20200203,3.7783
20200201,3.695
20200206,3.4881
20200207,3.5334
20200204,3.6399
20200205,3.4607
20200129,3.9877
20200128,3.6024
20200123,7.0436
20200122,6.7366
20200121,6.3878
20200120,6.205
20200127,4.3137
20200126,5.2393
20200125,5.1822
20200124,6.0677
20200311,4.4356
20190130,5.1047
20200217,2.7895
20200108,5.5248
20200219,3.051
20200218,2.9034
20190303,4.818
20190302,4.795
20190301,5.0721
20190307,4.7199
20190306,4.6274
20190305,4.7167
20190304,4.5636
20200215,2.9275
20200214,2.9623
20190309,4.793
20200216,2.7439
20200211,2.8381
20200210,2.8929
20200213,2.864
20200212,2.8835
20190224,4.5819
20190225,4.5201
20190226,4.5268
20190227,4.6334
20190220,5.2481
20190221,4.7198
20200118,5.8749
20190223,4.6045
20200116,5.8021
20200117,5.9922
20200114,5.793
20200115,5.7371
20190228,4.7587
20200113,5.6959
20200110,5.8078
20200111,5.7657
20190308,5.2091
20200101,5.7061
20200103,5.6846
20200102,5.5486
20200105,5.5467
20200104,5.456
20200107,5.584
20200106,5.6195
20200109,5.5044
20190131,5.3029
20190222,4.8819
20200119,6.0462
20190312,4.753
20190328,4.6139
20190313,4.759
20190321,4.684
20190320,4.737
20190323,4.8196
20190322,4.9863
20190325,4.6661
20190324,4.7998
20190327,4.6179
20190326,4.654
20190208,6.0247
20190209,5.8114
20190202,5.464
20190203,5.6328
20190201,5.1743
20190206,6.5139
20190207,6.3647
20190204,5.2477
20190205,5.8808
20190318,4.6266
20190129,5.1299
20190128,4.9971
20190319,4.7489
20190123,5.0341
20190122,4.8354
20190121,4.7168
20190120,4.897
20190127,4.8427
20190126,4.8649
20190125,5.0043
20190124,5.0567
20190219,5.1943
20190218,4.976
20190215,5.018
20190214,5.1329
20190217,4.8386
20190216,4.8047
20190211,5.3126
20190210,5.5157
20190213,5.0784
20190212,5.2284
20190118,5.2433
20190119,4.9984
20190116,4.8601
20190117,5.0517
20190114,4.8318
20190115,5.0577
20190112,4.9727
20190113,5.0554
20200310,4.5052
20200112,5.839
20200312,4.6567
20200313,4.7743
20200314,4.5804
20200315,3.9053
20200316,4.4738
20200317,4.8041
20200318,4.8598
20200319,4.8983
20200303,4.3043
20200302,4.2495
20200301,4.1646
20200307,4.5167
20200306,4.3095
20200305,3.6705
20200304,4.333
20200309,4.5774
20200308,4.5399
20200224,3.6645
20200225,3.7288
20200226,3.7712
20200227,3.8578
20200220,3.2068
20200221,3.3023
20200222,3.3163
20200223,3.3783
20200228,3.9106
20200229,4.0896
20200130,3.6584
20200131,3.6968
