Date,Value
20200321,5.2537
20200320,5.3635
20200323,5.4735
20200322,5.0553
20200324,5.4468
20190310,4.8267
20190311,5.0219
20200208,1.5899
20200209,1.752
20190314,5.0423
20190315,5.2742
20190316,5.1278
20190317,4.6572
20200202,1.8449
20200203,1.978
20200201,1.9327
20200206,1.5912
20200207,1.6527
20200204,1.7375
20200205,1.6516
20200129,1.9421
20200128,1.9588
20200123,4.4675
20200122,4.9562
20200121,5.1712
20200120,5.3937
20200127,2.025
20200126,2.5357
20200125,3.0827
20200124,3.5312
20190130,4.6502
20200217,2.3341
20200108,5.0952
20200219,2.606
20200218,2.4984
20190303,4.7301
20190302,5.0783
20190301,5.3049
20190307,4.8973
20190306,4.8974
20190305,5.1008
20190304,4.9246
20200215,1.6432
20200214,2.2206
20190309,4.9041
20200216,1.7853
20200211,2.0904
20200210,2.108
20200213,2.3193
20200212,2.1754
20190224,4.3943
20190225,4.7706
20190226,4.7601
20190227,4.9519
20190220,4.8081
20190221,4.7105
20190222,4.7933
20190223,4.5932
20200116,5.6971
20200117,5.6452
20200114,5.6109
20200115,5.6733
20200112,5.3183
20200113,5.7305
20200110,5.9235
20200111,5.5623
20190308,5.1483
20200101,5.2669
20200103,5.8862
20200102,5.8296
20200105,5.1107
20200104,5.5236
20200107,5.3057
20200106,5.7307
20200109,5.6811
20190131,4.5953
20200118,5.2712
20200119,5.3459
20190312,5.0664
20190328,4.9919
20190313,5.1004
20190321,4.9931
20190320,4.9734
20190323,4.9658
20190322,5.2533
20190325,5.1246
20190324,4.7926
20190327,5.0254
20190326,5.03
20190208,3.9727
20190209,3.9758
20190202,4.2083
20190203,3.6111
20190201,4.2546
20190206,4.2995
20190207,4.0964
20190204,3.1174
20190205,3.7085
20190318,4.9712
20190129,4.8349
20190128,4.9005
20190319,5.0872
20190123,4.8313
20190122,4.8239
20190121,4.869
20190120,4.5267
20190127,4.3986
20190126,4.5502
20190125,4.8022
20190124,4.9734
20190219,4.516
20190218,4.931
20190215,4.398
20190214,4.3714
20190217,4.3603
20190216,4.4538
20190211,4.4573
20190210,4.012
20190213,4.6269
20190212,4.7219
20190118,5.1638
20190119,4.8444
20190116,4.833
20190117,4.9984
20190114,4.859
20190115,4.9026
20190112,4.6219
20190113,4.3706
20190228,5.1124
20200310,4.713
20200311,4.8966
20200312,4.9882
20200313,4.9821
20200314,4.8875
20200315,4.7099
20200316,5.1797
20200317,5.2572
20200318,5.3127
20200319,5.2339
20200303,3.9815
20200302,3.913
20200301,3.2726
20200307,4.168
20200306,4.3223
20200305,4.2067
20200304,4.0755
20200309,4.5926
20200308,4.0618
20200224,3.1442
20200225,3.0756
20200226,3.3252
20200227,3.374
20200220,2.7335
20200221,2.7593
20200222,2.7415
20200223,2.6663
20200228,3.2642
20200229,3.3816
20200130,1.9695
20200131,2.0144
