Date,Value
20200321,4.0671
20200320,4.2726
20200323,4.3067
20200322,4.1009
20200324,4.3021
20190310,4.274
20190311,4.2682
20200208,1.8183
20200209,1.8414
20190314,4.2442
20190315,4.651
20190316,4.4463
20190317,4.2466
20200202,2.1096
20200203,2.2547
20200201,2.0655
20200206,1.7746
20200207,1.8946
20200204,2.14
20200205,2.0009
20200129,2.2101
20200128,2.2733
20200123,5.4398
20200122,5.3647
20200121,5.2357
20200120,5.2297
20200127,2.2994
20200126,2.7385
20200125,4.2083
20200124,4.5836
20200311,3.922
20190130,4.5802
20200217,1.9265
20200108,4.6384
20200219,2.0125
20200218,1.9424
20190303,4.2656
20190302,4.0576
20190301,4.5509
20190307,4.0945
20190306,4.0914
20190305,4.256
20190304,4.1456
20200215,1.687
20200214,1.7591
20190309,4.2476
20200216,1.6889
20200211,1.8109
20200210,1.9098
20200213,1.8557
20200212,1.8239
20190224,3.9594
20190225,4.057
20190226,3.845
20190227,4.1797
20190220,4.4991
20190221,4.0473
20190222,4.2769
20200119,4.9971
20200116,4.5895
20200117,4.9263
20200114,4.7837
20200115,4.3518
20190228,4.2542
20200113,4.8973
20200110,4.6916
20200111,4.5318
20190308,4.5912
20200101,4.3705
20200103,4.8591
20200102,4.626
20200105,3.9845
20200104,4.3498
20200107,4.4634
20200106,4.4343
20200109,4.5006
20190131,4.6842
20200118,4.6503
20190223,3.9975
20190312,4.2935
20190328,4.1666
20190313,4.2502
20190321,4.1437
20190320,4.3014
20190323,4.2055
20190322,4.4935
20190325,4.2512
20190324,4.2561
20190327,4.1417
20190326,4.1537
20190208,5.5161
20190209,5.1569
20190202,4.9397
20190203,4.7823
20190201,4.654
20190206,6.1244
20190207,5.8261
20190204,4.2866
20190205,5.2055
20190318,4.2358
20190129,4.6955
20190128,4.6055
20190319,4.2751
20190123,4.3036
20190122,4.254
20190121,4.3693
20190120,4.0495
20190127,4.0447
20190126,4.1096
20190125,4.3458
20190124,4.3665
20190219,4.4928
20190218,4.1368
20190215,4.3589
20190214,4.1913
20190217,3.9131
20190216,4.0187
20190211,4.776
20190210,4.3413
20190213,4.4767
20190212,4.8285
20190118,4.3888
20190119,4.1265
20190116,4.1134
20190117,4.2511
20190114,4.1162
20190115,4.2069
20190112,3.8471
20190113,3.9488
20200310,3.8706
20200112,4.5362
20200312,3.8487
20200313,4.0046
20200314,3.9341
20200315,3.9017
20200316,4.0498
20200317,4.1108
20200318,4.1158
20200319,4.1334
20200303,3.6428
20200302,3.3592
20200301,3.49
20200307,3.7147
20200306,3.7819
20200305,3.6573
20200304,3.6702
20200309,3.8247
20200308,3.5356
20200224,2.7585
20200225,2.9577
20200226,3.0577
20200227,2.6758
20200220,1.9278
20200221,2.2239
20200222,2.3144
20200223,2.4471
20200228,3.2672
20200229,3.3826
20200130,2.2026
20200131,2.1183
