Date,Value
20200321,4.8329
20200320,4.8774
20200323,4.888
20200322,4.8011
20200324,4.9388
20190310,4.8137
20190311,4.364
20200208,3.1147
20200209,2.9338
20190314,4.4896
20190315,4.9476
20190316,4.9425
20190317,4.7362
20200202,3.7757
20200203,3.6891
20200201,3.7354
20200206,3.31
20200207,3.2112
20200204,3.3349
20200205,3.2739
20200129,3.9968
20200128,4.0826
20200123,6.6843
20200122,6.2257
20200121,5.8964
20200120,5.7834
20200127,4.403
20200126,5.0458
20200125,5.142
20200124,5.9113
20200311,4.5768
20190130,4.7701
20200217,3.1082
20200108,5.2305
20200219,3.325
20200218,3.1711
20190303,4.7657
20190302,4.8034
20190301,4.9405
20190307,4.3793
20190306,4.3517
20190305,4.5244
20190304,4.325
20200215,3.2205
20200214,3.2319
20190309,4.6997
20200216,2.8359
20200211,2.9768
20200210,2.9734
20200213,3.0425
20200212,3.1257
20190224,4.2843
20190225,4.1585
20190226,4.2262
20190227,4.3926
20190220,4.7144
20190221,4.234
20190222,4.5259
20200119,5.7029
20200116,5.5112
20200117,5.7239
20200114,5.4249
20200115,5.5252
20190228,4.5252
20200113,5.3685
20200110,5.5592
20200111,5.3899
20190308,5.0068
20200101,5.445
20200103,5.4785
20200102,5.3732
20200105,5.3141
20200104,5.2258
20200107,5.2304
20200106,5.3327
20200109,5.2127
20190131,4.9529
20200118,5.7152
20190223,4.3774
20190312,4.5576
20190328,4.3001
20190313,4.4996
20190321,4.36
20190320,4.4392
20190323,4.7345
20190322,4.8759
20190325,4.3711
20190324,4.5556
20190327,4.3259
20190326,4.3804
20190208,5.2545
20190209,5.0983
20190202,5.0963
20190203,5.2908
20190201,4.7039
20190206,5.482
20190207,5.4024
20190204,4.9101
20190205,5.196
20190318,4.3566
20190129,4.8597
20190128,4.7812
20190319,4.4459
20190123,4.7134
20190122,4.3676
20190121,4.3637
20190120,4.7362
20190127,4.4964
20190126,4.5617
20190125,4.7162
20190124,4.8755
20190219,4.8117
20190218,4.8639
20190215,4.5534
20190214,4.6385
20190217,4.5512
20190216,4.4959
20190211,4.774
20190210,4.9064
20190213,4.7064
20190212,4.7947
20190118,4.9753
20190119,4.7476
20190116,4.3364
20190117,4.6558
20190114,4.4637
20190115,4.7123
20190112,4.6194
20190113,4.7409
20200310,4.4901
20200112,5.3631
20200312,4.6389
20200313,4.7736
20200314,4.4319
20200315,4.4715
20200316,4.741
20200317,4.7875
20200318,4.7414
20200319,4.7511
20200303,4.3586
20200302,4.3886
20200301,4.2654
20200307,4.4777
20200306,4.4802
20200305,4.1697
20200304,4.3321
20200309,4.5816
20200308,4.5301
20200224,3.8708
20200225,3.9235
20200226,3.9588
20200227,4.013
20200220,3.4376
20200221,3.5887
20200222,3.6157
20200223,3.6262
20200228,4.0579
20200229,4.2147
20200130,3.6688
20200131,3.6751
