Date,Value
20200321,5.5167
20200320,5.8124
20200323,5.8369
20200322,5.5265
20200324,5.9565
20190310,5.094
20190311,5.4563
20200208,2.3364
20200209,2.2108
20190314,5.4855
20190315,5.6689
20190316,5.3209
20190317,4.9653
20200202,2.4037
20200203,2.4744
20200201,2.7645
20200206,2.3583
20200207,2.358
20200204,2.3785
20200205,2.3538
20200129,3.2781
20200128,3.3243
20200123,4.8548
20200122,5.2159
20200121,5.4622
20200120,5.6591
20200127,3.5583
20200126,4.1535
20200125,4.5041
20200124,4.8407
20200311,5.2295
20190130,4.9252
20200217,2.9565
20200108,6.3235
20200219,3.0401
20200218,2.9957
20190303,5.0552
20190302,5.1992
20190301,5.5257
20190307,5.3441
20190306,5.2662
20190305,5.4383
20190304,5.272
20200215,2.4139
20200214,2.6869
20190309,5.1182
20200216,2.3963
20200211,2.5935
20200210,2.5982
20200213,2.6482
20200212,2.6571
20190224,4.6446
20190225,5.144
20190226,5.1965
20190227,5.4526
20190220,5.0458
20190221,4.9978
20190222,5.104
20190223,4.78
20200116,5.9982
20200117,5.9698
20200114,6.1087
20200115,6.0297
20190228,5.558
20200113,6.139
20200110,6.3997
20200111,5.7941
20190308,5.6528
20200101,5.9774
20200103,6.3591
20200102,6.3527
20200105,4.9449
20200104,5.7964
20200107,6.154
20200106,5.7331
20200109,6.303
20190131,4.9279
20200118,5.3509
20200119,5.6807
20190312,5.4837
20190328,5.3928
20190313,5.5324
20190321,5.4373
20190320,5.4217
20190323,5.2798
20190322,5.5964
20190325,5.4938
20190324,5.1681
20190327,5.4483
20190326,5.4145
20190208,3.8644
20190209,3.9209
20190202,4.6003
20190203,4.008
20190201,4.5945
20190206,4.2686
20190207,3.8802
20190204,4.3347
20190205,4.3016
20190318,5.3874
20190129,5.0477
20190128,5.237
20190319,5.4764
20190123,5.2049
20190122,5.249
20190121,5.2879
20190120,4.9165
20190127,4.5457
20190126,4.6952
20190125,5.1347
20190124,5.2895
20190219,5.2498
20190218,5.064
20190215,4.7454
20190214,4.7976
20190217,4.3959
20190216,4.4785
20190211,4.5734
20190210,4.0064
20190213,4.85
20190212,4.7494
20190118,5.4544
20190119,5.0733
20190116,5.2939
20190117,5.3742
20190114,5.3723
20190115,5.5007
20190112,5.0948
20190113,5.0194
20200310,5.1876
20200112,5.5964
20200312,5.2474
20200313,5.394
20200314,5.0937
20200315,5.0453
20200316,5.5441
20200317,5.5846
20200318,5.5521
20200319,5.6639
20200303,4.7531
20200302,4.6971
20200301,4.2084
20200307,4.6234
20200306,5.0174
20200305,4.9322
20200304,4.8487
20200309,5.0909
20200308,4.548
20200224,3.9767
20200225,3.9544
20200226,3.9726
20200227,4.1344
20200220,3.1395
20200221,3.264
20200222,2.995
20200223,3.1578
20200228,4.3207
20200229,4.1366
20200130,3.1755
20200131,3.1319
