Date,Value
20200321,2.8743
20200320,2.8671
20200323,3.0608
20200322,2.7562
20200324,2.9767
20190310,3.0641
20190311,3.2928
20200208,0.7749
20200209,0.7655
20190314,3.2302
20190315,3.3425
20190316,3.2092
20190317,3.0808
20200202,1.1917
20200203,1.1294
20200201,1.2782
20200206,0.8118
20200207,0.7663
20200204,0.9666
20200205,0.897
20200129,1.5293
20200128,1.6505
20200123,2.7974
20200122,2.8584
20200121,2.9198
20200120,2.9881
20200127,2.0033
20200126,2.325
20200125,2.4782
20200124,2.7813
20200311,2.2428
20190130,2.7838
20200217,0.7069
20200108,3.2038
20200219,0.6037
20200218,0.6873
20190303,3.0271
20190302,3.107
20190301,3.2558
20190307,3.197
20190306,3.1539
20190305,3.1637
20190304,3.1247
20200215,0.6977
20200214,0.7286
20190309,3.0617
20200216,0.6884
20200211,0.7263
20200210,0.7512
20200213,0.7288
20200212,0.7432
20190224,2.6903
20190225,2.9232
20190226,2.9444
20190227,3.0072
20190220,2.914
20190221,2.8728
20190222,2.9078
20200119,2.9361
20200116,3.0557
20200117,3.0334
20200114,3.0893
20200115,3.0433
20190228,3.0764
20200113,3.1913
20200110,3.2556
20200111,3.0831
20190308,3.3891
20200101,3.3127
20200103,3.2923
20200102,3.3415
20200105,2.933
20200104,3.0204
20200107,3.2414
20200106,3.2607
20200109,3.2162
20190131,2.8509
20200118,2.8473
20190223,2.7107
20190312,3.2329
20190328,3.2937
20190313,3.2248
20190321,3.3379
20190320,3.3749
20190323,3.2388
20190322,3.3018
20190325,3.225
20190324,3.0919
20190327,3.313
20190326,3.3182
20190208,2.4207
20190209,2.3664
20190202,2.7958
20190203,2.599
20190201,2.673
20190206,2.5564
20190207,2.4495
20190204,2.8172
20190205,2.6868
20190318,3.2906
20190129,2.7997
20190128,2.8969
20190319,3.3526
20190123,2.9711
20190122,3.0033
20190121,3.0527
20190120,2.8555
20190127,2.7148
20190126,2.6964
20190125,2.9466
20190124,2.9779
20190219,2.9897
20190218,2.8682
20190215,2.6822
20190214,2.736
20190217,2.5942
20190216,2.596
20190211,2.6295
20190210,2.4075
20190213,2.6776
20190212,2.6612
20190118,3.0956
20190119,2.8693
20190116,3.0799
20190117,3.0878
20190114,3.0926
20190115,3.1031
20190112,2.9978
20190113,2.9744
20200310,2.0552
20200112,2.986
20200312,2.431
20200313,2.5466
20200314,2.501
20200315,2.4994
20200316,2.7663
20200317,2.8071
20200318,2.8403
20200319,2.8761
20200303,0.6808
20200302,0.6657
20200301,0.6754
20200307,0.9738
20200306,0.6591
20200305,0.6713
20200304,0.6599
20200309,1.3061
20200308,1.0554
20200224,0.6237
20200225,0.5917
20200226,0.6315
20200227,0.6414
20200220,0.6115
20200221,0.6179
20200222,0.6068
20200223,0.5857
20200228,0.643
20200229,0.6575
20200130,1.4606
20200131,1.4932
