Date,Value
20200321,5.5686
20200320,6.2365
20200323,6.3357
20200322,5.0813
20200324,6.372
20190310,4.9702
20190311,5.8298
20200208,1.4476
20200209,1.4424
20190314,5.7895
20190315,6.0369
20190316,5.4659
20190317,4.9337
20200202,1.7714
20200203,1.7787
20200201,1.8697
20200206,1.4878
20200207,1.5074
20200204,1.6619
20200205,1.6223
20200129,1.8824
20200128,1.8785
20200123,3.6324
20200122,4.0822
20200121,4.6223
20200120,5.0331
20200127,2.0023
20200126,2.1029
20200125,2.4716
20200124,2.9284
20200311,5.7699
20190130,4.3288
20200217,2.5356
20200108,6.6686
20200219,2.7562
20200218,2.6567
20190303,4.8707
20190302,5.2336
20190301,5.9852
20190307,5.7452
20190306,5.7559
20190305,5.8513
20190304,5.7006
20200215,1.8079
20200214,2.1855
20190309,5.2262
20200216,1.7834
20200211,1.7985
20200210,1.9095
20200213,2.0827
20200212,2.0201
20190224,4.5539
20190225,5.5001
20190226,5.5049
20190227,5.6485
20190220,5.1222
20190221,5.188
20200118,5.0773
20190223,4.9079
20200116,5.9882
20200117,5.9663
20200114,6.3802
20200115,6.2638
20190228,5.8951
20200113,6.4386
20200110,6.5839
20200111,5.8127
20190308,5.8955
20200101,5.3678
20200103,6.7073
20200102,6.6463
20200105,5.6218
20200104,6.0215
20200107,6.679
20200106,6.7767
20200109,6.5689
20190131,4.1077
20190222,5.3198
20200119,5.1684
20190312,5.8849
20190328,5.7908
20190313,5.8989
20190321,5.8347
20190320,5.8493
20190323,5.4174
20190322,6.0153
20190325,5.9159
20190324,5.0172
20190327,5.8167
20190326,5.8345
20190208,2.2557
20190209,2.4315
20190202,3.3558
20190203,2.7268
20190201,3.5982
20190206,2.4868
20190207,2.2564
20190204,2.468
20190205,2.4774
20190318,5.7118
20190129,4.5693
20190128,4.7299
20190319,5.8401
20190123,5.331
20190122,5.3766
20190121,5.3515
20190120,4.5386
20190127,4.1158
20190126,4.5232
20190125,5.2454
20190124,5.4219
20190219,5.0021
20190218,5.0764
20190215,4.6525
20190214,4.5592
20190217,4.178
20190216,4.4364
20190211,3.4698
20190210,2.582
20190213,4.376
20190212,4.0057
20190118,5.643
20190119,4.9827
20190116,5.5322
20190117,5.5876
20190114,5.6424
20190115,5.7849
20190112,5.1196
20190113,4.7568
20200310,5.6279
20200112,5.4658
20200312,5.826
20200313,5.8295
20200314,5.1926
20200315,4.7824
20200316,6.0542
20200317,6.1203
20200318,6.1604
20200319,6.1628
20200303,5.1385
20200302,5.0762
20200301,3.6713
20200307,4.731
20200306,5.3668
20200305,5.2909
20200304,5.2183
20200309,5.4874
20200308,4.3265
20200224,4.202
20200225,4.2638
20200226,4.3614
20200227,4.5385
20200220,3.0755
20200221,3.3735
20200222,3.0659
20200223,2.9086
20200228,4.4498
20200229,3.9692
20200130,1.7595
20200131,1.8455
